Number of neighbours: 10
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.16463716898066327
Epoch: 0 Idx: 5000 Loss: 0.0903777279302634
Epoch: 0 Idx: 10000 Loss: 0.012618469922367072
Epoch: 0 Idx: 15000 Loss: 0.06154412583494005
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.06543235747885177
Epoch: 1 Idx: 5000 Loss: 0.0041313497143124775
Epoch: 1 Idx: 10000 Loss: 0.01732761491100574
Epoch: 1 Idx: 15000 Loss: 0.017704683374391978
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.017690996428459355
Epoch: 2 Idx: 5000 Loss: 0.00461577494798026
Epoch: 2 Idx: 10000 Loss: 0.0396557176102788
Epoch: 2 Idx: 15000 Loss: 0.012800045848541492
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.03287622145335492
Epoch: 3 Idx: 5000 Loss: 0.012573327132276586
Epoch: 3 Idx: 10000 Loss: 0.01634899374696528
Epoch: 3 Idx: 15000 Loss: 0.0957384396878915
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.027824423396023167
Epoch: 4 Idx: 5000 Loss: 0.009486520207034584
Epoch: 4 Idx: 10000 Loss: 0.015475850839111377
Epoch: 4 Idx: 15000 Loss: 0.055225770911112915
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.024721295381550483
Epoch: 5 Idx: 5000 Loss: 0.058817035967945956
Epoch: 5 Idx: 10000 Loss: 0.005049830907650487
Epoch: 5 Idx: 15000 Loss: 0.01976160552310989
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.06697645531085415
Epoch: 6 Idx: 5000 Loss: 0.010103153269024341
Epoch: 6 Idx: 10000 Loss: 0.00901540255178441
Epoch: 6 Idx: 15000 Loss: 0.006817030612305859
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.02630752699235188
Epoch: 7 Idx: 5000 Loss: 0.0053581244686294865
Epoch: 7 Idx: 10000 Loss: 0.021959459095308245
Epoch: 7 Idx: 15000 Loss: 0.016160094576855234
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.02355386430918554
Epoch: 8 Idx: 5000 Loss: 0.010295611101272627
Epoch: 8 Idx: 10000 Loss: 0.012794587175309229
Epoch: 8 Idx: 15000 Loss: 0.005134398725238903
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.017892393841801364
Epoch: 9 Idx: 5000 Loss: 0.011263221685474275
Epoch: 9 Idx: 10000 Loss: 0.017969436259022833
Epoch: 9 Idx: 15000 Loss: 0.02537831616771651
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.07824201178060708
Epoch: 10 Idx: 5000 Loss: 0.009596829604068376
Epoch: 10 Idx: 10000 Loss: 0.05705740903479139
Epoch: 10 Idx: 15000 Loss: 0.03316143303728229
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.02846132519009488
Epoch: 11 Idx: 5000 Loss: 0.02273099467576991
Epoch: 11 Idx: 10000 Loss: 0.012256968549235055
Epoch: 11 Idx: 15000 Loss: 0.08162824551928051
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.024767640536705257
Epoch: 12 Idx: 5000 Loss: 0.03596575574472094
Epoch: 12 Idx: 10000 Loss: 0.023166687031812735
Epoch: 12 Idx: 15000 Loss: 0.016797621812079194
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.04235755259116293
Epoch: 13 Idx: 5000 Loss: 0.04326854378452449
Epoch: 13 Idx: 10000 Loss: 0.01284225537444299
Epoch: 13 Idx: 15000 Loss: 0.023187200740526544
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.01529510981807395
Epoch: 14 Idx: 5000 Loss: 0.04907661181622786
Epoch: 14 Idx: 10000 Loss: 0.02705579828761309
Epoch: 14 Idx: 15000 Loss: 0.013072316492327405
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.023059600144873595
Epoch: 15 Idx: 5000 Loss: 0.00508701265146717
Epoch: 15 Idx: 10000 Loss: 0.0821360150011722
Epoch: 15 Idx: 15000 Loss: 0.003919202242699512
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.046012659179119106
Epoch: 16 Idx: 5000 Loss: 0.020625256037890706
Epoch: 16 Idx: 10000 Loss: 0.013771545613343218
