Number of neighbours: 10
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.07639983132907117
Epoch: 0 Idx: 1000 Loss: 0.028877157619399945
Epoch: 0 Idx: 2000 Loss: 0.016057068935183248
Epoch: 0 Idx: 3000 Loss: 0.04409253492825339
Epoch: 0 Idx: 4000 Loss: 0.02125161856212727
Epoch: 0 Idx: 5000 Loss: 0.00960740164124966
Epoch: 0 Idx: 6000 Loss: 0.0756386398442879
Epoch: 0 Idx: 7000 Loss: 0.014947640695667636
Epoch: 0 Idx: 8000 Loss: 0.0508524016527578
Epoch: 0 Idx: 9000 Loss: 0.02635267448199387
Epoch: 0 Idx: 10000 Loss: 0.04193815863310118
Epoch: 0 Idx: 11000 Loss: 0.007196669278393399
Epoch: 0 Idx: 12000 Loss: 0.03037827325685937
Epoch: 0 Idx: 13000 Loss: 0.030978747936142293
Epoch: 0 Idx: 14000 Loss: 0.02348227188595248
Epoch: 0 Idx: 15000 Loss: 0.021743495541987203
Epoch: 0 Idx: 16000 Loss: 0.010664355790208423
Epoch: 0 Idx: 17000 Loss: 0.023114479601803264
Epoch: 1 Idx: 0 Loss: 0.01679838865359135
Epoch: 1 Idx: 1000 Loss: 0.019540696429852362
Epoch: 1 Idx: 2000 Loss: 0.04070648217880139
Epoch: 1 Idx: 3000 Loss: 0.018300517675619098
Epoch: 1 Idx: 4000 Loss: 0.010593958991837434
Epoch: 1 Idx: 5000 Loss: 0.021230537627421813
Epoch: 1 Idx: 6000 Loss: 0.014926415543587859
Epoch: 1 Idx: 7000 Loss: 0.038605171880185266
Epoch: 1 Idx: 8000 Loss: 0.00942302688270243
Epoch: 1 Idx: 9000 Loss: 0.0032119456860499745
Epoch: 1 Idx: 10000 Loss: 0.02675321857218944
Epoch: 1 Idx: 11000 Loss: 0.03368353295148961
Epoch: 1 Idx: 12000 Loss: 0.014049017258491897
Epoch: 1 Idx: 13000 Loss: 0.030373079634800675
Epoch: 1 Idx: 14000 Loss: 0.009062540072232925
Epoch: 1 Idx: 15000 Loss: 0.05132823923500264
Epoch: 1 Idx: 16000 Loss: 0.027381680257394698
