Number of neighbours: 10
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.2380990680167962
Epoch: 0 Idx: 1000 Loss: 0.07240952823546036
Epoch: 0 Idx: 2000 Loss: 0.010527323433819073
Epoch: 0 Idx: 3000 Loss: 0.04343191496629425
Epoch: 0 Idx: 4000 Loss: 0.0204728604388388
Epoch: 0 Idx: 5000 Loss: 0.02191689978335932
Epoch: 0 Idx: 6000 Loss: 0.0027062329042122427
Epoch: 0 Idx: 7000 Loss: 0.022748742667783258
Epoch: 0 Idx: 8000 Loss: 0.01250782574807891
Epoch: 0 Idx: 9000 Loss: 0.0016163971663100594
Epoch: 0 Idx: 10000 Loss: 0.05209375832275027
Epoch: 0 Idx: 11000 Loss: 0.029135533985205228
Epoch: 0 Idx: 12000 Loss: 0.025377219829434514
Epoch: 0 Idx: 13000 Loss: 0.0010874815602995454
Epoch: 0 Idx: 14000 Loss: 0.01882594814588053
Epoch: 0 Idx: 15000 Loss: 0.023354280695646674
Epoch: 0 Idx: 16000 Loss: 0.02628875163299746
Epoch: 0 Idx: 17000 Loss: 0.016116171920737898
Epoch: 1 Idx: 0 Loss: 0.01213913457220379
Epoch: 1 Idx: 1000 Loss: 0.024506030709415278
Epoch: 1 Idx: 2000 Loss: 0.0052084272356176
Epoch: 1 Idx: 3000 Loss: 0.04262588932639692
Epoch: 1 Idx: 4000 Loss: 0.004603535551056523
Epoch: 1 Idx: 5000 Loss: 0.06664582996393176
Epoch: 1 Idx: 6000 Loss: 0.004850077228202132
Epoch: 1 Idx: 7000 Loss: 0.024070176443770578
Epoch: 1 Idx: 8000 Loss: 0.029451138631146966
Epoch: 1 Idx: 9000 Loss: 0.0465609547550853
Epoch: 1 Idx: 10000 Loss: 0.04210877461297325
Epoch: 1 Idx: 11000 Loss: 0.019698348413144978
Epoch: 1 Idx: 12000 Loss: 0.003499399599361027
Epoch: 1 Idx: 13000 Loss: 0.031606396764444364
Epoch: 1 Idx: 14000 Loss: 0.010595379044731054
Epoch: 1 Idx: 15000 Loss: 0.024389392139674136
Epoch: 1 Idx: 16000 Loss: 0.02106291759407537
Epoch: 1 Idx: 17000 Loss: 0.012959095106395018
Epoch: 2 Idx: 0 Loss: 0.04786816623287192
Epoch: 2 Idx: 1000 Loss: 0.021086365006852716
Epoch: 2 Idx: 2000 Loss: 0.0499574334952005
Epoch: 2 Idx: 3000 Loss: 0.009705801364628458
Epoch: 2 Idx: 4000 Loss: 0.011838241239651652
Epoch: 2 Idx: 5000 Loss: 0.03166855158571595
Epoch: 2 Idx: 6000 Loss: 0.08694174302511369
Epoch: 2 Idx: 7000 Loss: 0.06145959006218942
Epoch: 2 Idx: 8000 Loss: 0.008782918497544916
Epoch: 2 Idx: 9000 Loss: 0.09802908629806396
Epoch: 2 Idx: 10000 Loss: 0.0041630761592440935
Epoch: 2 Idx: 11000 Loss: 0.019030572283719176
Epoch: 2 Idx: 12000 Loss: 0.013320564357039736
Epoch: 2 Idx: 13000 Loss: 0.014730660602438612
Epoch: 2 Idx: 14000 Loss: 0.004737648000778197
Epoch: 2 Idx: 15000 Loss: 0.0125455101384085
Epoch: 2 Idx: 16000 Loss: 0.02300751793672312
Epoch: 2 Idx: 17000 Loss: 0.024618168844102794
Epoch: 3 Idx: 0 Loss: 0.017953322294476614
Epoch: 3 Idx: 1000 Loss: 0.019130684945922617
Epoch: 3 Idx: 2000 Loss: 0.012979802465769625
Epoch: 3 Idx: 3000 Loss: 0.025514291316198836
Epoch: 3 Idx: 4000 Loss: 0.029167926240142913
Epoch: 3 Idx: 5000 Loss: 0.05645804829355506
Epoch: 3 Idx: 6000 Loss: 0.0398181705458778
Epoch: 3 Idx: 7000 Loss: 0.022908658766706225
Epoch: 3 Idx: 8000 Loss: 0.003555251172961643
Epoch: 3 Idx: 9000 Loss: 0.014637559960418798
Epoch: 3 Idx: 10000 Loss: 0.026584433295143116
Epoch: 3 Idx: 11000 Loss: 0.04257373446786497
Epoch: 3 Idx: 12000 Loss: 0.014220185303015602
Epoch: 3 Idx: 13000 Loss: 0.012115069135457384
Epoch: 3 Idx: 14000 Loss: 0.01040747186128189
Epoch: 3 Idx: 15000 Loss: 0.013428109415353388
