Number of neighbours: 10
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.04580348893576598
Epoch: 0 Idx: 1000 Loss: 0.03132089180860742
Epoch: 0 Idx: 2000 Loss: 0.009287903472760192
Epoch: 0 Idx: 3000 Loss: 0.020536261264119976
Epoch: 1 Idx: 0 Loss: 0.0073077541990605194
Epoch: 1 Idx: 1000 Loss: 0.05821343884557515
Epoch: 1 Idx: 2000 Loss: 0.0003161307184890414
Epoch: 1 Idx: 3000 Loss: 0.0005885241304009408
Epoch: 2 Idx: 0 Loss: 0.039038007037610116
Epoch: 2 Idx: 1000 Loss: 0.0034539930461506656
Epoch: 2 Idx: 2000 Loss: 0.012626841581114757
Epoch: 2 Idx: 3000 Loss: 0.00884688650736272
Epoch: 3 Idx: 0 Loss: 0.019082172646529647
Epoch: 3 Idx: 1000 Loss: 0.0004376354323904678
Epoch: 3 Idx: 2000 Loss: 0.0013473436702363083
Epoch: 3 Idx: 3000 Loss: 0.018160183076877025
Epoch: 4 Idx: 0 Loss: 0.005687262676335534
Epoch: 4 Idx: 1000 Loss: 0.011368443555254024
Epoch: 4 Idx: 2000 Loss: 0.004854418331095738
Epoch: 4 Idx: 3000 Loss: 0.04160185825418574
Epoch: 5 Idx: 0 Loss: 0.004813043903679667
Epoch: 5 Idx: 1000 Loss: 0.013591223508319625
Epoch: 5 Idx: 2000 Loss: 0.006776765924499299
Epoch: 5 Idx: 3000 Loss: 0.0031496525772539753
Epoch: 6 Idx: 0 Loss: 0.01123580503031397
Epoch: 6 Idx: 1000 Loss: 0.001832721315720218
Epoch: 6 Idx: 2000 Loss: 0.002327135611496091
Epoch: 6 Idx: 3000 Loss: 0.007391214199110749
Epoch: 7 Idx: 0 Loss: 0.004955021798188087
Epoch: 7 Idx: 1000 Loss: 0.005431595124851817
Epoch: 7 Idx: 2000 Loss: 0.001701649187674877
Epoch: 7 Idx: 3000 Loss: 0.007789441518830029
Epoch: 8 Idx: 0 Loss: 0.01664567541715998
Epoch: 8 Idx: 1000 Loss: 0.0008352117231331866
Epoch: 8 Idx: 2000 Loss: 0.0030960556430359356
Epoch: 8 Idx: 3000 Loss: 0.005395259362024623
Epoch: 9 Idx: 0 Loss: 0.014050484888757549
Epoch: 9 Idx: 1000 Loss: 0.038967712481784066
Epoch: 9 Idx: 2000 Loss: 0.025288651072977335
Epoch: 9 Idx: 3000 Loss: 0.0465025195696995
Epoch: 10 Idx: 0 Loss: 0.0005047272661611158
Epoch: 10 Idx: 1000 Loss: 0.0009831338803705822
Epoch: 10 Idx: 2000 Loss: 0.012958103261688529
Epoch: 10 Idx: 3000 Loss: 0.01947721766939784
Epoch: 11 Idx: 0 Loss: 0.006087529742550207
Epoch: 11 Idx: 1000 Loss: 0.00940028119519568
Epoch: 11 Idx: 2000 Loss: 0.06367841996367961
Epoch: 11 Idx: 3000 Loss: 0.00032611815637950903
Epoch: 12 Idx: 0 Loss: 0.0042688757417865255
Epoch: 12 Idx: 1000 Loss: 0.0058171556905880885
Epoch: 12 Idx: 2000 Loss: 0.0015442950911730272
Epoch: 12 Idx: 3000 Loss: 0.0024680399324006697
Epoch: 13 Idx: 0 Loss: 0.02030931310910478
Epoch: 13 Idx: 1000 Loss: 0.004016058184889686
Epoch: 13 Idx: 2000 Loss: 0.0002419104203389931
Epoch: 13 Idx: 3000 Loss: 0.023930520909618072
Epoch: 14 Idx: 0 Loss: 0.054322917579323886
Epoch: 14 Idx: 1000 Loss: 0.0015688111749027538
Epoch: 14 Idx: 2000 Loss: 0.0040688623691815294
Epoch: 14 Idx: 3000 Loss: 0.008405359313066109
Epoch: 15 Idx: 0 Loss: 0.0018995304601272262
Epoch: 15 Idx: 1000 Loss: 0.00302353667131989
Epoch: 15 Idx: 2000 Loss: 0.0006213135365562192
Epoch: 15 Idx: 3000 Loss: 0.014022719743765157
Epoch: 16 Idx: 0 Loss: 0.0030490048306689153
Epoch: 16 Idx: 1000 Loss: 0.006994756900752863
Epoch: 16 Idx: 2000 Loss: 0.003908834424954781
Epoch: 16 Idx: 3000 Loss: 0.005567079720169806
Epoch: 17 Idx: 0 Loss: 0.002516696728074616
Epoch: 17 Idx: 1000 Loss: 0.0005647639234633608
Epoch: 17 Idx: 2000 Loss: 0.004093954317758352
Epoch: 17 Idx: 3000 Loss: 0.006917139478110469
Epoch: 18 Idx: 0 Loss: 0.015609201636758779
Epoch: 18 Idx: 1000 Loss: 0.004373479084311522
Epoch: 18 Idx: 2000 Loss: 0.02067176298461108
Epoch: 18 Idx: 3000 Loss: 0.0051026716062783474
Epoch: 19 Idx: 0 Loss: 0.008104240389713583
Epoch: 19 Idx: 1000 Loss: 0.004319944015616098
Epoch: 19 Idx: 2000 Loss: 0.0018717711845912504
Epoch: 19 Idx: 3000 Loss: 0.01025833006185445
Epoch: 20 Idx: 0 Loss: 0.0032266090335458784
Epoch: 20 Idx: 1000 Loss: 0.03031359870785457
Epoch: 20 Idx: 2000 Loss: 0.0024720437622026813
Epoch: 20 Idx: 3000 Loss: 0.0076444620866792145
Epoch: 21 Idx: 0 Loss: 0.009516708856335316
Epoch: 21 Idx: 1000 Loss: 0.010795398852665327
Epoch: 21 Idx: 2000 Loss: 0.0012592028846684943
Epoch: 21 Idx: 3000 Loss: 0.007622393544039364
Epoch: 22 Idx: 0 Loss: 0.0016708466608679117
Epoch: 22 Idx: 1000 Loss: 0.029003359558477368
Epoch: 22 Idx: 2000 Loss: 0.005458890731083799
Epoch: 22 Idx: 3000 Loss: 0.00144711621090262
Epoch: 23 Idx: 0 Loss: 0.0012563094576575672
Epoch: 23 Idx: 1000 Loss: 0.010305082272550238
Epoch: 23 Idx: 2000 Loss: 0.0003491612117140091
Epoch: 23 Idx: 3000 Loss: 0.004132294664675495
Epoch: 24 Idx: 0 Loss: 0.0019167918006028732
Epoch: 24 Idx: 1000 Loss: 0.017411444833078354
Epoch: 24 Idx: 2000 Loss: 0.0027099785455788903
Epoch: 24 Idx: 3000 Loss: 0.002541967896925243
Epoch: 25 Idx: 0 Loss: 0.000583380265005362
Epoch: 25 Idx: 1000 Loss: 0.03667677832390224
Epoch: 25 Idx: 2000 Loss: 0.0005539429390572721
Epoch: 25 Idx: 3000 Loss: 0.03495333759701525
Epoch: 26 Idx: 0 Loss: 0.0008872480834285889
Epoch: 26 Idx: 1000 Loss: 0.0015549373488629354
Epoch: 26 Idx: 2000 Loss: 0.00877093491530527
Epoch: 26 Idx: 3000 Loss: 0.02066073493939466
Epoch: 27 Idx: 0 Loss: 0.0014761108667621444
Epoch: 27 Idx: 1000 Loss: 0.0028234398885215776
Epoch: 27 Idx: 2000 Loss: 0.08409990903199088
Epoch: 27 Idx: 3000 Loss: 0.008324591913167843
Epoch: 28 Idx: 0 Loss: 0.016467632408732297
Epoch: 28 Idx: 1000 Loss: 0.05238112997635031
Epoch: 28 Idx: 2000 Loss: 0.003122278436339112
Epoch: 28 Idx: 3000 Loss: 0.0058796991204891165
Epoch: 29 Idx: 0 Loss: 0.010952218301454045
