Number of neighbours: 12
Training size: 547124 Testing size: 60792
Epoch: 0 Idx: 0 Loss: 0.07117473909344972
Epoch: 0 Idx: 1000 Loss: 0.08258297547542785
Epoch: 0 Idx: 2000 Loss: 0.011648369195923039
Epoch: 0 Idx: 3000 Loss: 0.08163696799492272
Epoch: 0 Idx: 4000 Loss: 0.04471428398729518
Epoch: 0 Idx: 5000 Loss: 0.06339444221846764
Epoch: 0 Idx: 6000 Loss: 0.03385616044495747
Epoch: 0 Idx: 7000 Loss: 0.014938843937558212
Epoch: 0 Idx: 8000 Loss: 0.02396525653392027
Epoch: 0 Idx: 9000 Loss: 0.06066128360246588
Epoch: 0 Idx: 10000 Loss: 0.06739606670867741
Epoch: 0 Idx: 11000 Loss: 0.033163269506799035
Epoch: 0 Idx: 12000 Loss: 0.02879951937820876
Epoch: 0 Idx: 13000 Loss: 0.07673928142789976
Epoch: 0 Idx: 14000 Loss: 0.06876127980908128
Epoch: 0 Idx: 15000 Loss: 0.08827064962401883
Epoch: 0 Idx: 16000 Loss: 0.1776702628884795
Epoch: 0 Idx: 17000 Loss: 0.07405118682054075
Epoch: 0 Idx: 18000 Loss: 0.06850918614743441
Epoch: 0 Idx: 19000 Loss: 0.08885349083426371
Epoch: 0 Idx: 20000 Loss: 0.13896574824124136
Epoch: 0 Idx: 21000 Loss: 0.12868048653473038
Epoch: 0 Idx: 22000 Loss: 0.02048093465054607
Epoch: 0 Idx: 23000 Loss: 0.05151906190837994
Epoch: 0 Idx: 24000 Loss: 0.15844916496017608
Epoch: 0 Idx: 25000 Loss: 0.07081889468917449
Epoch: 0 Idx: 26000 Loss: 0.03645366422488143
Epoch: 0 Idx: 27000 Loss: 0.07069037357832417
Epoch: 0 Idx: 28000 Loss: 0.013042158059860013
Epoch: 0 Idx: 29000 Loss: 0.06511225782141884
Epoch: 0 Idx: 30000 Loss: 0.04607941271695559
Epoch: 0 Idx: 31000 Loss: 0.011580039601420157
Epoch: 0 Idx: 32000 Loss: 0.0885670112230153
Epoch: 0 Idx: 33000 Loss: 0.07582865392628514
Epoch: 0 Idx: 34000 Loss: 0.03160233298536045
Epoch: 0 Idx: 35000 Loss: 0.01153892630397108
Epoch: 0 Idx: 36000 Loss: 0.056250367885615125
Epoch: 0 Idx: 37000 Loss: 0.020289488700750175
Epoch: 0 Idx: 38000 Loss: 0.015224978812348248
Epoch: 0 Idx: 39000 Loss: 0.07150645779772453
Epoch: 0 Idx: 40000 Loss: 0.08122925546497245
Epoch: 0 Idx: 41000 Loss: 0.0328933507160886
Epoch: 0 Idx: 42000 Loss: 0.054783151371002405
Epoch: 0 Idx: 43000 Loss: 0.025471061967795153
Epoch: 0 Idx: 44000 Loss: 0.02429867802697344
Epoch: 0 Idx: 45000 Loss: 0.024780018603973365
Epoch: 0 Idx: 46000 Loss: 0.07976402632526239
Epoch: 0 Idx: 47000 Loss: 0.12602678745746684
Epoch: 0 Idx: 48000 Loss: 0.045622383227304
Epoch: 0 Idx: 49000 Loss: 0.06406516955258652
Epoch: 0 Idx: 50000 Loss: 0.037773366631127014
Epoch: 0 Idx: 51000 Loss: 0.13220456381766932
Epoch: 0 Idx: 52000 Loss: 0.029661376001085985
Epoch: 0 Idx: 53000 Loss: 0.0162192105900976
Epoch: 0 Idx: 54000 Loss: 0.037617485153250654
Epoch: 0 Idx: 55000 Loss: 0.05099388846692983
Epoch: 0 Idx: 56000 Loss: 0.023028418290801697
Epoch: 0 Idx: 57000 Loss: 0.056431932722681745
Epoch: 0 Idx: 58000 Loss: 0.053027739055040775
Epoch: 0 Idx: 59000 Loss: 0.053527662405355975
Epoch: 0 Idx: 60000 Loss: 0.09345608569546247
Epoch: 0 Idx: 61000 Loss: 0.03664928408218801
Epoch: 0 Idx: 62000 Loss: 0.061202245755070765
Epoch: 0 Idx: 63000 Loss: 0.08417510775621057
Epoch: 0 Idx: 64000 Loss: 0.03013846819962155
Epoch: 0 Idx: 65000 Loss: 0.0710250172861033
Epoch: 0 Idx: 66000 Loss: 0.07082730656612295
Epoch: 0 Idx: 67000 Loss: 0.0356835617600114
Epoch: 0 Idx: 68000 Loss: 0.057768410133510466
Epoch: 0 Idx: 69000 Loss: 0.01884874909438285
Epoch: 0 Idx: 70000 Loss: 0.01689732131506463
Epoch: 0 Idx: 71000 Loss: 0.03391955823233576
Epoch: 0 Idx: 72000 Loss: 0.013200610412749851
Epoch: 0 Idx: 73000 Loss: 0.05365661204764515
Epoch: 0 Idx: 74000 Loss: 0.0556414195951273
Epoch: 0 Idx: 75000 Loss: 0.0349717961136067
Epoch: 0 Idx: 76000 Loss: 0.024037833491991407
Epoch: 0 Idx: 77000 Loss: 0.03639269733273749
Epoch: 0 Idx: 78000 Loss: 0.0758121305431179
Epoch: 0 Idx: 79000 Loss: 0.007289685063098617
Epoch: 0 Idx: 80000 Loss: 0.010957769045307613
Epoch: 0 Idx: 81000 Loss: 0.02442048717687182
Epoch: 0 Idx: 82000 Loss: 0.1183748553857987
Epoch: 0 Idx: 83000 Loss: 0.08007828503810216
Epoch: 0 Idx: 84000 Loss: 0.07368781638374533
Epoch: 0 Idx: 85000 Loss: 0.06280317062901954
Epoch: 0 Idx: 86000 Loss: 0.03012487049749928
Epoch: 0 Idx: 87000 Loss: 0.03859818346850099
Epoch: 0 Idx: 88000 Loss: 0.0027237594174239206
Epoch: 0 Idx: 89000 Loss: 0.14388218992911297
Epoch: 0 Idx: 90000 Loss: 0.03851556786716741
Epoch: 0 Idx: 91000 Loss: 0.05678670313976405
Epoch: 0 Idx: 92000 Loss: 0.11299516907647411
Epoch: 0 Idx: 93000 Loss: 0.06241231846162116
Epoch: 0 Idx: 94000 Loss: 0.04814093373323743
Epoch: 0 Idx: 95000 Loss: 0.1722350428334895
Epoch: 0 Idx: 96000 Loss: 0.03462033180261399
Epoch: 0 Idx: 97000 Loss: 0.04544285029063336
Epoch: 0 Idx: 98000 Loss: 0.05923229268644397
Epoch: 0 Idx: 99000 Loss: 0.1512182559830127
Epoch: 0 Idx: 100000 Loss: 0.014480240858386399
Epoch: 0 Idx: 101000 Loss: 0.07309612314231302
Epoch: 0 Idx: 102000 Loss: 0.018027225095540108
