Number of neighbours: 12
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.1317748311489174
Epoch: 0 Idx: 5000 Loss: 0.04150839239939182
Epoch: 0 Idx: 10000 Loss: 0.010900419134567447
Epoch: 0 Idx: 15000 Loss: 0.06881865082693797
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.053900608701451753
Epoch: 1 Idx: 5000 Loss: 0.04308664467269425
Epoch: 1 Idx: 10000 Loss: 0.010203077771328237
Epoch: 1 Idx: 15000 Loss: 0.053495989281327594
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.04148266380310523
Epoch: 2 Idx: 5000 Loss: 0.024190305591952472
Epoch: 2 Idx: 10000 Loss: 0.02065027506151906
Epoch: 2 Idx: 15000 Loss: 0.020627864392825362
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.040620138742096946
Epoch: 3 Idx: 5000 Loss: 0.014322056414018377
Epoch: 3 Idx: 10000 Loss: 0.006737778408763469
Epoch: 3 Idx: 15000 Loss: 0.0796177982084904
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.024012680645289195
Epoch: 4 Idx: 5000 Loss: 0.038091695736591574
Epoch: 4 Idx: 10000 Loss: 0.027361751921281565
Epoch: 4 Idx: 15000 Loss: 0.009913376471551941
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.03509324463517909
Epoch: 5 Idx: 5000 Loss: 0.02044096998578738
Epoch: 5 Idx: 10000 Loss: 0.012579714811055416
Epoch: 5 Idx: 15000 Loss: 0.025495604196868332
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.06716909472361834
Epoch: 6 Idx: 5000 Loss: 0.030835829937175853
Epoch: 6 Idx: 10000 Loss: 0.038525273340469665
Epoch: 6 Idx: 15000 Loss: 0.010226300211062552
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.03691426305430783
Epoch: 7 Idx: 5000 Loss: 0.01918300893711161
Epoch: 7 Idx: 10000 Loss: 0.025100477162693292
Epoch: 7 Idx: 15000 Loss: 0.04228116081793338
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.03539373603795097
Epoch: 8 Idx: 5000 Loss: 0.022938774894826597
Epoch: 8 Idx: 10000 Loss: 0.026946716636959998
Epoch: 8 Idx: 15000 Loss: 0.02775928583648852
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.0186559893879504
Epoch: 9 Idx: 5000 Loss: 0.02418783924907451
Epoch: 9 Idx: 10000 Loss: 0.02648445221341096
Epoch: 9 Idx: 15000 Loss: 0.026943028966367542
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.04353243579142631
Epoch: 10 Idx: 5000 Loss: 0.0051723711075297015
Epoch: 10 Idx: 10000 Loss: 0.028050044170175335
Epoch: 10 Idx: 15000 Loss: 0.006585564248893753
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.0507632462376553
Epoch: 11 Idx: 5000 Loss: 0.03482450389939508
Epoch: 11 Idx: 10000 Loss: 0.02317565043129027
Epoch: 11 Idx: 15000 Loss: 0.026763670903606644
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.015322507464179475
Epoch: 12 Idx: 5000 Loss: 0.014765737196168928
Epoch: 12 Idx: 10000 Loss: 0.04210034638775984
Epoch: 12 Idx: 15000 Loss: 0.009657958810556413
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.03735974508856586
Epoch: 13 Idx: 5000 Loss: 0.04758756699028225
Epoch: 13 Idx: 10000 Loss: 0.03058077674930333
Epoch: 13 Idx: 15000 Loss: 0.039334151765359246
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.055710833922428045
Epoch: 14 Idx: 5000 Loss: 0.08308308357981437
Epoch: 14 Idx: 10000 Loss: 0.07351142818934447
Epoch: 14 Idx: 15000 Loss: 0.025703323352319774
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.028580323439493946
Epoch: 15 Idx: 5000 Loss: 0.08753984133647053
Epoch: 15 Idx: 10000 Loss: 0.028253960834264867
Epoch: 15 Idx: 15000 Loss: 0.010563891156614387
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.03523406981786014
Epoch: 16 Idx: 5000 Loss: 0.034390818547169896
Epoch: 16 Idx: 10000 Loss: 0.022857462189323798
