Number of neighbours: 22
Number of entities: 130000
Training size: 110500 Testing size: 13000
Epoch: 0 Idx: 0 Loss: 0.2201887881337541
Epoch: 0 Idx: 5000 Loss: 0.033753465716954464
Epoch: 0 Idx: 10000 Loss: 0.14638901679714247
Epoch: 0 Idx: 15000 Loss: 0.02555765126621546
Epoch: 0 Idx: 20000 Loss: 0.028165968256425183
Epoch: 1 Idx: 0 Loss: 0.031476513979581476
Epoch: 1 Idx: 5000 Loss: 0.07039209586459558
Epoch: 1 Idx: 10000 Loss: 0.02444946478328421
Epoch: 1 Idx: 15000 Loss: 0.007769337121417731
Epoch: 1 Idx: 20000 Loss: 0.009265651660219832
Epoch: 2 Idx: 0 Loss: 0.04629669661925133
Epoch: 2 Idx: 5000 Loss: 0.040145061166593436
Epoch: 2 Idx: 10000 Loss: 0.018173990608688493
Epoch: 2 Idx: 15000 Loss: 0.05005293889957698
Epoch: 2 Idx: 20000 Loss: 0.004904516342557097
Epoch: 3 Idx: 0 Loss: 0.09224763971038785
Epoch: 3 Idx: 5000 Loss: 0.06439766807578073
Epoch: 3 Idx: 10000 Loss: 0.0960729270368587
Epoch: 3 Idx: 15000 Loss: 0.028557810646808325
Epoch: 3 Idx: 20000 Loss: 0.024945589034951268
Epoch: 4 Idx: 0 Loss: 0.020551699662526783
Epoch: 4 Idx: 5000 Loss: 0.034917334279598755
Epoch: 4 Idx: 10000 Loss: 0.018618280300277127
Epoch: 4 Idx: 15000 Loss: 0.0346260905396115
Epoch: 4 Idx: 20000 Loss: 0.07623290945948
Epoch: 5 Idx: 0 Loss: 0.022522148300033705
Epoch: 5 Idx: 5000 Loss: 0.014127460195671371
Epoch: 5 Idx: 10000 Loss: 0.02802225743019852
Epoch: 5 Idx: 15000 Loss: 0.012972851230055713
Epoch: 5 Idx: 20000 Loss: 0.0035438021903491275
Epoch: 6 Idx: 0 Loss: 0.013490566428400635
Epoch: 6 Idx: 5000 Loss: 0.05619457947949891
Epoch: 6 Idx: 10000 Loss: 0.033168752052872195
Epoch: 6 Idx: 15000 Loss: 0.07247511503334327
Epoch: 6 Idx: 20000 Loss: 0.01975998202798804
Epoch: 7 Idx: 0 Loss: 0.027728391487504195
Epoch: 7 Idx: 5000 Loss: 0.04495342515279792
Epoch: 7 Idx: 10000 Loss: 0.014956254148065312
Epoch: 7 Idx: 15000 Loss: 0.008184882461908767
Epoch: 7 Idx: 20000 Loss: 0.020268293941829673
Epoch: 8 Idx: 0 Loss: 0.019275665294648362
Epoch: 8 Idx: 5000 Loss: 0.007606677419745031
Epoch: 8 Idx: 10000 Loss: 0.0045416983559197766
Epoch: 8 Idx: 15000 Loss: 0.01572357552407009
Epoch: 8 Idx: 20000 Loss: 0.018904960433660477
Epoch: 9 Idx: 0 Loss: 0.024337361705732412
Epoch: 9 Idx: 5000 Loss: 0.01594621726353917
Epoch: 9 Idx: 10000 Loss: 0.04590452291825607
Epoch: 9 Idx: 15000 Loss: 0.02195059904692294
Epoch: 9 Idx: 20000 Loss: 0.02439582434348897
Epoch: 10 Idx: 0 Loss: 0.030539392271801635
Epoch: 10 Idx: 5000 Loss: 0.009442995110658107
Epoch: 10 Idx: 10000 Loss: 0.01964095141032019
Epoch: 10 Idx: 15000 Loss: 0.05586604920787206
Epoch: 10 Idx: 20000 Loss: 0.04402918680989347
Epoch: 11 Idx: 0 Loss: 0.029377995466138434
Epoch: 11 Idx: 5000 Loss: 0.07241665339202588
Epoch: 11 Idx: 10000 Loss: 0.028523729591246976
Epoch: 11 Idx: 15000 Loss: 0.04262976578674614
Epoch: 11 Idx: 20000 Loss: 0.008806102567493325
Epoch: 12 Idx: 0 Loss: 0.0068942874065373765
Epoch: 12 Idx: 5000 Loss: 0.012476736826372445
Epoch: 12 Idx: 10000 Loss: 0.05533162556298242
Epoch: 12 Idx: 15000 Loss: 0.020416557441951155
Epoch: 12 Idx: 20000 Loss: 0.006864582884199222
Epoch: 13 Idx: 0 Loss: 0.03215353434805521
Epoch: 13 Idx: 5000 Loss: 0.03289776478431274
Epoch: 13 Idx: 10000 Loss: 0.019867124846914278
Epoch: 13 Idx: 15000 Loss: 0.07468349551158844
Epoch: 13 Idx: 20000 Loss: 0.03393679382574184
