Number of neighbours: 22
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.08672384766840187
Epoch: 0 Idx: 1000 Loss: 0.008676186016601107
Epoch: 0 Idx: 2000 Loss: 0.010617981177170136
Epoch: 0 Idx: 3000 Loss: 0.04020494925839351
Epoch: 0 Idx: 4000 Loss: 0.023012586593386387
Epoch: 0 Idx: 5000 Loss: 0.013998266309032805
Epoch: 1 Idx: 0 Loss: 0.025839212156637453
Epoch: 1 Idx: 1000 Loss: 0.005901600584148354
Epoch: 1 Idx: 2000 Loss: 0.0057641123200605155
Epoch: 1 Idx: 3000 Loss: 0.03368364646169149
Epoch: 1 Idx: 4000 Loss: 0.007631188077330681
Epoch: 1 Idx: 5000 Loss: 0.019977935336705912
Epoch: 2 Idx: 0 Loss: 0.02486038682830315
Epoch: 2 Idx: 1000 Loss: 0.010781310740057408
Epoch: 2 Idx: 2000 Loss: 0.028566412386645892
Epoch: 2 Idx: 3000 Loss: 0.008882749475778206
Epoch: 2 Idx: 4000 Loss: 0.014290501381835869
Epoch: 2 Idx: 5000 Loss: 0.009095550300288902
Epoch: 3 Idx: 0 Loss: 0.022063172811500577
Epoch: 3 Idx: 1000 Loss: 0.013464960483352457
Epoch: 3 Idx: 2000 Loss: 0.002708862570462819
Epoch: 3 Idx: 3000 Loss: 0.031646356963015335
Epoch: 3 Idx: 4000 Loss: 0.0035995197860791673
Epoch: 3 Idx: 5000 Loss: 0.022249568780215688
Epoch: 4 Idx: 0 Loss: 0.006317285877321851
Epoch: 4 Idx: 1000 Loss: 0.022778429220578086
Epoch: 4 Idx: 2000 Loss: 0.002395808701888435
Epoch: 4 Idx: 3000 Loss: 0.0015989832836064983
Epoch: 4 Idx: 4000 Loss: 0.053249977172076496
Epoch: 4 Idx: 5000 Loss: 0.011269708225841562
Epoch: 5 Idx: 0 Loss: 0.008415153276219063
Epoch: 5 Idx: 1000 Loss: 0.003110509502765772
Epoch: 5 Idx: 2000 Loss: 0.0024606795196324767
Epoch: 5 Idx: 3000 Loss: 0.0026673315198366488
Epoch: 5 Idx: 4000 Loss: 0.013976906115884058
Epoch: 5 Idx: 5000 Loss: 0.009776779844775822
Epoch: 6 Idx: 0 Loss: 0.006095132548279605
Epoch: 6 Idx: 1000 Loss: 0.0036245115545647526
Epoch: 6 Idx: 2000 Loss: 0.005517625803552801
Epoch: 6 Idx: 3000 Loss: 0.005173546342139011
Epoch: 6 Idx: 4000 Loss: 0.0034723391169186745
Epoch: 6 Idx: 5000 Loss: 0.006180440945671947
Epoch: 7 Idx: 0 Loss: 0.0024584155667495876
Epoch: 7 Idx: 1000 Loss: 0.00954517202697322
Epoch: 7 Idx: 2000 Loss: 0.010917780055330594
Epoch: 7 Idx: 3000 Loss: 0.015198802453086588
Epoch: 7 Idx: 4000 Loss: 0.0005848422336912798
Epoch: 7 Idx: 5000 Loss: 0.020852109898300667
Epoch: 8 Idx: 0 Loss: 0.004206865701514911
Epoch: 8 Idx: 1000 Loss: 0.028587179141288246
Epoch: 8 Idx: 2000 Loss: 8.26745846940878e-10
Epoch: 8 Idx: 3000 Loss: 0.06031495038967736
Epoch: 8 Idx: 4000 Loss: 6.850925103519426e-05
Epoch: 8 Idx: 5000 Loss: 0.03270526764762622
Epoch: 9 Idx: 0 Loss: 0.0077692677657958354
Epoch: 9 Idx: 1000 Loss: 0.011042194983700378
Epoch: 9 Idx: 2000 Loss: 0.01132386604836958
Epoch: 9 Idx: 3000 Loss: 0.009492846488569073
Epoch: 9 Idx: 4000 Loss: 0.010735700152584713
Epoch: 9 Idx: 5000 Loss: 0.00449893562433552
Epoch: 10 Idx: 0 Loss: 0.0007038335116381982
Epoch: 10 Idx: 1000 Loss: 0.013693926177526775
Epoch: 10 Idx: 2000 Loss: 0.01902711422145849
Epoch: 10 Idx: 3000 Loss: 0.09999949544488684
Epoch: 10 Idx: 4000 Loss: 0.00047571695387172824
Epoch: 10 Idx: 5000 Loss: 0.06274691348417616
Epoch: 11 Idx: 0 Loss: 0.04051073503422451
Epoch: 11 Idx: 1000 Loss: 0.010028151531057137
Epoch: 11 Idx: 2000 Loss: 0.007044704801855204
Epoch: 11 Idx: 3000 Loss: 0.005249480290526513
Epoch: 11 Idx: 4000 Loss: 0.005483276429803935
Epoch: 11 Idx: 5000 Loss: 0.001269451065877481
Epoch: 12 Idx: 0 Loss: 0.008276555806870029
Epoch: 12 Idx: 1000 Loss: 0.02795012415459457
Epoch: 12 Idx: 2000 Loss: 0.01802667627499549
Epoch: 12 Idx: 3000 Loss: 0.003026437715224028
Epoch: 12 Idx: 4000 Loss: 0.02070235166332683
Epoch: 12 Idx: 5000 Loss: 0.011001402261787224
Epoch: 13 Idx: 0 Loss: 0.03894987967093644
Epoch: 13 Idx: 1000 Loss: 0.021713785089312595
Epoch: 13 Idx: 2000 Loss: 0.0019849534476324296
Epoch: 13 Idx: 3000 Loss: 0.009309858730220642
Epoch: 13 Idx: 4000 Loss: 0.0007864872006197249
Epoch: 13 Idx: 5000 Loss: 0.006928077116865148
Epoch: 14 Idx: 0 Loss: 0.003950850638764175
Epoch: 14 Idx: 1000 Loss: 0.004542122203539575
Epoch: 14 Idx: 2000 Loss: 0.015375160169217365
Epoch: 14 Idx: 3000 Loss: 0.006334638413664616
Epoch: 14 Idx: 4000 Loss: 0.008171471907911216
Epoch: 14 Idx: 5000 Loss: 0.0015858237598239083
Epoch: 15 Idx: 0 Loss: 0.0031982670180893645
Epoch: 15 Idx: 1000 Loss: 0.005740402546514553
Epoch: 15 Idx: 2000 Loss: 0.006406541117888951
Epoch: 15 Idx: 3000 Loss: 0.007905393189098029
Epoch: 15 Idx: 4000 Loss: 0.013281763545917613
Epoch: 15 Idx: 5000 Loss: 0.004627389609132894
Epoch: 16 Idx: 0 Loss: 0.007175271892768841
Epoch: 16 Idx: 1000 Loss: 0.003919047383044507
Epoch: 16 Idx: 2000 Loss: 0.023619835818503587
Epoch: 16 Idx: 3000 Loss: 0.030064784308153444
Epoch: 16 Idx: 4000 Loss: 0.004524875503656754
Epoch: 16 Idx: 5000 Loss: 0.011009091164837496
Epoch: 17 Idx: 0 Loss: 0.012451288515005583
Epoch: 17 Idx: 1000 Loss: 0.01191546671832764
Epoch: 17 Idx: 2000 Loss: 0.014972537418980626
Epoch: 17 Idx: 3000 Loss: 0.005271324678025723
Epoch: 17 Idx: 4000 Loss: 0.013256460308827003
Epoch: 17 Idx: 5000 Loss: 0.006358298311069126
Epoch: 18 Idx: 0 Loss: 0.007272275849861536
Epoch: 18 Idx: 1000 Loss: 0.011123069326644823
