Number of neighbours: 23
Number of entities: 862150
Training size: 732828 Testing size: 86215
Epoch: 0 Idx: 0 Loss: 0.35807368596082945
Epoch: 0 Idx: 5000 Loss: 0.024406387673763144
Epoch: 0 Idx: 10000 Loss: 0.07942215934953037
Epoch: 0 Idx: 15000 Loss: 0.012305210261204826
Epoch: 0 Idx: 20000 Loss: 0.027957508840216798
Epoch: 0 Idx: 25000 Loss: 0.009340065076918615
Epoch: 0 Idx: 30000 Loss: 0.03269450632869438
Epoch: 0 Idx: 35000 Loss: 0.053977694681322484
Epoch: 0 Idx: 40000 Loss: 0.030679270578876004
Epoch: 0 Idx: 45000 Loss: 0.061451014018606864
Epoch: 0 Idx: 50000 Loss: 0.09427165875481891
Epoch: 0 Idx: 55000 Loss: 0.03684064374485023
Epoch: 0 Idx: 60000 Loss: 0.03303534036399991
Epoch: 1 Idx: 0 Loss: 0.031207214743597955
Epoch: 1 Idx: 5000 Loss: 0.09439772249306294
Epoch: 1 Idx: 10000 Loss: 0.03375273594427113
Epoch: 1 Idx: 15000 Loss: 0.004473397860236721
Epoch: 1 Idx: 20000 Loss: 0.028661222100417126
Epoch: 1 Idx: 25000 Loss: 0.06963540743271998
Epoch: 1 Idx: 30000 Loss: 0.029424465289087827
Epoch: 1 Idx: 35000 Loss: 0.016692458116008807
Epoch: 1 Idx: 40000 Loss: 0.03114795628390194
Epoch: 1 Idx: 45000 Loss: 0.02619625618692875
Epoch: 1 Idx: 50000 Loss: 0.0253352225668314
Epoch: 1 Idx: 55000 Loss: 0.020423498521405303
Epoch: 1 Idx: 60000 Loss: 0.01601647462658735
Epoch: 2 Idx: 0 Loss: 0.01747698461359158
Epoch: 2 Idx: 5000 Loss: 0.014714849362206673
Epoch: 2 Idx: 10000 Loss: 0.032508509720241816
Epoch: 2 Idx: 15000 Loss: 0.017317295455622404
Epoch: 2 Idx: 20000 Loss: 0.027397298477791404
Epoch: 2 Idx: 25000 Loss: 0.006989659333297718
Epoch: 2 Idx: 30000 Loss: 0.026610464764401032
Epoch: 2 Idx: 35000 Loss: 0.010448385054947223
Epoch: 2 Idx: 40000 Loss: 0.011300510330153193
Epoch: 2 Idx: 45000 Loss: 0.01142399207149087
Epoch: 2 Idx: 50000 Loss: 0.08491558610514115
Epoch: 2 Idx: 55000 Loss: 0.009322459704985037
Epoch: 2 Idx: 60000 Loss: 0.022456349509130478
Epoch: 3 Idx: 0 Loss: 0.0705414486073239
Epoch: 3 Idx: 5000 Loss: 0.06791828801722266
Epoch: 3 Idx: 10000 Loss: 0.0197882753549637
Epoch: 3 Idx: 15000 Loss: 0.09261479636339107
Epoch: 3 Idx: 20000 Loss: 0.00829760100415534
Epoch: 3 Idx: 25000 Loss: 0.011033220819848501
Epoch: 3 Idx: 30000 Loss: 0.03823672279893928
Epoch: 3 Idx: 35000 Loss: 0.02285917574957247
Epoch: 3 Idx: 40000 Loss: 0.031463911535551115
Epoch: 3 Idx: 45000 Loss: 0.010752355857096439
Epoch: 3 Idx: 50000 Loss: 0.05672533771298307
Epoch: 3 Idx: 55000 Loss: 0.008862839493281401
Epoch: 3 Idx: 60000 Loss: 0.009070960674008127
Epoch: 4 Idx: 0 Loss: 0.020547034672772045
Epoch: 4 Idx: 5000 Loss: 0.05879514535787252
Epoch: 4 Idx: 10000 Loss: 0.008807258954413815
Epoch: 4 Idx: 15000 Loss: 0.023762513325292743
Epoch: 4 Idx: 20000 Loss: 0.01884121887644572
Epoch: 4 Idx: 25000 Loss: 0.010870971813194807
Epoch: 4 Idx: 30000 Loss: 0.030987050058818365
Epoch: 4 Idx: 35000 Loss: 0.027187561598563482
Epoch: 4 Idx: 40000 Loss: 0.03368097560162246
Epoch: 4 Idx: 45000 Loss: 0.02973422130391476
Epoch: 4 Idx: 50000 Loss: 0.01112787563793589
Epoch: 4 Idx: 55000 Loss: 0.03649735788314073
Epoch: 4 Idx: 60000 Loss: 0.012899955873943728
Epoch: 5 Idx: 0 Loss: 0.0030030022871043423
Epoch: 5 Idx: 5000 Loss: 0.018749999926693246
Epoch: 5 Idx: 10000 Loss: 0.03125335215330828
Epoch: 5 Idx: 15000 Loss: 0.0111930871452795
Epoch: 5 Idx: 20000 Loss: 0.044987428169063974
Epoch: 5 Idx: 25000 Loss: 0.03264170065826276
Epoch: 5 Idx: 30000 Loss: 0.013934331784928722
Epoch: 5 Idx: 35000 Loss: 0.023847493449080333
Epoch: 5 Idx: 40000 Loss: 0.021908441055004963
Epoch: 5 Idx: 45000 Loss: 0.022159528575819976
Epoch: 5 Idx: 50000 Loss: 0.009529105767229049
Epoch: 5 Idx: 55000 Loss: 0.014676510018655132
Epoch: 5 Idx: 60000 Loss: 0.12735502109268174
Epoch: 6 Idx: 0 Loss: 0.014120193735201143
Epoch: 6 Idx: 5000 Loss: 0.008991015785703719
Epoch: 6 Idx: 10000 Loss: 0.006690282382768631
Epoch: 6 Idx: 15000 Loss: 0.004773477965696285
Epoch: 6 Idx: 20000 Loss: 0.046721315227279736
Epoch: 6 Idx: 25000 Loss: 0.027956816966734445
Epoch: 6 Idx: 30000 Loss: 0.07393159016729242
Epoch: 6 Idx: 35000 Loss: 0.006004557860345433
Epoch: 6 Idx: 40000 Loss: 0.012223369360328109
Epoch: 6 Idx: 45000 Loss: 0.015600332848708182
Epoch: 6 Idx: 50000 Loss: 0.0025382622517702564
Epoch: 6 Idx: 55000 Loss: 0.0050989011948254686
Epoch: 6 Idx: 60000 Loss: 0.016772654445610352
Epoch: 7 Idx: 0 Loss: 0.051833584481684236
Epoch: 7 Idx: 5000 Loss: 0.012188851497180913
Epoch: 7 Idx: 10000 Loss: 0.010644990772167537
Epoch: 7 Idx: 15000 Loss: 0.011107961657570735
Epoch: 7 Idx: 20000 Loss: 0.022232707154498405
Epoch: 7 Idx: 25000 Loss: 0.012949997074317723
Epoch: 7 Idx: 30000 Loss: 0.021592869780332213
Epoch: 7 Idx: 35000 Loss: 0.030790848826940508
Epoch: 7 Idx: 40000 Loss: 0.05392383758735407
Epoch: 7 Idx: 45000 Loss: 0.0819519103421217
Epoch: 7 Idx: 50000 Loss: 0.0828108629567876
Epoch: 7 Idx: 55000 Loss: 0.007712269645815085
Epoch: 7 Idx: 60000 Loss: 0.012025082276392715
Epoch: 8 Idx: 0 Loss: 0.01116247290364107
Epoch: 8 Idx: 5000 Loss: 0.016483135132416858
Epoch: 8 Idx: 10000 Loss: 0.012904883973352857
Epoch: 8 Idx: 15000 Loss: 0.037326505177133824
Epoch: 8 Idx: 20000 Loss: 0.025395182190581754
Epoch: 8 Idx: 25000 Loss: 0.014237082370617665
Epoch: 8 Idx: 30000 Loss: 0.01282871426063631
Epoch: 8 Idx: 35000 Loss: 0.009593749217109605
Epoch: 8 Idx: 40000 Loss: 0.040305479419057336
Epoch: 8 Idx: 45000 Loss: 0.010393244243207
Epoch: 8 Idx: 50000 Loss: 0.021060064332208896
Epoch: 8 Idx: 55000 Loss: 0.017769409943215075
Epoch: 8 Idx: 60000 Loss: 0.013855130842561559
Epoch: 9 Idx: 0 Loss: 0.004088622131902407
Epoch: 9 Idx: 5000 Loss: 0.010002254086414078
Epoch: 9 Idx: 10000 Loss: 0.05756978139955828
Epoch: 9 Idx: 15000 Loss: 0.036059452317703584
Epoch: 9 Idx: 20000 Loss: 0.013661479925098478
Epoch: 9 Idx: 25000 Loss: 0.003426937644748175
Epoch: 9 Idx: 30000 Loss: 0.018259984765671592
Epoch: 9 Idx: 35000 Loss: 0.008915724479048199
Epoch: 9 Idx: 40000 Loss: 0.08592208601003368
Epoch: 9 Idx: 45000 Loss: 0.0014240152526183492
Epoch: 9 Idx: 50000 Loss: 0.07531838463468299
Epoch: 9 Idx: 55000 Loss: 0.03899463091376962
Epoch: 9 Idx: 60000 Loss: 0.012343076696804942
Epoch: 10 Idx: 0 Loss: 0.010414036031116894
Epoch: 10 Idx: 5000 Loss: 0.0036807179285417617
Epoch: 10 Idx: 10000 Loss: 0.08246181563432069
Epoch: 10 Idx: 15000 Loss: 0.03411790382333221
Epoch: 10 Idx: 20000 Loss: 0.014888029492137725
Epoch: 10 Idx: 25000 Loss: 0.009918186933569061
Epoch: 10 Idx: 30000 Loss: 0.0117083340156335
Epoch: 10 Idx: 35000 Loss: 0.03537735735291318
Epoch: 10 Idx: 40000 Loss: 0.00967994381611258
Epoch: 10 Idx: 45000 Loss: 0.011022966924869376
Epoch: 10 Idx: 50000 Loss: 0.07446261590689193
Epoch: 10 Idx: 55000 Loss: 0.010681495970035617
Epoch: 10 Idx: 60000 Loss: 0.013640552262959252
Epoch: 11 Idx: 0 Loss: 0.01618913285046337
Epoch: 11 Idx: 5000 Loss: 0.0012884965305843504
Epoch: 11 Idx: 10000 Loss: 0.031066332106022575
Epoch: 11 Idx: 15000 Loss: 0.016782432976553584
Epoch: 11 Idx: 20000 Loss: 0.012823287861605207
Epoch: 11 Idx: 25000 Loss: 0.028188053994540625
Epoch: 11 Idx: 30000 Loss: 0.0796322514698096
Epoch: 11 Idx: 35000 Loss: 0.01835635524508967
Epoch: 11 Idx: 40000 Loss: 0.040413896396705846
Epoch: 11 Idx: 45000 Loss: 0.007127575029715501
Epoch: 11 Idx: 50000 Loss: 0.010258112479768164
Epoch: 11 Idx: 55000 Loss: 0.14805538325040685
Epoch: 11 Idx: 60000 Loss: 0.014735877236470574
Epoch: 12 Idx: 0 Loss: 0.026308556675501953
Epoch: 12 Idx: 5000 Loss: 0.01659703924764259
Epoch: 12 Idx: 10000 Loss: 0.005088374144366997
Epoch: 12 Idx: 15000 Loss: 0.009675665161619716
Epoch: 12 Idx: 20000 Loss: 0.034076444088975456
Epoch: 12 Idx: 25000 Loss: 0.005269925674620581
Epoch: 12 Idx: 30000 Loss: 0.038692665484031045
