Number of neighbours: 23
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.26353742720383044
Epoch: 0 Idx: 1000 Loss: 0.009508081935034949
Epoch: 0 Idx: 2000 Loss: 0.02371400097643641
Epoch: 0 Idx: 3000 Loss: 0.006733653966774687
Epoch: 0 Idx: 4000 Loss: 0.024656244547817896
Epoch: 0 Idx: 5000 Loss: 0.026116680126835577
Epoch: 0 Idx: 6000 Loss: 0.0363831607119487
Epoch: 0 Idx: 7000 Loss: 0.019968992376561277
Epoch: 0 Idx: 8000 Loss: 0.05894845515785559
Epoch: 0 Idx: 9000 Loss: 0.012457709319071801
Epoch: 0 Idx: 10000 Loss: 0.004625464356344358
Epoch: 0 Idx: 11000 Loss: 0.04975177076134429
Epoch: 0 Idx: 12000 Loss: 0.016072959665255654
Epoch: 0 Idx: 13000 Loss: 0.03548866626713889
Epoch: 0 Idx: 14000 Loss: 0.026980695299027843
Epoch: 0 Idx: 15000 Loss: 0.045548259385349066
Epoch: 0 Idx: 16000 Loss: 0.029223588131593124
Epoch: 0 Idx: 17000 Loss: 0.02664849768210172
Epoch: 1 Idx: 0 Loss: 0.009086240866481262
Epoch: 1 Idx: 1000 Loss: 0.0019144892592626557
Epoch: 1 Idx: 2000 Loss: 0.006118003009764615
Epoch: 1 Idx: 3000 Loss: 0.014968182646493853
Epoch: 1 Idx: 4000 Loss: 0.009099894657598953
Epoch: 1 Idx: 5000 Loss: 0.02433790046684955
Epoch: 1 Idx: 6000 Loss: 0.007278576637485374
Epoch: 1 Idx: 7000 Loss: 0.00951596546666945
Epoch: 1 Idx: 8000 Loss: 0.0056348562676355445
Epoch: 1 Idx: 9000 Loss: 0.0228955007084186
Epoch: 1 Idx: 10000 Loss: 0.010022584831924445
Epoch: 1 Idx: 11000 Loss: 0.0462464789894282
Epoch: 1 Idx: 12000 Loss: 0.0060326396338410745
Epoch: 1 Idx: 13000 Loss: 0.01825083514423857
Epoch: 1 Idx: 14000 Loss: 0.02824571005662161
Epoch: 1 Idx: 15000 Loss: 0.018469072967645918
Epoch: 1 Idx: 16000 Loss: 0.007385912722888539
Epoch: 1 Idx: 17000 Loss: 0.04110094484332393
Epoch: 2 Idx: 0 Loss: 0.01134018731783117
Epoch: 2 Idx: 1000 Loss: 0.014796072799991414
Epoch: 2 Idx: 2000 Loss: 0.019610573263600127
Epoch: 2 Idx: 3000 Loss: 0.04570257542594771
Epoch: 2 Idx: 4000 Loss: 0.01163485780475053
Epoch: 2 Idx: 5000 Loss: 0.034653937494731925
Epoch: 2 Idx: 6000 Loss: 0.008532832756578438
Epoch: 2 Idx: 7000 Loss: 0.07581036774378339
Epoch: 2 Idx: 8000 Loss: 0.02064525862699115
Epoch: 2 Idx: 9000 Loss: 0.03186827829066915
Epoch: 2 Idx: 10000 Loss: 0.016400148893345446
Epoch: 2 Idx: 11000 Loss: 0.05009297300053061
Epoch: 2 Idx: 12000 Loss: 0.004599626192260678
Epoch: 2 Idx: 13000 Loss: 0.021348513935047147
Epoch: 2 Idx: 14000 Loss: 0.03147219014147112
Epoch: 2 Idx: 15000 Loss: 0.01727484822089737
Epoch: 2 Idx: 16000 Loss: 0.06179824418911374
Epoch: 2 Idx: 17000 Loss: 0.010329423830881326
Epoch: 3 Idx: 0 Loss: 0.013046485981685889
Epoch: 3 Idx: 1000 Loss: 0.011204090799417135
Epoch: 3 Idx: 2000 Loss: 0.005942550709892713
Epoch: 3 Idx: 3000 Loss: 0.027940830232080875
Epoch: 3 Idx: 4000 Loss: 0.004094438934364252
Epoch: 3 Idx: 5000 Loss: 0.00649030464139046
Epoch: 3 Idx: 6000 Loss: 0.017372683268200895
Epoch: 3 Idx: 7000 Loss: 0.07096262376229585
Epoch: 3 Idx: 8000 Loss: 0.01866015298627801
Epoch: 3 Idx: 9000 Loss: 0.013838934435315177
Epoch: 3 Idx: 10000 Loss: 0.011149051916612944
Epoch: 3 Idx: 11000 Loss: 0.015552194984087397
Epoch: 3 Idx: 12000 Loss: 0.005659331276016536
Epoch: 3 Idx: 13000 Loss: 0.005860238368568581
Epoch: 3 Idx: 14000 Loss: 0.05901435575351566
Epoch: 3 Idx: 15000 Loss: 0.07310319520074472
Epoch: 3 Idx: 16000 Loss: 0.05466341559252939
Epoch: 3 Idx: 17000 Loss: 0.01722676135680466
Epoch: 4 Idx: 0 Loss: 0.010327666030209659
Epoch: 4 Idx: 1000 Loss: 0.045552070633890634
Epoch: 4 Idx: 2000 Loss: 0.025541493568574686
Epoch: 4 Idx: 3000 Loss: 0.011461572177571135
Epoch: 4 Idx: 4000 Loss: 0.011593074002324373
Epoch: 4 Idx: 5000 Loss: 0.01722114473411129
Epoch: 4 Idx: 6000 Loss: 0.06259169803807302
Epoch: 4 Idx: 7000 Loss: 0.0010868926917436685
Epoch: 4 Idx: 8000 Loss: 0.00803623013611871
Epoch: 4 Idx: 9000 Loss: 0.022100517770983263
Epoch: 4 Idx: 10000 Loss: 0.03384239777497259
Epoch: 4 Idx: 11000 Loss: 0.008357536841248535
Epoch: 4 Idx: 12000 Loss: 0.07778563009020865
Epoch: 4 Idx: 13000 Loss: 0.0363576367383614
Epoch: 4 Idx: 14000 Loss: 0.04901227701046789
Epoch: 4 Idx: 15000 Loss: 0.013128078571257784
Epoch: 4 Idx: 16000 Loss: 0.01620335380912104
Epoch: 4 Idx: 17000 Loss: 0.01775514630465976
Epoch: 5 Idx: 0 Loss: 0.025745749130574508
Epoch: 5 Idx: 1000 Loss: 0.011106604433023184
Epoch: 5 Idx: 2000 Loss: 0.020180631705127867
Epoch: 5 Idx: 3000 Loss: 0.02778290329466699
Epoch: 5 Idx: 4000 Loss: 0.06264690656645669
Epoch: 5 Idx: 5000 Loss: 0.01064440241904729
Epoch: 5 Idx: 6000 Loss: 0.008797228258738589
Epoch: 5 Idx: 7000 Loss: 0.02165433883650561
Epoch: 5 Idx: 8000 Loss: 0.010178321137290428
Epoch: 5 Idx: 9000 Loss: 0.03237004937823251
Epoch: 5 Idx: 10000 Loss: 0.013855194532435944
Epoch: 5 Idx: 11000 Loss: 0.006621553409961931
Epoch: 5 Idx: 12000 Loss: 0.017633816462122386
Epoch: 5 Idx: 13000 Loss: 0.029032273440745462
Epoch: 5 Idx: 14000 Loss: 0.11890381629758266
Epoch: 5 Idx: 15000 Loss: 0.009066840172002823
Epoch: 5 Idx: 16000 Loss: 0.01911406697443525
Epoch: 5 Idx: 17000 Loss: 0.017780803375390338
Epoch: 6 Idx: 0 Loss: 0.0432087687410863
Epoch: 6 Idx: 1000 Loss: 0.009625894526900795
Epoch: 6 Idx: 2000 Loss: 0.024615619342626432
Epoch: 6 Idx: 3000 Loss: 0.08202865486716963
Epoch: 6 Idx: 4000 Loss: 0.01632774795076327
Epoch: 6 Idx: 5000 Loss: 0.026970539966145766
Epoch: 6 Idx: 6000 Loss: 0.014442400357104205
Epoch: 6 Idx: 7000 Loss: 0.0061373869765830825
Epoch: 6 Idx: 8000 Loss: 0.01625464313145968
Epoch: 6 Idx: 9000 Loss: 0.008204984671085474
Epoch: 6 Idx: 10000 Loss: 0.006878897806116227
Epoch: 6 Idx: 11000 Loss: 0.014934626640485619
Epoch: 6 Idx: 12000 Loss: 0.013884847535356171
Epoch: 6 Idx: 13000 Loss: 0.011808920960829168
Epoch: 6 Idx: 14000 Loss: 0.026422173710185078
Epoch: 6 Idx: 15000 Loss: 0.05031632685225626
Epoch: 6 Idx: 16000 Loss: 0.026295797224634883
Epoch: 6 Idx: 17000 Loss: 0.02347825015707213
Epoch: 7 Idx: 0 Loss: 0.015333834425727683
Epoch: 7 Idx: 1000 Loss: 0.019747264595527093
Epoch: 7 Idx: 2000 Loss: 0.029946588254304282
Epoch: 7 Idx: 3000 Loss: 0.08777897076717461
Epoch: 7 Idx: 4000 Loss: 0.02209336128155196
Epoch: 7 Idx: 5000 Loss: 0.011344203473821956
Epoch: 7 Idx: 6000 Loss: 0.024785235690262798
Epoch: 7 Idx: 7000 Loss: 0.03499075249101832
Epoch: 7 Idx: 8000 Loss: 0.021084497929456002
Epoch: 7 Idx: 9000 Loss: 0.019340951874241848
Epoch: 7 Idx: 10000 Loss: 0.029795966243344612
Epoch: 7 Idx: 11000 Loss: 0.03905864128719862
Epoch: 7 Idx: 12000 Loss: 0.12222567054833701
Epoch: 7 Idx: 13000 Loss: 0.018401240265923227
Epoch: 7 Idx: 14000 Loss: 0.019400997435283847
Epoch: 7 Idx: 15000 Loss: 0.006592424603537628
Epoch: 7 Idx: 16000 Loss: 0.015157370786310563
Epoch: 7 Idx: 17000 Loss: 0.014786517523406728
Epoch: 8 Idx: 0 Loss: 0.04704738667222898
Epoch: 8 Idx: 1000 Loss: 0.041094260991337346
Epoch: 8 Idx: 2000 Loss: 0.010433772225696669
Epoch: 8 Idx: 3000 Loss: 0.0609121464065018
Epoch: 8 Idx: 4000 Loss: 0.0036929471596288733
Epoch: 8 Idx: 5000 Loss: 0.030597734683164696
Epoch: 8 Idx: 6000 Loss: 0.03503800215164621
Epoch: 8 Idx: 7000 Loss: 0.01677316141075158
Epoch: 8 Idx: 8000 Loss: 0.05384259017682759
Epoch: 8 Idx: 9000 Loss: 0.04399429345467811
Epoch: 8 Idx: 10000 Loss: 0.009671039812256943
Epoch: 8 Idx: 11000 Loss: 0.010595505290481113
Epoch: 8 Idx: 12000 Loss: 0.002130577618028354
Epoch: 8 Idx: 13000 Loss: 0.016360630651212717
Epoch: 8 Idx: 14000 Loss: 0.04120719346896969
Epoch: 8 Idx: 15000 Loss: 0.04576051438352067
Epoch: 8 Idx: 16000 Loss: 0.016364842227101804
Epoch: 8 Idx: 17000 Loss: 0.0575937185539827
Epoch: 9 Idx: 0 Loss: 0.007869210674916674
Epoch: 9 Idx: 1000 Loss: 0.023025423285071185
Epoch: 9 Idx: 2000 Loss: 0.010444125031718569
