Number of neighbours: 23
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.2795356917518875
Epoch: 0 Idx: 1000 Loss: 0.06089086977320518
Epoch: 0 Idx: 2000 Loss: 0.029416648755590448
Epoch: 0 Idx: 3000 Loss: 0.009447170928521523
Epoch: 0 Idx: 4000 Loss: 0.06824701393113755
Epoch: 0 Idx: 5000 Loss: 0.025239482931591225
Epoch: 0 Idx: 6000 Loss: 0.026331342003980008
Epoch: 0 Idx: 7000 Loss: 0.027570111759944393
Epoch: 0 Idx: 8000 Loss: 0.004951315354080527
Epoch: 0 Idx: 9000 Loss: 0.012586205143709355
Epoch: 0 Idx: 10000 Loss: 0.004089209210039188
Epoch: 0 Idx: 11000 Loss: 0.022708606743065213
Epoch: 0 Idx: 12000 Loss: 0.01192812215120234
Epoch: 0 Idx: 13000 Loss: 0.03176605887708435
Epoch: 0 Idx: 14000 Loss: 0.09926606282241526
Epoch: 0 Idx: 15000 Loss: 0.005847277988606765
Epoch: 0 Idx: 16000 Loss: 0.017247598108280852
Epoch: 0 Idx: 17000 Loss: 0.029473823574545407
Epoch: 1 Idx: 0 Loss: 0.010753633273492474
Epoch: 1 Idx: 1000 Loss: 0.0296351487156752
Epoch: 1 Idx: 2000 Loss: 0.007124181211015314
Epoch: 1 Idx: 3000 Loss: 0.006900921697726913
Epoch: 1 Idx: 4000 Loss: 0.020561037387395075
Epoch: 1 Idx: 5000 Loss: 0.014217486043508375
Epoch: 1 Idx: 6000 Loss: 0.05836993814806952
Epoch: 1 Idx: 7000 Loss: 0.018780442309652007
Epoch: 1 Idx: 8000 Loss: 0.051337075412992206
Epoch: 1 Idx: 9000 Loss: 0.04356014295735285
Epoch: 1 Idx: 10000 Loss: 0.01383927620115372
Epoch: 1 Idx: 11000 Loss: 0.04310990514463316
Epoch: 1 Idx: 12000 Loss: 0.014342476212144033
Epoch: 1 Idx: 13000 Loss: 0.034256323802652346
Epoch: 1 Idx: 14000 Loss: 0.024374987564723356
Epoch: 1 Idx: 15000 Loss: 0.029939533159150378
Epoch: 1 Idx: 16000 Loss: 0.07168714065371004
Epoch: 1 Idx: 17000 Loss: 0.021286328432258396
Epoch: 2 Idx: 0 Loss: 0.006557861846875694
Epoch: 2 Idx: 1000 Loss: 0.01494489261602589
Epoch: 2 Idx: 2000 Loss: 0.01070415519580326
Epoch: 2 Idx: 3000 Loss: 0.008121945417508889
Epoch: 2 Idx: 4000 Loss: 0.009574930879559972
Epoch: 2 Idx: 5000 Loss: 0.01819197793637389
Epoch: 2 Idx: 6000 Loss: 0.009976463184121862
Epoch: 2 Idx: 7000 Loss: 0.06286113797693507
Epoch: 2 Idx: 8000 Loss: 0.007755279104163947
Epoch: 2 Idx: 9000 Loss: 0.03862038689179416
Epoch: 2 Idx: 10000 Loss: 0.027649305204494032
Epoch: 2 Idx: 11000 Loss: 0.013845408159156669
Epoch: 2 Idx: 12000 Loss: 0.02871832055298155
Epoch: 2 Idx: 13000 Loss: 0.00795523964901596
Epoch: 2 Idx: 14000 Loss: 0.014447995244066125
Epoch: 2 Idx: 15000 Loss: 0.022805801107052683
Epoch: 2 Idx: 16000 Loss: 0.026912859120714394
Epoch: 2 Idx: 17000 Loss: 0.021957717767054147
Epoch: 3 Idx: 0 Loss: 0.03640331207093391
Epoch: 3 Idx: 1000 Loss: 0.013778880422906375
Epoch: 3 Idx: 2000 Loss: 0.011665618208144416
Epoch: 3 Idx: 3000 Loss: 0.006140289721864412
Epoch: 3 Idx: 4000 Loss: 0.011652496964596509
Epoch: 3 Idx: 5000 Loss: 0.0462157481957083
Epoch: 3 Idx: 6000 Loss: 0.020574204897814346
Epoch: 3 Idx: 7000 Loss: 0.007150114443077538
Epoch: 3 Idx: 8000 Loss: 0.01099846749149426
Epoch: 3 Idx: 9000 Loss: 0.03501808749315154
Epoch: 3 Idx: 10000 Loss: 0.022366085055698127
Epoch: 3 Idx: 11000 Loss: 0.0012734819749907764
Epoch: 3 Idx: 12000 Loss: 0.012534523450350605
Epoch: 3 Idx: 13000 Loss: 0.002919519059548666
Epoch: 3 Idx: 14000 Loss: 0.015043526842832743
Epoch: 3 Idx: 15000 Loss: 0.02952385181372062
Epoch: 3 Idx: 16000 Loss: 0.030308179488202816
Epoch: 3 Idx: 17000 Loss: 0.010346336325386767
Epoch: 4 Idx: 0 Loss: 0.0019695786394130278
Epoch: 4 Idx: 1000 Loss: 0.028613338073541997
Epoch: 4 Idx: 2000 Loss: 0.03868896607901918
Epoch: 4 Idx: 3000 Loss: 0.002479301333781605
Epoch: 4 Idx: 4000 Loss: 0.05947313646080733
Epoch: 4 Idx: 5000 Loss: 0.008336044018008762
Epoch: 4 Idx: 6000 Loss: 0.014879541672118269
Epoch: 4 Idx: 7000 Loss: 0.07649277646601645
Epoch: 4 Idx: 8000 Loss: 0.02232972003561084
Epoch: 4 Idx: 9000 Loss: 0.020503599198154338
Epoch: 4 Idx: 10000 Loss: 0.009447397630877466
Epoch: 4 Idx: 11000 Loss: 0.016520853281581576
Epoch: 4 Idx: 12000 Loss: 0.04813923699286311
Epoch: 4 Idx: 13000 Loss: 0.006763296584244955
Epoch: 4 Idx: 14000 Loss: 0.07212942893119263
Epoch: 4 Idx: 15000 Loss: 0.031519827947359025
Epoch: 4 Idx: 16000 Loss: 0.034563582917899495
Epoch: 4 Idx: 17000 Loss: 0.008040243011327415
Epoch: 5 Idx: 0 Loss: 0.008408427018494905
Epoch: 5 Idx: 1000 Loss: 0.0036138572583512695
Epoch: 5 Idx: 2000 Loss: 0.07686393748751798
Epoch: 5 Idx: 3000 Loss: 0.015710832359091268
Epoch: 5 Idx: 4000 Loss: 0.017094503612263574
Epoch: 5 Idx: 5000 Loss: 0.010098625663443684
Epoch: 5 Idx: 6000 Loss: 0.005048514972908759
Epoch: 5 Idx: 7000 Loss: 0.013755218080708285
Epoch: 5 Idx: 8000 Loss: 0.036789337609864595
Epoch: 5 Idx: 9000 Loss: 0.01516552272024827
Epoch: 5 Idx: 10000 Loss: 0.020167214490490692
Epoch: 5 Idx: 11000 Loss: 0.01946730018201002
Epoch: 5 Idx: 12000 Loss: 0.011356667126349872
Epoch: 5 Idx: 13000 Loss: 0.017037542836880276
Epoch: 5 Idx: 14000 Loss: 0.02424711523812473
Epoch: 5 Idx: 15000 Loss: 0.023879522263628907
Epoch: 5 Idx: 16000 Loss: 0.013660589362888869
Epoch: 5 Idx: 17000 Loss: 0.0181786264174117
Epoch: 6 Idx: 0 Loss: 0.02946473272874882
Epoch: 6 Idx: 1000 Loss: 0.02836720675973625
Epoch: 6 Idx: 2000 Loss: 0.009333601246010398
Epoch: 6 Idx: 3000 Loss: 0.005553747465969052
Epoch: 6 Idx: 4000 Loss: 0.01975115971198011
Epoch: 6 Idx: 5000 Loss: 0.04984341578758601
Epoch: 6 Idx: 6000 Loss: 0.02547107456450075
Epoch: 6 Idx: 7000 Loss: 0.018283128970925853
Epoch: 6 Idx: 8000 Loss: 0.009898724161299121
Epoch: 6 Idx: 9000 Loss: 0.022346341167838422
Epoch: 6 Idx: 10000 Loss: 0.028530344927277913
Epoch: 6 Idx: 11000 Loss: 0.008551138592655378
Epoch: 6 Idx: 12000 Loss: 0.0044586849517258735
Epoch: 6 Idx: 13000 Loss: 0.042156963898081615
Epoch: 6 Idx: 14000 Loss: 0.009291005716808453
Epoch: 6 Idx: 15000 Loss: 0.014375780477635294
Epoch: 6 Idx: 16000 Loss: 0.010728618817998923
