Number of neighbours: 28
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.17983767702256925
Epoch: 0 Idx: 5000 Loss: 0.01837386645020052
Epoch: 0 Idx: 10000 Loss: 0.04741010345779846
Epoch: 0 Idx: 15000 Loss: 0.05224030802596702
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.19892518686614552
Epoch: 1 Idx: 5000 Loss: 0.05420028114741603
Epoch: 1 Idx: 10000 Loss: 0.014038626254466365
Epoch: 1 Idx: 15000 Loss: 0.028680429142760755
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.14320990925247587
Epoch: 2 Idx: 5000 Loss: 0.02184027067622208
Epoch: 2 Idx: 10000 Loss: 0.01295756919772234
Epoch: 2 Idx: 15000 Loss: 0.004301519510181556
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.006228610075425991
Epoch: 3 Idx: 5000 Loss: 0.019842217966937678
Epoch: 3 Idx: 10000 Loss: 0.013650994564846594
Epoch: 3 Idx: 15000 Loss: 0.015564352094192269
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.09499274429170503
Epoch: 4 Idx: 5000 Loss: 0.01872256999215343
Epoch: 4 Idx: 10000 Loss: 0.03006533352916527
Epoch: 4 Idx: 15000 Loss: 0.015139031332348604
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.08390010798350778
Epoch: 5 Idx: 5000 Loss: 0.011354779412435657
Epoch: 5 Idx: 10000 Loss: 0.10889066874185183
Epoch: 5 Idx: 15000 Loss: 0.020034420909476235
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.24033746650472432
Epoch: 6 Idx: 5000 Loss: 0.018483773331807726
Epoch: 6 Idx: 10000 Loss: 0.06110205650799687
Epoch: 6 Idx: 15000 Loss: 0.007645149930320019
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.13390077320170526
Epoch: 7 Idx: 5000 Loss: 0.02080224110225598
Epoch: 7 Idx: 10000 Loss: 0.03175125012828205
Epoch: 7 Idx: 15000 Loss: 0.004010326699744407
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.003234175555161642
Epoch: 8 Idx: 5000 Loss: 0.07682590975602269
Epoch: 8 Idx: 10000 Loss: 0.006712917493672122
Epoch: 8 Idx: 15000 Loss: 0.018196111329441152
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.2400973862205922
Epoch: 9 Idx: 5000 Loss: 0.04049044742414814
Epoch: 9 Idx: 10000 Loss: 0.0295466341719107
Epoch: 9 Idx: 15000 Loss: 0.0072321526067576775
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.08185632517668985
Epoch: 10 Idx: 5000 Loss: 0.04013288244165166
Epoch: 10 Idx: 10000 Loss: 0.02115494976564806
Epoch: 10 Idx: 15000 Loss: 0.017644212366287996
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.1584138655196379
Epoch: 11 Idx: 5000 Loss: 0.0229833572339472
Epoch: 11 Idx: 10000 Loss: 0.01466464132388494
Epoch: 11 Idx: 15000 Loss: 0.024107053158776905
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.1251994292177279
Epoch: 12 Idx: 5000 Loss: 0.011574896215809875
Epoch: 12 Idx: 10000 Loss: 0.0242837255329008
Epoch: 12 Idx: 15000 Loss: 0.013347648274122456
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.014680624675800157
Epoch: 13 Idx: 5000 Loss: 0.008499428192987817
Epoch: 13 Idx: 10000 Loss: 0.030865554901618044
Epoch: 13 Idx: 15000 Loss: 0.02669164471793229
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.1419725634211884
Epoch: 14 Idx: 5000 Loss: 0.024255495035800385
Epoch: 14 Idx: 10000 Loss: 0.030131431882631017
Epoch: 14 Idx: 15000 Loss: 0.021914655326976167
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.21120220103211682
Epoch: 15 Idx: 5000 Loss: 0.05121176019821657
Epoch: 15 Idx: 10000 Loss: 0.009110112005234827
Epoch: 15 Idx: 15000 Loss: 0.01882560851571212
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.010176833800702919
Epoch: 16 Idx: 5000 Loss: 0.01793273952846917
Epoch: 16 Idx: 10000 Loss: 0.017449418559382094
