Number of neighbours: 32
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.1471805072262376
Epoch: 0 Idx: 1000 Loss: 0.055943304530007
Epoch: 0 Idx: 2000 Loss: 0.02341470074509012
Epoch: 0 Idx: 3000 Loss: 0.0236579622572942
Epoch: 0 Idx: 4000 Loss: 0.04231393408024672
Epoch: 0 Idx: 5000 Loss: 0.03419940579778344
Epoch: 0 Idx: 6000 Loss: 0.01666215076543114
Epoch: 0 Idx: 7000 Loss: 0.080278092076122
Epoch: 0 Idx: 8000 Loss: 0.09585839899419021
Epoch: 0 Idx: 9000 Loss: 0.09114618426124056
Epoch: 0 Idx: 10000 Loss: 0.03938080455160407
Epoch: 0 Idx: 11000 Loss: 0.04202855531860209
Epoch: 0 Idx: 12000 Loss: 0.0799215220649409
Epoch: 0 Idx: 13000 Loss: 0.01063619458553101
Epoch: 0 Idx: 14000 Loss: 0.03578754188005277
Epoch: 0 Idx: 15000 Loss: 0.028408808639715954
Epoch: 0 Idx: 16000 Loss: 0.02979584507132753
Epoch: 0 Idx: 17000 Loss: 0.07876344411311093
Epoch: 1 Idx: 0 Loss: 0.04605545397238914
Epoch: 1 Idx: 1000 Loss: 0.06138148363291989
Epoch: 1 Idx: 2000 Loss: 0.016481995022742266
Epoch: 1 Idx: 3000 Loss: 0.06709019807167081
Epoch: 1 Idx: 4000 Loss: 0.01940413136984688
Epoch: 1 Idx: 5000 Loss: 0.03536476311373999
Epoch: 1 Idx: 6000 Loss: 0.02519700776923866
Epoch: 1 Idx: 7000 Loss: 0.04481474705725049
Epoch: 1 Idx: 8000 Loss: 0.09353210936046437
Epoch: 1 Idx: 9000 Loss: 0.0341256669427409
Epoch: 1 Idx: 10000 Loss: 0.031372604006444864
Epoch: 1 Idx: 11000 Loss: 0.007231727396870799
Epoch: 1 Idx: 12000 Loss: 0.03590188063332588
Epoch: 1 Idx: 13000 Loss: 0.024166438476885307
Epoch: 1 Idx: 14000 Loss: 0.06630629643348686
Epoch: 1 Idx: 15000 Loss: 0.03813134363966273
Epoch: 1 Idx: 16000 Loss: 0.025808602498319483
Epoch: 1 Idx: 17000 Loss: 0.0983546735891153
Epoch: 2 Idx: 0 Loss: 0.015691349757848333
Epoch: 2 Idx: 1000 Loss: 0.024851398463363816
Epoch: 2 Idx: 2000 Loss: 0.04138246311727561
Epoch: 2 Idx: 3000 Loss: 0.01623845653884762
Epoch: 2 Idx: 4000 Loss: 0.07432925430914318
Epoch: 2 Idx: 5000 Loss: 0.029322730193666005
Epoch: 2 Idx: 6000 Loss: 0.07707158017695488
