Number of neighbours: 32
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.21973834350890264
Epoch: 0 Idx: 1000 Loss: 0.03673327556649819
Epoch: 0 Idx: 2000 Loss: 0.05089958981562228
Epoch: 0 Idx: 3000 Loss: 0.03902902642446891
Epoch: 0 Idx: 4000 Loss: 0.04251896430148833
Epoch: 0 Idx: 5000 Loss: 0.00996388284482212
Epoch: 0 Idx: 6000 Loss: 0.007759517758017246
Epoch: 0 Idx: 7000 Loss: 0.015957740068383835
Epoch: 0 Idx: 8000 Loss: 0.029721507209259625
Epoch: 0 Idx: 9000 Loss: 0.03159864225637212
Epoch: 0 Idx: 10000 Loss: 0.020592125828523655
Epoch: 0 Idx: 11000 Loss: 0.019175440823241532
Epoch: 0 Idx: 12000 Loss: 0.0024410803078357456
Epoch: 0 Idx: 13000 Loss: 0.038957677817844455
Epoch: 0 Idx: 14000 Loss: 0.008737967456105932
Epoch: 0 Idx: 15000 Loss: 0.012521948029687284
Epoch: 0 Idx: 16000 Loss: 0.01423814074664215
Epoch: 0 Idx: 17000 Loss: 0.007498614239669123
Epoch: 0 Idx: 18000 Loss: 0.03199353219817489
Epoch: 0 Idx: 19000 Loss: 0.0067338829638160565
Epoch: 0 Idx: 20000 Loss: 0.0038113300005392734
Epoch: 1 Idx: 0 Loss: 0.06344364087484092
Epoch: 1 Idx: 1000 Loss: 0.038457904965125564
Epoch: 1 Idx: 2000 Loss: 0.011589593670467541
Epoch: 1 Idx: 3000 Loss: 0.030831827898197665
Epoch: 1 Idx: 4000 Loss: 0.018743877635416673
Epoch: 1 Idx: 5000 Loss: 0.026300293320107727
Epoch: 1 Idx: 6000 Loss: 0.0065659366973910204
Epoch: 1 Idx: 7000 Loss: 0.04212352122339759
Epoch: 1 Idx: 8000 Loss: 0.024833824532369937
Epoch: 1 Idx: 9000 Loss: 0.014484841192143147
Epoch: 1 Idx: 10000 Loss: 0.005633669526715589
Epoch: 1 Idx: 11000 Loss: 0.030826787982799107
Epoch: 1 Idx: 12000 Loss: 0.02510969090421469
Epoch: 1 Idx: 13000 Loss: 0.0241097820788182
Epoch: 1 Idx: 14000 Loss: 0.09433240271223432
Epoch: 1 Idx: 15000 Loss: 0.05296259184770266
Epoch: 1 Idx: 16000 Loss: 0.038231841798281624
Epoch: 1 Idx: 17000 Loss: 0.015577482674853834
Epoch: 1 Idx: 18000 Loss: 0.020381820068624656
Epoch: 1 Idx: 19000 Loss: 0.0060512470845821295
Epoch: 1 Idx: 20000 Loss: 0.018747026243974205
Epoch: 2 Idx: 0 Loss: 0.02996276110553661
Epoch: 2 Idx: 1000 Loss: 0.025321442944449168
Epoch: 2 Idx: 2000 Loss: 0.00628984918752259
Epoch: 2 Idx: 3000 Loss: 0.010921077816107952
Epoch: 2 Idx: 4000 Loss: 0.002919891898826545
