Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.3239382000656197
Epoch: 0 Idx: 1000 Loss: 0.023405976857394054
Epoch: 0 Idx: 2000 Loss: 0.03053567208470407
Epoch: 0 Idx: 3000 Loss: 0.06351536927189706
Epoch: 0 Idx: 4000 Loss: 0.04279882376937578
Epoch: 0 Idx: 5000 Loss: 0.04016069268296406
Epoch: 0 Idx: 6000 Loss: 0.0623061425392016
Epoch: 1 Idx: 0 Loss: 0.010218421304082815
Epoch: 1 Idx: 1000 Loss: 0.029939300869301962
Epoch: 1 Idx: 2000 Loss: 0.024826105218987714
Epoch: 1 Idx: 3000 Loss: 0.0202295332613259
Epoch: 1 Idx: 4000 Loss: 0.026718583707034428
Epoch: 1 Idx: 5000 Loss: 0.02899776813635178
Epoch: 1 Idx: 6000 Loss: 0.00806282271066521
Epoch: 2 Idx: 0 Loss: 0.015641683619114354
Epoch: 2 Idx: 1000 Loss: 0.022471979966731732
Epoch: 2 Idx: 2000 Loss: 0.03202197362325016
Epoch: 2 Idx: 3000 Loss: 0.03376377846369469
Epoch: 2 Idx: 4000 Loss: 0.013558477928628982
Epoch: 2 Idx: 5000 Loss: 0.05111761575535045
Epoch: 2 Idx: 6000 Loss: 0.036091287104264
Epoch: 3 Idx: 0 Loss: 0.03265526055320444
Epoch: 3 Idx: 1000 Loss: 0.022501064453396256
Epoch: 3 Idx: 2000 Loss: 0.022602178232856627
Epoch: 3 Idx: 3000 Loss: 0.024793656132783785
Epoch: 3 Idx: 4000 Loss: 0.00439037231106138
Epoch: 3 Idx: 5000 Loss: 0.01293263823135892
Epoch: 3 Idx: 6000 Loss: 0.010100562343569595
Epoch: 4 Idx: 0 Loss: 0.03793940179610082
Epoch: 4 Idx: 1000 Loss: 0.008723209042992295
Epoch: 4 Idx: 2000 Loss: 0.025643454730037155
Epoch: 4 Idx: 3000 Loss: 0.04154570644718476
Epoch: 4 Idx: 4000 Loss: 0.003084435755908159
Epoch: 4 Idx: 5000 Loss: 0.006347063726500533
Epoch: 4 Idx: 6000 Loss: 0.020076514316014808
Epoch: 5 Idx: 0 Loss: 0.06234204227953637
Epoch: 5 Idx: 1000 Loss: 0.004278655133411675
Epoch: 5 Idx: 2000 Loss: 0.05631121395735584
Epoch: 5 Idx: 3000 Loss: 0.011732269093048383
Epoch: 5 Idx: 4000 Loss: 0.02770451884004247
Epoch: 5 Idx: 5000 Loss: 0.030793273321851996
Epoch: 5 Idx: 6000 Loss: 0.009776365308292498
Epoch: 6 Idx: 0 Loss: 0.02192337790873722
Epoch: 6 Idx: 1000 Loss: 0.02696714084267774
Epoch: 6 Idx: 2000 Loss: 0.04796306396617352
Epoch: 6 Idx: 3000 Loss: 0.010204451664592188
Epoch: 6 Idx: 4000 Loss: 0.018709992093040223
Epoch: 6 Idx: 5000 Loss: 0.01725914026551441
Epoch: 6 Idx: 6000 Loss: 0.013943270014114112
Epoch: 7 Idx: 0 Loss: 0.026601224349393215
Epoch: 7 Idx: 1000 Loss: 0.014367081068052309
Epoch: 7 Idx: 2000 Loss: 0.018640104590808754
Epoch: 7 Idx: 3000 Loss: 0.02529576865966891
Epoch: 7 Idx: 4000 Loss: 0.010938785777092525
Epoch: 7 Idx: 5000 Loss: 0.06824339118092927
Epoch: 7 Idx: 6000 Loss: 0.008226518063086335
Epoch: 8 Idx: 0 Loss: 0.00349167626112779
Epoch: 8 Idx: 1000 Loss: 0.020038017154129444
Epoch: 8 Idx: 2000 Loss: 0.019375589060304507
Epoch: 8 Idx: 3000 Loss: 0.021056585099032292
Epoch: 8 Idx: 4000 Loss: 0.020330080235100204
Epoch: 8 Idx: 5000 Loss: 0.013399250195527667
Epoch: 8 Idx: 6000 Loss: 0.013309309242500608
Epoch: 9 Idx: 0 Loss: 0.011106456844165308
Epoch: 9 Idx: 1000 Loss: 0.01303420370716214
Epoch: 9 Idx: 2000 Loss: 0.043010050849990655
Epoch: 9 Idx: 3000 Loss: 0.036222491220367345
Epoch: 9 Idx: 4000 Loss: 0.026900032245907323
Epoch: 9 Idx: 5000 Loss: 0.017747892275733992
Epoch: 9 Idx: 6000 Loss: 0.014633874983809312
Epoch: 10 Idx: 0 Loss: 0.010201891226640482
Epoch: 10 Idx: 1000 Loss: 0.03221210851259439
Epoch: 10 Idx: 2000 Loss: 0.011084465637073436
Epoch: 10 Idx: 3000 Loss: 0.03059403676997508
Epoch: 10 Idx: 4000 Loss: 0.01756742012525602
Epoch: 10 Idx: 5000 Loss: 0.019669090146201273
Epoch: 10 Idx: 6000 Loss: 0.008281441549224833
Epoch: 11 Idx: 0 Loss: 0.014400963947135163
Epoch: 11 Idx: 1000 Loss: 0.018177100074418966
Epoch: 11 Idx: 2000 Loss: 0.07004614357196687
Epoch: 11 Idx: 3000 Loss: 0.018547575996623916
Epoch: 11 Idx: 4000 Loss: 0.014882881822320044
Epoch: 11 Idx: 5000 Loss: 0.021186509646243593
Epoch: 11 Idx: 6000 Loss: 0.01732843296598318
Epoch: 12 Idx: 0 Loss: 0.01147153305929902
