Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.1776845393755269
Epoch: 0 Idx: 1000 Loss: 0.03709790596434417
Epoch: 0 Idx: 2000 Loss: 0.023828098993122424
Epoch: 0 Idx: 3000 Loss: 0.024693709882516728
Epoch: 0 Idx: 4000 Loss: 0.006496572379132281
Epoch: 1 Idx: 0 Loss: 0.019397502254359867
Epoch: 1 Idx: 1000 Loss: 0.009557949777356302
Epoch: 1 Idx: 2000 Loss: 0.009863313460252158
Epoch: 1 Idx: 3000 Loss: 0.011968720973656453
Epoch: 1 Idx: 4000 Loss: 0.03301920961711582
Epoch: 2 Idx: 0 Loss: 0.021150951167721338
Epoch: 2 Idx: 1000 Loss: 0.03137013851954082
Epoch: 2 Idx: 2000 Loss: 0.0607103545234948
Epoch: 2 Idx: 3000 Loss: 0.012550325774648834
Epoch: 2 Idx: 4000 Loss: 0.02650935356765897
Epoch: 3 Idx: 0 Loss: 0.011422265240835332
Epoch: 3 Idx: 1000 Loss: 0.031077579548201627
Epoch: 3 Idx: 2000 Loss: 0.03516845126484146
Epoch: 3 Idx: 3000 Loss: 0.01682339919807678
Epoch: 3 Idx: 4000 Loss: 0.011686921677381567
Epoch: 4 Idx: 0 Loss: 0.003841711839982708
Epoch: 4 Idx: 1000 Loss: 0.0035352390943267542
Epoch: 4 Idx: 2000 Loss: 0.04835256767611596
Epoch: 4 Idx: 3000 Loss: 0.007683235721173323
Epoch: 4 Idx: 4000 Loss: 0.019375024559648468
Epoch: 5 Idx: 0 Loss: 0.030373521506928063
Epoch: 5 Idx: 1000 Loss: 0.019786457858444708
Epoch: 5 Idx: 2000 Loss: 0.026491409001763513
Epoch: 5 Idx: 3000 Loss: 0.02678908449542462
Epoch: 5 Idx: 4000 Loss: 0.0017072801972586784
Epoch: 6 Idx: 0 Loss: 0.0049220328674783684
Epoch: 6 Idx: 1000 Loss: 0.008765724697438968
Epoch: 6 Idx: 2000 Loss: 0.01900154605061688
Epoch: 6 Idx: 3000 Loss: 0.05927085244790365
Epoch: 6 Idx: 4000 Loss: 0.019961366656730737
Epoch: 7 Idx: 0 Loss: 0.012498754918122672
Epoch: 7 Idx: 1000 Loss: 0.011269305231762977
Epoch: 7 Idx: 2000 Loss: 0.02499358618522572
Epoch: 7 Idx: 3000 Loss: 0.01915428763679436
Epoch: 7 Idx: 4000 Loss: 0.05308136348774799
Epoch: 8 Idx: 0 Loss: 0.010269217359610363
Epoch: 8 Idx: 1000 Loss: 0.044831308696823155
Epoch: 8 Idx: 2000 Loss: 0.004359207143667495
Epoch: 8 Idx: 3000 Loss: 0.027059145824507514
Epoch: 8 Idx: 4000 Loss: 0.012753849885048319
Epoch: 9 Idx: 0 Loss: 0.01428299844911607
Epoch: 9 Idx: 1000 Loss: 0.011667995911289749
Epoch: 9 Idx: 2000 Loss: 0.03036989392453745
Epoch: 9 Idx: 3000 Loss: 0.010045431403406812
Epoch: 9 Idx: 4000 Loss: 0.008627006529831734
Epoch: 10 Idx: 0 Loss: 0.021236061227890464
Epoch: 10 Idx: 1000 Loss: 0.008308671233903626
Epoch: 10 Idx: 2000 Loss: 0.00441643569577908
Epoch: 10 Idx: 3000 Loss: 0.013507483412833365
Epoch: 10 Idx: 4000 Loss: 0.02520197434537372
Epoch: 11 Idx: 0 Loss: 0.023855239333995363
Epoch: 11 Idx: 1000 Loss: 0.011485324927034106
Epoch: 11 Idx: 2000 Loss: 0.020735538569639153
Epoch: 11 Idx: 3000 Loss: 0.011908871157002354
Epoch: 11 Idx: 4000 Loss: 0.008664386990202735
Epoch: 12 Idx: 0 Loss: 0.022071823555501083
Epoch: 12 Idx: 1000 Loss: 0.006790629838680073
Epoch: 12 Idx: 2000 Loss: 0.030784675598860573
Epoch: 12 Idx: 3000 Loss: 0.01667504782246287
Epoch: 12 Idx: 4000 Loss: 0.02172638043860508
Epoch: 13 Idx: 0 Loss: 0.02446005032745913
Epoch: 13 Idx: 1000 Loss: 0.0025472605654316798
Epoch: 13 Idx: 2000 Loss: 0.008777569893595433
Epoch: 13 Idx: 3000 Loss: 0.008898243459588782
Epoch: 13 Idx: 4000 Loss: 0.10897292183862725
Epoch: 14 Idx: 0 Loss: 0.010595325978146929
Epoch: 14 Idx: 1000 Loss: 0.01849351432250623
Epoch: 14 Idx: 2000 Loss: 0.04816006776568358
Epoch: 14 Idx: 3000 Loss: 0.013807038341376515
Epoch: 14 Idx: 4000 Loss: 0.011861043929446815
Epoch: 15 Idx: 0 Loss: 0.012645161670390339
Epoch: 15 Idx: 1000 Loss: 0.03581516385808125
Epoch: 15 Idx: 2000 Loss: 0.017051736416772656
Epoch: 15 Idx: 3000 Loss: 0.010421702902149848
Epoch: 15 Idx: 4000 Loss: 0.04501603206329815
Epoch: 16 Idx: 0 Loss: 0.02806460589240396
Epoch: 16 Idx: 1000 Loss: 0.01911229678122363
Epoch: 16 Idx: 2000 Loss: 0.007054274455849005
Epoch: 16 Idx: 3000 Loss: 0.014306639370016928
Epoch: 16 Idx: 4000 Loss: 0.007973249962288908
Epoch: 17 Idx: 0 Loss: 0.010238204312631456
Epoch: 17 Idx: 1000 Loss: 0.0030228544333653525
Epoch: 17 Idx: 2000 Loss: 0.018584634208326338
Epoch: 17 Idx: 3000 Loss: 0.05201073774772373
Epoch: 17 Idx: 4000 Loss: 0.020152803320853712
Epoch: 18 Idx: 0 Loss: 0.0031768308923414068
Epoch: 18 Idx: 1000 Loss: 0.024133003284051414
Epoch: 18 Idx: 2000 Loss: 0.01199075840819746
Epoch: 18 Idx: 3000 Loss: 0.026188776337185655
Epoch: 18 Idx: 4000 Loss: 0.009911179167410354
Epoch: 19 Idx: 0 Loss: 0.0070888072367772574
Epoch: 19 Idx: 1000 Loss: 0.05148568621240005
Epoch: 19 Idx: 2000 Loss: 0.052296715418257735
Epoch: 19 Idx: 3000 Loss: 0.009619081328633953
Epoch: 19 Idx: 4000 Loss: 0.012127896781658518
Epoch: 20 Idx: 0 Loss: 0.009500413079910312
Epoch: 20 Idx: 1000 Loss: 0.015994892264822574
Epoch: 20 Idx: 2000 Loss: 0.010936525134331057
Epoch: 20 Idx: 3000 Loss: 0.010316853204877663
Epoch: 20 Idx: 4000 Loss: 0.019668894245161946
Epoch: 21 Idx: 0 Loss: 0.003303302255042535
Epoch: 21 Idx: 1000 Loss: 0.012538464360760688
Epoch: 21 Idx: 2000 Loss: 0.009841884513913034
Epoch: 21 Idx: 3000 Loss: 0.009039462829007274
Epoch: 21 Idx: 4000 Loss: 0.11692193847767883
Epoch: 22 Idx: 0 Loss: 0.005242851824615066
Epoch: 22 Idx: 1000 Loss: 0.0177616311698869
Epoch: 22 Idx: 2000 Loss: 0.005816292835335431
Epoch: 22 Idx: 3000 Loss: 0.0064433790376724415
Epoch: 22 Idx: 4000 Loss: 0.016672900218987804
Epoch: 23 Idx: 0 Loss: 0.01771861150260799
Epoch: 23 Idx: 1000 Loss: 0.0073031031193356985
Epoch: 23 Idx: 2000 Loss: 0.02019060792831771
Epoch: 23 Idx: 3000 Loss: 0.0030766462998608676
Epoch: 23 Idx: 4000 Loss: 0.024618433404257033
Epoch: 24 Idx: 0 Loss: 0.014905016649096901
Epoch: 24 Idx: 1000 Loss: 0.020898816521620213
Epoch: 24 Idx: 2000 Loss: 0.008264453791145461
Epoch: 24 Idx: 3000 Loss: 0.04028923591382197
Epoch: 24 Idx: 4000 Loss: 0.035202036271042965
Epoch: 25 Idx: 0 Loss: 0.018557881054017338
Epoch: 25 Idx: 1000 Loss: 0.014731834596476914
Epoch: 25 Idx: 2000 Loss: 0.007489311777942214
Epoch: 25 Idx: 3000 Loss: 0.007014407657713584
Epoch: 25 Idx: 4000 Loss: 0.04017117853010157
Epoch: 26 Idx: 0 Loss: 0.01791054163667333
Epoch: 26 Idx: 1000 Loss: 0.023178616773879227
Epoch: 26 Idx: 2000 Loss: 0.014768909201429595
Epoch: 26 Idx: 3000 Loss: 0.01184110875642854
Epoch: 26 Idx: 4000 Loss: 0.004497772617136934
Epoch: 27 Idx: 0 Loss: 0.01342450498897818
Epoch: 27 Idx: 1000 Loss: 0.03182015384489825
Epoch: 27 Idx: 2000 Loss: 0.0164520868430279
Epoch: 27 Idx: 3000 Loss: 0.0077907923489191075
Epoch: 27 Idx: 4000 Loss: 0.003590020450797969
Epoch: 28 Idx: 0 Loss: 0.011387678545127393
Epoch: 28 Idx: 1000 Loss: 0.021280727982103783
Epoch: 28 Idx: 2000 Loss: 0.02394966011902188
Epoch: 28 Idx: 3000 Loss: 0.03832418307652133
