Number of neighbours: 7
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.15671308446510288
Epoch: 0 Idx: 1000 Loss: 0.04114869372790042
Epoch: 0 Idx: 2000 Loss: 0.05688885825580294
Epoch: 0 Idx: 3000 Loss: 0.03869740057350432
Epoch: 0 Idx: 4000 Loss: 0.011031723052847244
Epoch: 0 Idx: 5000 Loss: 0.046537591540012614
Epoch: 0 Idx: 6000 Loss: 0.08202920687228435
Epoch: 0 Idx: 7000 Loss: 0.02380898957797345
Epoch: 0 Idx: 8000 Loss: 0.0029832056820215374
Epoch: 0 Idx: 9000 Loss: 0.05721861313415793
Epoch: 0 Idx: 10000 Loss: 0.04397038238523369
Epoch: 0 Idx: 11000 Loss: 0.020865233170098592
Epoch: 0 Idx: 12000 Loss: 0.006696573837094752
Epoch: 0 Idx: 13000 Loss: 0.0303629625345178
Epoch: 0 Idx: 14000 Loss: 0.024433780277951907
Epoch: 0 Idx: 15000 Loss: 0.020912893927051094
Epoch: 0 Idx: 16000 Loss: 0.009390291918502564
Epoch: 0 Idx: 17000 Loss: 0.013877159158048652
Epoch: 1 Idx: 0 Loss: 0.0061874248954007
Epoch: 1 Idx: 1000 Loss: 0.009539468804312454
Epoch: 1 Idx: 2000 Loss: 0.01458176054913291
Epoch: 1 Idx: 3000 Loss: 0.019768497287542028
Epoch: 1 Idx: 4000 Loss: 0.005876987362630095
Epoch: 1 Idx: 5000 Loss: 0.023474350196233534
Epoch: 1 Idx: 6000 Loss: 0.025625414199700533
Epoch: 1 Idx: 7000 Loss: 0.005839632853114123
Epoch: 1 Idx: 8000 Loss: 0.011397705847351246
Epoch: 1 Idx: 9000 Loss: 0.006161529321134441
Epoch: 1 Idx: 10000 Loss: 0.005120170979673949
Epoch: 1 Idx: 11000 Loss: 0.0060993703865400385
Epoch: 1 Idx: 12000 Loss: 0.0705131135414232
Epoch: 1 Idx: 13000 Loss: 0.04831059552649025
Epoch: 1 Idx: 14000 Loss: 0.007443520559476309
Epoch: 1 Idx: 15000 Loss: 0.027040211536545206
Epoch: 1 Idx: 16000 Loss: 0.015625559643679645
Epoch: 1 Idx: 17000 Loss: 0.038669347797895326
Epoch: 2 Idx: 0 Loss: 0.008233030509625452
Epoch: 2 Idx: 1000 Loss: 0.020173735040898783
Epoch: 2 Idx: 2000 Loss: 0.007266034834056134
Epoch: 2 Idx: 3000 Loss: 0.018664161938771517
Epoch: 2 Idx: 4000 Loss: 0.031201039143267464
Epoch: 2 Idx: 5000 Loss: 0.02011883352909559
Epoch: 2 Idx: 6000 Loss: 0.014623261392615172
Epoch: 2 Idx: 7000 Loss: 0.01248086503638027
Epoch: 2 Idx: 8000 Loss: 0.010176605601206161
Epoch: 2 Idx: 9000 Loss: 0.02154800480315305
Epoch: 2 Idx: 10000 Loss: 0.0037940851654752195
Epoch: 2 Idx: 11000 Loss: 0.02640334941587411
Epoch: 2 Idx: 12000 Loss: 0.030794187043527533
Epoch: 2 Idx: 13000 Loss: 0.015139579019916596
Epoch: 2 Idx: 14000 Loss: 0.030659501577295554
Epoch: 2 Idx: 15000 Loss: 0.015486772186569608
Epoch: 2 Idx: 16000 Loss: 0.016843397648453728
Epoch: 2 Idx: 17000 Loss: 0.010167571056408491
