Number of neighbours: 7
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.21191051468211447
Epoch: 0 Idx: 1000 Loss: 0.03412309250279578
Epoch: 0 Idx: 2000 Loss: 0.027068840026669545
Epoch: 0 Idx: 3000 Loss: 0.01390453230334237
Epoch: 0 Idx: 4000 Loss: 0.013296999269916258
Epoch: 0 Idx: 5000 Loss: 0.011047082931150585
Epoch: 0 Idx: 6000 Loss: 0.014188726543050582
Epoch: 0 Idx: 7000 Loss: 0.03681231456884498
Epoch: 0 Idx: 8000 Loss: 0.038155820314817075
Epoch: 0 Idx: 9000 Loss: 0.034757471681679704
Epoch: 0 Idx: 10000 Loss: 0.007031356355094896
Epoch: 0 Idx: 11000 Loss: 0.005193549822731463
Epoch: 0 Idx: 12000 Loss: 0.03645179447693163
Epoch: 0 Idx: 13000 Loss: 0.04291740103771835
Epoch: 0 Idx: 14000 Loss: 0.010559535296595847
Epoch: 0 Idx: 15000 Loss: 0.01588735708343434
Epoch: 0 Idx: 16000 Loss: 0.014375614293972912
Epoch: 0 Idx: 17000 Loss: 0.03997998703607389
Epoch: 1 Idx: 0 Loss: 0.02465955259477767
Epoch: 1 Idx: 1000 Loss: 0.010540950043930105
Epoch: 1 Idx: 2000 Loss: 0.06956302376672369
Epoch: 1 Idx: 3000 Loss: 0.01849204187394539
Epoch: 1 Idx: 4000 Loss: 0.00854339270882772
Epoch: 1 Idx: 5000 Loss: 0.00976669787409886
Epoch: 1 Idx: 6000 Loss: 0.012950634617457546
Epoch: 1 Idx: 7000 Loss: 0.024590340732150873
Epoch: 1 Idx: 8000 Loss: 0.05636650893900159
Epoch: 1 Idx: 9000 Loss: 0.07840492995279105
Epoch: 1 Idx: 10000 Loss: 0.009649366650228952
Epoch: 1 Idx: 11000 Loss: 0.01993027758834438
Epoch: 1 Idx: 12000 Loss: 0.005832314734608279
Epoch: 1 Idx: 13000 Loss: 0.017661726264526487
Epoch: 1 Idx: 14000 Loss: 0.008979709265082552
Epoch: 1 Idx: 15000 Loss: 0.00784235644801368
Epoch: 1 Idx: 16000 Loss: 0.0238476248182439
Epoch: 1 Idx: 17000 Loss: 0.03985720390604718
Epoch: 2 Idx: 0 Loss: 0.030373172374776745
Epoch: 2 Idx: 1000 Loss: 0.03044824866539214
Epoch: 2 Idx: 2000 Loss: 0.011831118539008683
Epoch: 2 Idx: 3000 Loss: 0.026757681534630904
Epoch: 2 Idx: 4000 Loss: 0.09088901989455134
Epoch: 2 Idx: 5000 Loss: 0.007408104419947265
Epoch: 2 Idx: 6000 Loss: 0.046849688640853954
Epoch: 2 Idx: 7000 Loss: 0.008424351710695818
Epoch: 2 Idx: 8000 Loss: 0.02126352470099944
Epoch: 2 Idx: 9000 Loss: 0.037863658512058515
Epoch: 2 Idx: 10000 Loss: 0.046220149482312296
Epoch: 2 Idx: 11000 Loss: 0.017692522227877344
Epoch: 2 Idx: 12000 Loss: 0.005866773444611316
Epoch: 2 Idx: 13000 Loss: 0.015907456445515344
Epoch: 2 Idx: 14000 Loss: 0.04964404217576655
Epoch: 2 Idx: 15000 Loss: 0.011312925175823855
Epoch: 2 Idx: 16000 Loss: 0.020107623064550415
Epoch: 2 Idx: 17000 Loss: 0.01357661703079789
Epoch: 3 Idx: 0 Loss: 0.01710147977581158
Epoch: 3 Idx: 1000 Loss: 0.04246995612903097
Epoch: 3 Idx: 2000 Loss: 0.008601874765544564
Epoch: 3 Idx: 3000 Loss: 0.016799793524426437
Epoch: 3 Idx: 4000 Loss: 0.005747136454285852
Epoch: 3 Idx: 5000 Loss: 0.015049882821576039
Epoch: 3 Idx: 6000 Loss: 0.017383710385629424
Epoch: 3 Idx: 7000 Loss: 0.01652104922551575
Epoch: 3 Idx: 8000 Loss: 0.026384062775002808
Epoch: 3 Idx: 9000 Loss: 0.007724591747862393
Epoch: 3 Idx: 10000 Loss: 0.03669639816215877
Epoch: 3 Idx: 11000 Loss: 0.020767458552797026
Epoch: 3 Idx: 12000 Loss: 0.013610159698389877
Epoch: 3 Idx: 13000 Loss: 0.010351210708104538
Epoch: 3 Idx: 14000 Loss: 0.030000440311485736
Epoch: 3 Idx: 15000 Loss: 0.050977731239343155
Epoch: 3 Idx: 16000 Loss: 0.007319270671250708
Epoch: 3 Idx: 17000 Loss: 0.014756539006065385
Epoch: 4 Idx: 0 Loss: 0.036380501304900954
Epoch: 4 Idx: 1000 Loss: 0.007050412250151006
Epoch: 4 Idx: 2000 Loss: 0.01950101320073162
Epoch: 4 Idx: 3000 Loss: 0.010005039754331297
Epoch: 4 Idx: 4000 Loss: 0.029233779575263505
Epoch: 4 Idx: 5000 Loss: 0.019612113227746274
Epoch: 4 Idx: 6000 Loss: 0.026063201622347248
Epoch: 4 Idx: 7000 Loss: 0.024729853458292074
Epoch: 4 Idx: 8000 Loss: 0.017829439830795286
Epoch: 4 Idx: 9000 Loss: 0.024743299640848062
Epoch: 4 Idx: 10000 Loss: 0.012813139135737154
Epoch: 4 Idx: 11000 Loss: 0.010163367207886746
Epoch: 4 Idx: 12000 Loss: 0.03761672852972579
Epoch: 4 Idx: 13000 Loss: 0.010422234695717165
