Number of neighbours: 22
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.19826801539311634
Epoch: 0 Idx: 5000 Loss: 0.015555433367696396
Epoch: 0 Idx: 10000 Loss: 0.01354147812518521
Epoch: 0 Idx: 15000 Loss: 0.03909557706565638
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.03061519469835811
Epoch: 1 Idx: 5000 Loss: 0.031946463602878054
Epoch: 1 Idx: 10000 Loss: 0.041102999866300796
Epoch: 1 Idx: 15000 Loss: 0.042747707460030135
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.04556721228444892
Epoch: 2 Idx: 5000 Loss: 0.046655929575999636
Epoch: 2 Idx: 10000 Loss: 0.0232975995167261
Epoch: 2 Idx: 15000 Loss: 0.07523985999832068
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.018527178514477993
Epoch: 3 Idx: 5000 Loss: 0.004933951829390577
Epoch: 3 Idx: 10000 Loss: 0.016157044670057005
Epoch: 3 Idx: 15000 Loss: 0.007485944736497306
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.05075372523096053
Epoch: 4 Idx: 5000 Loss: 0.01699516775217231
Epoch: 4 Idx: 10000 Loss: 0.012926810359553205
Epoch: 4 Idx: 15000 Loss: 0.0049666761925882316
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.030417161848128003
Epoch: 5 Idx: 5000 Loss: 0.010045108375982393
Epoch: 5 Idx: 10000 Loss: 0.01045089735611569
Epoch: 5 Idx: 15000 Loss: 0.026448982229107763
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.03599237831636641
Epoch: 6 Idx: 5000 Loss: 0.010113974015730732
Epoch: 6 Idx: 10000 Loss: 0.06099359627715417
Epoch: 6 Idx: 15000 Loss: 0.013747526765760243
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.013195531328016485
Epoch: 7 Idx: 5000 Loss: 0.024492248480423875
Epoch: 7 Idx: 10000 Loss: 0.01708891702814775
Epoch: 7 Idx: 15000 Loss: 0.007525502681183566
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.01583212127719253
Epoch: 8 Idx: 5000 Loss: 0.02173066047488124
Epoch: 8 Idx: 10000 Loss: 0.04955350540864129
Epoch: 8 Idx: 15000 Loss: 0.014363544418446958
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.039885848158547274
Epoch: 9 Idx: 5000 Loss: 0.07916619296941677
Epoch: 9 Idx: 10000 Loss: 0.027151706648001636
Epoch: 9 Idx: 15000 Loss: 0.05160196518789316
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.08120311510979822
Epoch: 10 Idx: 5000 Loss: 0.0074618736631456035
Epoch: 10 Idx: 10000 Loss: 0.06256006056046168
Epoch: 10 Idx: 15000 Loss: 0.008773708110550019
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.09192520861550005
Epoch: 11 Idx: 5000 Loss: 0.02154897735181522
Epoch: 11 Idx: 10000 Loss: 0.010282808082965278
Epoch: 11 Idx: 15000 Loss: 0.011652000674598153
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.05881290187805318
Epoch: 12 Idx: 5000 Loss: 0.01653255941247194
Epoch: 12 Idx: 10000 Loss: 0.01115338914283609
Epoch: 12 Idx: 15000 Loss: 0.04451592330275196
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.02405744821356046
Epoch: 13 Idx: 5000 Loss: 0.01479334687541035
Epoch: 13 Idx: 10000 Loss: 0.03678900548679245
Epoch: 13 Idx: 15000 Loss: 0.012163237554974608
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.08972232442391827
Epoch: 14 Idx: 5000 Loss: 0.027820150687254137
Epoch: 14 Idx: 10000 Loss: 0.039154050208500726
Epoch: 14 Idx: 15000 Loss: 0.02492202004759726
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.06499923911829669
Epoch: 15 Idx: 5000 Loss: 0.10939823508776171
Epoch: 15 Idx: 10000 Loss: 0.007442213430825197
Epoch: 15 Idx: 15000 Loss: 0.02549133107482457
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.03372815054607799
Epoch: 16 Idx: 5000 Loss: 0.006970526091641416
Epoch: 16 Idx: 10000 Loss: 0.027804943312994743
