Number of neighbours: 24
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.1657605882643631
Epoch: 0 Idx: 5000 Loss: 0.027992127473834665
Epoch: 0 Idx: 10000 Loss: 0.01044393712218306
Epoch: 0 Idx: 15000 Loss: 0.004220083213496079
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.041788083025802183
Epoch: 1 Idx: 5000 Loss: 0.04022812527348804
Epoch: 1 Idx: 10000 Loss: 0.01234528648119812
Epoch: 1 Idx: 15000 Loss: 0.010701823202431841
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.015928698364397396
Epoch: 2 Idx: 5000 Loss: 0.010056927997581141
Epoch: 2 Idx: 10000 Loss: 0.02348100305261726
Epoch: 2 Idx: 15000 Loss: 0.015583630730964564
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.04312611255299421
Epoch: 3 Idx: 5000 Loss: 0.02348711406904351
Epoch: 3 Idx: 10000 Loss: 0.005147377385747256
Epoch: 3 Idx: 15000 Loss: 0.01755042549042459
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.03239835796320005
Epoch: 4 Idx: 5000 Loss: 0.006716064244086073
Epoch: 4 Idx: 10000 Loss: 0.010788095526841816
Epoch: 4 Idx: 15000 Loss: 0.0165651551284225
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.003883003744776746
Epoch: 5 Idx: 5000 Loss: 0.0260474773119442
Epoch: 5 Idx: 10000 Loss: 0.01631587089631027
Epoch: 5 Idx: 15000 Loss: 0.007528573404180008
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.007157945684319109
Epoch: 6 Idx: 5000 Loss: 0.023015291098650525
Epoch: 6 Idx: 10000 Loss: 0.030379623734868584
Epoch: 6 Idx: 15000 Loss: 0.02096331413973774
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.02720400306751904
Epoch: 7 Idx: 5000 Loss: 0.011444693767242022
Epoch: 7 Idx: 10000 Loss: 0.024256387840403588
Epoch: 7 Idx: 15000 Loss: 0.018248732376406108
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.036440735972762456
Epoch: 8 Idx: 5000 Loss: 0.014438157637560022
Epoch: 8 Idx: 10000 Loss: 0.014414140206860186
Epoch: 8 Idx: 15000 Loss: 0.012021172858938913
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.03202383443353024
Epoch: 9 Idx: 5000 Loss: 0.013827724446856909
Epoch: 9 Idx: 10000 Loss: 0.017712054793131406
Epoch: 9 Idx: 15000 Loss: 0.003759286225087409
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.034654601932291015
Epoch: 10 Idx: 5000 Loss: 0.02018807481607008
Epoch: 10 Idx: 10000 Loss: 0.009208189463107856
Epoch: 10 Idx: 15000 Loss: 0.02829291950125124
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.029707496442217502
Epoch: 11 Idx: 5000 Loss: 0.01316988222269482
Epoch: 11 Idx: 10000 Loss: 0.013040208597757976
Epoch: 11 Idx: 15000 Loss: 0.006728577134591707
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.04321841047722759
Epoch: 12 Idx: 5000 Loss: 0.016319773972630885
Epoch: 12 Idx: 10000 Loss: 0.01568375716132364
Epoch: 12 Idx: 15000 Loss: 0.010423258342496142
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.04031022540487897
Epoch: 13 Idx: 5000 Loss: 0.00812952306284848
Epoch: 13 Idx: 10000 Loss: 0.0487290182531218
Epoch: 13 Idx: 15000 Loss: 0.017141690362022597
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.013391756549293895
Epoch: 14 Idx: 5000 Loss: 0.006821890946723721
Epoch: 14 Idx: 10000 Loss: 0.014111181797614721
Epoch: 14 Idx: 15000 Loss: 0.031995106735818464
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.043084981863928645
Epoch: 15 Idx: 5000 Loss: 0.0059156450579374836
Epoch: 15 Idx: 10000 Loss: 0.01854563841579358
Epoch: 15 Idx: 15000 Loss: 0.020601738143234096
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.0150223858288176
Epoch: 16 Idx: 5000 Loss: 0.030212764038767118
Epoch: 16 Idx: 10000 Loss: 0.01111635797710605
