Number of neighbours: 21
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.12852455937144433
Epoch: 0 Idx: 5000 Loss: 0.08753443813349618
Epoch: 0 Idx: 10000 Loss: 0.007331514119747898
Epoch: 0 Idx: 15000 Loss: 0.009846894539611666
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.052163839389045535
Epoch: 1 Idx: 5000 Loss: 0.0034288151179525726
Epoch: 1 Idx: 10000 Loss: 0.018792835043997005
Epoch: 1 Idx: 15000 Loss: 0.008082691661949144
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.029611134517248623
Epoch: 2 Idx: 5000 Loss: 0.014767959759408651
Epoch: 2 Idx: 10000 Loss: 0.01640606150736329
Epoch: 2 Idx: 15000 Loss: 0.019829485394906848
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.03683464669512139
Epoch: 3 Idx: 5000 Loss: 0.0674201100203508
Epoch: 3 Idx: 10000 Loss: 0.03879955973936976
Epoch: 3 Idx: 15000 Loss: 0.002886458215776614
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.011442675861739667
Epoch: 4 Idx: 5000 Loss: 0.00796736913202763
Epoch: 4 Idx: 10000 Loss: 0.018674373988069072
Epoch: 4 Idx: 15000 Loss: 0.030450696967348728
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.08070816998884273
Epoch: 5 Idx: 5000 Loss: 0.015012795936450385
Epoch: 5 Idx: 10000 Loss: 0.03791586915800664
Epoch: 5 Idx: 15000 Loss: 0.02994575736965536
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.015007492568832846
Epoch: 6 Idx: 5000 Loss: 0.035187001623840614
Epoch: 6 Idx: 10000 Loss: 0.006954443230876425
Epoch: 6 Idx: 15000 Loss: 0.03186244576533026
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.014530339989774278
Epoch: 7 Idx: 5000 Loss: 0.028065753174890923
Epoch: 7 Idx: 10000 Loss: 0.035247960159034794
Epoch: 7 Idx: 15000 Loss: 0.02960607701661343
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.03934584441383011
Epoch: 8 Idx: 5000 Loss: 0.04373325194711156
Epoch: 8 Idx: 10000 Loss: 0.007016768490525917
Epoch: 8 Idx: 15000 Loss: 0.009494161036232981
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.03505354695581894
Epoch: 9 Idx: 5000 Loss: 0.025867364134918566
Epoch: 9 Idx: 10000 Loss: 0.042407185171949933
Epoch: 9 Idx: 15000 Loss: 0.008451146306634145
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.08011313387564185
Epoch: 10 Idx: 5000 Loss: 0.057439087166797055
Epoch: 10 Idx: 10000 Loss: 0.007190036978924444
Epoch: 10 Idx: 15000 Loss: 0.035472969950075865
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.018882325782898876
Epoch: 11 Idx: 5000 Loss: 0.010842257659379477
Epoch: 11 Idx: 10000 Loss: 0.02226603944799521
Epoch: 11 Idx: 15000 Loss: 0.02231023438156224
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.02594705565811887
Epoch: 12 Idx: 5000 Loss: 0.020297323354442637
Epoch: 12 Idx: 10000 Loss: 0.007726438857812591
Epoch: 12 Idx: 15000 Loss: 0.03649815476320454
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.020924747508963597
Epoch: 13 Idx: 5000 Loss: 0.012279939343038627
Epoch: 13 Idx: 10000 Loss: 0.03306707947263755
Epoch: 13 Idx: 15000 Loss: 0.010059137622499029
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.030048944144997376
Epoch: 14 Idx: 5000 Loss: 0.05678431589090531
Epoch: 14 Idx: 10000 Loss: 0.045568223923175645
Epoch: 14 Idx: 15000 Loss: 0.009728972204713873
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.04245562104651449
Epoch: 15 Idx: 5000 Loss: 0.009802283474454353
Epoch: 15 Idx: 10000 Loss: 0.04179557818990487
Epoch: 15 Idx: 15000 Loss: 0.0173536941971296
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.021812424795059494
Epoch: 16 Idx: 5000 Loss: 0.015786473448086088
Epoch: 16 Idx: 10000 Loss: 0.05741612957950394
