Number of neighbours: 23
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.03157744346781978
Epoch: 0 Idx: 1000 Loss: 0.006768249227866365
Epoch: 0 Idx: 2000 Loss: 0.01712426000195719
Epoch: 0 Idx: 3000 Loss: 0.027699179854577285
Epoch: 0 Idx: 4000 Loss: 0.05585402912535109
Epoch: 0 Idx: 5000 Loss: 0.04403197631426318
Epoch: 1 Idx: 0 Loss: 0.0056488325319343355
Epoch: 1 Idx: 1000 Loss: 0.011220078573716949
Epoch: 1 Idx: 2000 Loss: 0.0162534029203219
Epoch: 1 Idx: 3000 Loss: 0.004392369914032169
Epoch: 1 Idx: 4000 Loss: 0.01387924026341303
Epoch: 1 Idx: 5000 Loss: 0.05369330393941027
Epoch: 2 Idx: 0 Loss: 0.007540642088775053
Epoch: 2 Idx: 1000 Loss: 0.006787644009643239
Epoch: 2 Idx: 2000 Loss: 0.006221389945427949
Epoch: 2 Idx: 3000 Loss: 0.0018899787941459296
Epoch: 2 Idx: 4000 Loss: 0.021477187854369112
Epoch: 2 Idx: 5000 Loss: 0.002908528551428096
Epoch: 3 Idx: 0 Loss: 0.0084279293189616
Epoch: 3 Idx: 1000 Loss: 0.022333165130955977
Epoch: 3 Idx: 2000 Loss: 0.008770900766120207
Epoch: 3 Idx: 3000 Loss: 0.0009957804612446327
Epoch: 3 Idx: 4000 Loss: 0.010186895451361784
Epoch: 3 Idx: 5000 Loss: 0.014159954564722977
Epoch: 4 Idx: 0 Loss: 0.014678506672461296
Epoch: 4 Idx: 1000 Loss: 0.006851457301765531
Epoch: 4 Idx: 2000 Loss: 0.012090346821116314
Epoch: 4 Idx: 3000 Loss: 0.007129175506934553
Epoch: 4 Idx: 4000 Loss: 0.016171561879213717
Epoch: 4 Idx: 5000 Loss: 0.010678231967440091
Epoch: 5 Idx: 0 Loss: 0.004086201843129996
Epoch: 5 Idx: 1000 Loss: 0.015811726764534118
Epoch: 5 Idx: 2000 Loss: 0.021174792642534062
Epoch: 5 Idx: 3000 Loss: 0.008162271288697195
Epoch: 5 Idx: 4000 Loss: 0.0039810604447528
Epoch: 5 Idx: 5000 Loss: 0.09478571746522363
Epoch: 6 Idx: 0 Loss: 0.1019581204767653
Epoch: 6 Idx: 1000 Loss: 0.0015847941220818375
