Number of neighbours: 12
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.13838592931307017
Epoch: 0 Idx: 5000 Loss: 0.005821423643859842
Epoch: 0 Idx: 10000 Loss: 0.003157334001784389
Epoch: 0 Idx: 15000 Loss: 0.01781962690856202
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.14577786895725883
Epoch: 1 Idx: 5000 Loss: 0.011913500492810241
Epoch: 1 Idx: 10000 Loss: 0.08178736022427817
Epoch: 1 Idx: 15000 Loss: 0.06747851186702722
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.17516420078821687
Epoch: 2 Idx: 5000 Loss: 0.027470372264551648
Epoch: 2 Idx: 10000 Loss: 0.012642721569165941
Epoch: 2 Idx: 15000 Loss: 0.005633695011829439
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.13131613808192705
Epoch: 3 Idx: 5000 Loss: 0.016674952725131767
Epoch: 3 Idx: 10000 Loss: 0.05139764287808051
Epoch: 3 Idx: 15000 Loss: 0.03927329619288849
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.13579281160664755
Epoch: 4 Idx: 5000 Loss: 0.04027443307646123
Epoch: 4 Idx: 10000 Loss: 0.017579358464587313
Epoch: 4 Idx: 15000 Loss: 0.011424151665857082
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.13848789205947695
Epoch: 5 Idx: 5000 Loss: 0.012967018083994215
Epoch: 5 Idx: 10000 Loss: 0.019733033358224867
Epoch: 5 Idx: 15000 Loss: 0.04496948195209467
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.1698252268517457
Epoch: 6 Idx: 5000 Loss: 0.08619677524562754
Epoch: 6 Idx: 10000 Loss: 0.023726515936007664
Epoch: 6 Idx: 15000 Loss: 0.03332745482248922
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.1509446161010407
Epoch: 7 Idx: 5000 Loss: 0.007740690192536088
Epoch: 7 Idx: 10000 Loss: 0.02055160824485664
Epoch: 7 Idx: 15000 Loss: 0.011680545918604693
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.16105511078089793
Epoch: 8 Idx: 5000 Loss: 0.012703290167588725
Epoch: 8 Idx: 10000 Loss: 0.04630067926595308
Epoch: 8 Idx: 15000 Loss: 0.012643777849109836
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.19524561536757734
Epoch: 9 Idx: 5000 Loss: 0.021553072365218192
Epoch: 9 Idx: 10000 Loss: 0.029594516508160966
Epoch: 9 Idx: 15000 Loss: 0.03549229199431809
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.14666323826936226
Epoch: 10 Idx: 5000 Loss: 0.004366488497143419
Epoch: 10 Idx: 10000 Loss: 0.027633638889691964
Epoch: 10 Idx: 15000 Loss: 0.03582449603603524
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.031283763965901996
Epoch: 11 Idx: 5000 Loss: 0.019555990683474266
Epoch: 11 Idx: 10000 Loss: 0.04696583120303658
Epoch: 11 Idx: 15000 Loss: 0.08495403097356899
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.20634844052293524
Epoch: 12 Idx: 5000 Loss: 0.023203628326618042
Epoch: 12 Idx: 10000 Loss: 0.016450519873834987
Epoch: 12 Idx: 15000 Loss: 0.06101401492971181
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.003197318829080605
Epoch: 13 Idx: 5000 Loss: 0.02882446287561045
Epoch: 13 Idx: 10000 Loss: 0.008758389686794411
Epoch: 13 Idx: 15000 Loss: 0.008620373427638687
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.22626793224108038
Epoch: 14 Idx: 5000 Loss: 0.06306407416729187
Epoch: 14 Idx: 10000 Loss: 0.013832520610205469
Epoch: 14 Idx: 15000 Loss: 0.021658587101522325
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.1783613903459042
Epoch: 15 Idx: 5000 Loss: 0.058751909375027465
Epoch: 15 Idx: 10000 Loss: 0.02579117504193819
Epoch: 15 Idx: 15000 Loss: 0.0065534473082334965
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.14222346993046633
Epoch: 16 Idx: 5000 Loss: 0.011290406325158696
Epoch: 16 Idx: 10000 Loss: 0.05586930507855074
