Number of neighbours: 12
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.1227355948379644
Epoch: 0 Idx: 1000 Loss: 0.051389844964675246
Epoch: 0 Idx: 2000 Loss: 0.023075119528338645
Epoch: 0 Idx: 3000 Loss: 0.03682721006718134
Epoch: 0 Idx: 4000 Loss: 0.011392886877364117
Epoch: 0 Idx: 5000 Loss: 0.02038114789740584
Epoch: 0 Idx: 6000 Loss: 0.008836125051932184
Epoch: 0 Idx: 7000 Loss: 0.018547681272271962
Epoch: 0 Idx: 8000 Loss: 0.007050387111834619
Epoch: 0 Idx: 9000 Loss: 0.015109643769092735
Epoch: 0 Idx: 10000 Loss: 0.02348151002566417
Epoch: 0 Idx: 11000 Loss: 0.04731129585482493
Epoch: 0 Idx: 12000 Loss: 0.001595064434606354
Epoch: 0 Idx: 13000 Loss: 0.021023153006709778
Epoch: 0 Idx: 14000 Loss: 0.04438059313391813
Epoch: 0 Idx: 15000 Loss: 0.012611018295781058
Epoch: 0 Idx: 16000 Loss: 0.07957699855225554
Epoch: 0 Idx: 17000 Loss: 0.015543728115160494
Epoch: 1 Idx: 0 Loss: 0.04381490589992142
Epoch: 1 Idx: 1000 Loss: 0.01372441362829189
Epoch: 1 Idx: 2000 Loss: 0.016260672525070664
Epoch: 1 Idx: 3000 Loss: 0.02176394632527363
Epoch: 1 Idx: 4000 Loss: 0.024561930010032682
Epoch: 1 Idx: 5000 Loss: 0.016931430975554582
Epoch: 1 Idx: 6000 Loss: 0.008433571711388477
Epoch: 1 Idx: 7000 Loss: 0.004047498957363695
Epoch: 1 Idx: 8000 Loss: 0.0071565712708339295
Epoch: 1 Idx: 9000 Loss: 0.07835187899327123
Epoch: 1 Idx: 10000 Loss: 0.03900038671992946
Epoch: 1 Idx: 11000 Loss: 0.006534996950058221
Epoch: 1 Idx: 12000 Loss: 0.05318276514120999
Epoch: 1 Idx: 13000 Loss: 0.03952272699707164
Epoch: 1 Idx: 14000 Loss: 0.06557486680537164
Epoch: 1 Idx: 15000 Loss: 0.003430327013448367
Epoch: 1 Idx: 16000 Loss: 0.03855375343387353
Epoch: 1 Idx: 17000 Loss: 0.01222801006103293
Epoch: 2 Idx: 0 Loss: 0.015150181412257773
Epoch: 2 Idx: 1000 Loss: 0.01943781692310253
Epoch: 2 Idx: 2000 Loss: 0.005012172109034598
Epoch: 2 Idx: 3000 Loss: 0.084747116918618
Epoch: 2 Idx: 4000 Loss: 0.034147400771442404
Epoch: 2 Idx: 5000 Loss: 0.04835097468745333
Epoch: 2 Idx: 6000 Loss: 0.003601070534956878
Epoch: 2 Idx: 7000 Loss: 0.005229873341499344
Epoch: 2 Idx: 8000 Loss: 0.03334279193388381
Epoch: 2 Idx: 9000 Loss: 0.004711397608141228
Epoch: 2 Idx: 10000 Loss: 0.012159906231936725
Epoch: 2 Idx: 11000 Loss: 0.01835996390440825
