Number of neighbours: 18
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.17060164523604976
Epoch: 0 Idx: 1000 Loss: 0.0019351547643073805
Epoch: 0 Idx: 2000 Loss: 0.10550980450856155
Epoch: 0 Idx: 3000 Loss: 0.05509846463273478
Epoch: 0 Idx: 4000 Loss: 0.025916339084241097
Epoch: 0 Idx: 5000 Loss: 0.06084740555242959
Epoch: 0 Idx: 6000 Loss: 0.07026973332638985
Epoch: 0 Idx: 7000 Loss: 0.04062255217617937
Epoch: 0 Idx: 8000 Loss: 0.02673647589888528
Epoch: 0 Idx: 9000 Loss: 0.020020290363819748
Epoch: 0 Idx: 10000 Loss: 0.02289432159827109
Epoch: 0 Idx: 11000 Loss: 0.020171472757465208
Epoch: 0 Idx: 12000 Loss: 0.01730038692083869
Epoch: 0 Idx: 13000 Loss: 0.02435553970992479
Epoch: 0 Idx: 14000 Loss: 0.02418257529815086
Epoch: 0 Idx: 15000 Loss: 0.04472971732668321
Epoch: 0 Idx: 16000 Loss: 0.03876084415130763
Epoch: 0 Idx: 17000 Loss: 0.03228616477820424
Epoch: 1 Idx: 0 Loss: 0.008165863072461046
Epoch: 1 Idx: 1000 Loss: 0.013044005164136686
Epoch: 1 Idx: 2000 Loss: 0.05127449774817356
Epoch: 1 Idx: 3000 Loss: 0.05090658785039791
Epoch: 1 Idx: 4000 Loss: 0.08666354076427758
Epoch: 1 Idx: 5000 Loss: 0.011855678106204805
Epoch: 1 Idx: 6000 Loss: 0.0397690245291668
Epoch: 1 Idx: 7000 Loss: 0.08563113743400497
Epoch: 1 Idx: 8000 Loss: 0.016613859922575504
Epoch: 1 Idx: 9000 Loss: 0.05999123422631473
Epoch: 1 Idx: 10000 Loss: 0.07684609522464374
Epoch: 1 Idx: 11000 Loss: 0.019416584369389894
Epoch: 1 Idx: 12000 Loss: 0.053388973932083646
Epoch: 1 Idx: 13000 Loss: 0.022841146686946975
Epoch: 1 Idx: 14000 Loss: 0.030913349965387887
Epoch: 1 Idx: 15000 Loss: 0.019750275397516524
Epoch: 1 Idx: 16000 Loss: 0.011043435664279363
Epoch: 1 Idx: 17000 Loss: 0.040246131685299905
Epoch: 2 Idx: 0 Loss: 0.045400748893226116
Epoch: 2 Idx: 1000 Loss: 0.04751173092525338
Epoch: 2 Idx: 2000 Loss: 0.022234574536158413
Epoch: 2 Idx: 3000 Loss: 0.014995699285455228
Epoch: 2 Idx: 4000 Loss: 0.07144779764518532
Epoch: 2 Idx: 5000 Loss: 0.019339601493775456
Epoch: 2 Idx: 6000 Loss: 0.04830404813135676
Epoch: 2 Idx: 7000 Loss: 0.016685726764232283
Epoch: 2 Idx: 8000 Loss: 0.009113480757601567
Epoch: 2 Idx: 9000 Loss: 0.009639034306678786
Epoch: 2 Idx: 10000 Loss: 0.027093581132045342
Epoch: 2 Idx: 11000 Loss: 0.045866647196831666
Epoch: 2 Idx: 12000 Loss: 0.025316854581905295
Epoch: 2 Idx: 13000 Loss: 0.02574112751826125
Epoch: 2 Idx: 14000 Loss: 0.03514596645684828
Epoch: 2 Idx: 15000 Loss: 0.12178439547867644
Epoch: 2 Idx: 16000 Loss: 0.03812006893709173
Epoch: 2 Idx: 17000 Loss: 0.01479055023086597
Epoch: 3 Idx: 0 Loss: 0.011276894470956375
Epoch: 3 Idx: 1000 Loss: 0.1408961111616361
Epoch: 3 Idx: 2000 Loss: 0.035609090803892705
Epoch: 3 Idx: 3000 Loss: 0.019969437813559445
Epoch: 3 Idx: 4000 Loss: 0.040874700206115645
Epoch: 3 Idx: 5000 Loss: 0.010095798603952018
Epoch: 3 Idx: 6000 Loss: 0.04719142996489707
Epoch: 3 Idx: 7000 Loss: 0.02004532573549349
Epoch: 3 Idx: 8000 Loss: 0.09354817016762734
Epoch: 3 Idx: 9000 Loss: 0.06150822807737444
Epoch: 3 Idx: 10000 Loss: 0.04506150274446427
Epoch: 3 Idx: 11000 Loss: 0.008659489810788904
Epoch: 3 Idx: 12000 Loss: 0.06354807444738321
Epoch: 3 Idx: 13000 Loss: 0.02083364855903933
Epoch: 3 Idx: 14000 Loss: 0.028769496535136257
Epoch: 3 Idx: 15000 Loss: 0.03373541263815664
Epoch: 3 Idx: 16000 Loss: 0.019584084578220147
Epoch: 3 Idx: 17000 Loss: 0.04746460298160502
Epoch: 4 Idx: 0 Loss: 0.03726095114180395
Epoch: 4 Idx: 1000 Loss: 0.035789859366320516
Epoch: 4 Idx: 2000 Loss: 0.056527796291505804
Epoch: 4 Idx: 3000 Loss: 0.01838658002412838
Epoch: 4 Idx: 4000 Loss: 0.0479625294139056
Epoch: 4 Idx: 5000 Loss: 0.00903113429826315
Epoch: 4 Idx: 6000 Loss: 0.026994906682498293
