Number of neighbours: 22
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.15942624310196893
Epoch: 0 Idx: 1000 Loss: 0.026317745424038856
Epoch: 0 Idx: 2000 Loss: 0.02098804569614066
Epoch: 0 Idx: 3000 Loss: 0.048075332337280376
Epoch: 0 Idx: 4000 Loss: 0.04427483096866909
Epoch: 0 Idx: 5000 Loss: 0.09934282248264181
Epoch: 0 Idx: 6000 Loss: 0.012160723482975975
Epoch: 0 Idx: 7000 Loss: 0.020305157816204483
Epoch: 0 Idx: 8000 Loss: 0.018216649151799342
Epoch: 0 Idx: 9000 Loss: 0.0702280361730698
Epoch: 0 Idx: 10000 Loss: 0.07325928675436973
Epoch: 0 Idx: 11000 Loss: 0.012772911865065047
Epoch: 0 Idx: 12000 Loss: 0.015863402340442277
Epoch: 0 Idx: 13000 Loss: 0.018838742237512897
Epoch: 0 Idx: 14000 Loss: 0.015681216176076904
Epoch: 0 Idx: 15000 Loss: 0.005585490557380937
Epoch: 0 Idx: 16000 Loss: 0.01383461817211266
Epoch: 0 Idx: 17000 Loss: 0.028271284079931576
Epoch: 1 Idx: 0 Loss: 0.002725969957685596
Epoch: 1 Idx: 1000 Loss: 0.04083861664273316
Epoch: 1 Idx: 2000 Loss: 0.03687380284614626
Epoch: 1 Idx: 3000 Loss: 0.019445776375353614
Epoch: 1 Idx: 4000 Loss: 0.017127098725826774
Epoch: 1 Idx: 5000 Loss: 0.05778425126937481
Epoch: 1 Idx: 6000 Loss: 0.01908352713496067
Epoch: 1 Idx: 7000 Loss: 0.025464841928934848
Epoch: 1 Idx: 8000 Loss: 0.013551752014367417
Epoch: 1 Idx: 9000 Loss: 0.045238825120522866
Epoch: 1 Idx: 10000 Loss: 0.039097534528785165
Epoch: 1 Idx: 11000 Loss: 0.01904211834755504
Epoch: 1 Idx: 12000 Loss: 0.010404456824946586
Epoch: 1 Idx: 13000 Loss: 0.005558955226341928
Epoch: 1 Idx: 14000 Loss: 0.0032793423965160012
Epoch: 1 Idx: 15000 Loss: 0.010699713611696355
Epoch: 1 Idx: 16000 Loss: 0.030566050727198594
Epoch: 1 Idx: 17000 Loss: 0.03978476054518084
Epoch: 2 Idx: 0 Loss: 0.025865269095096583
Epoch: 2 Idx: 1000 Loss: 0.007366942779769746
Epoch: 2 Idx: 2000 Loss: 0.035710551700376354
Epoch: 2 Idx: 3000 Loss: 0.049731593101682625
Epoch: 2 Idx: 4000 Loss: 0.0418612195066076
Epoch: 2 Idx: 5000 Loss: 0.012245025705845928
Epoch: 2 Idx: 6000 Loss: 0.0202032679823221
Epoch: 2 Idx: 7000 Loss: 0.01196580847161136
Epoch: 2 Idx: 8000 Loss: 0.011158870662755534
Epoch: 2 Idx: 9000 Loss: 0.006667762039159967
Epoch: 2 Idx: 10000 Loss: 0.005953946136005761
Epoch: 2 Idx: 11000 Loss: 0.006527514725308429
Epoch: 2 Idx: 12000 Loss: 0.0043056833432480275
Epoch: 2 Idx: 13000 Loss: 0.07109537244754258
Epoch: 2 Idx: 14000 Loss: 0.014758705634385557
Epoch: 2 Idx: 15000 Loss: 0.007293118928535078
Epoch: 2 Idx: 16000 Loss: 0.008972326395968483
Epoch: 2 Idx: 17000 Loss: 0.028882577462061427
Epoch: 3 Idx: 0 Loss: 0.007281705909921294
Epoch: 3 Idx: 1000 Loss: 0.007825749558167068
Epoch: 3 Idx: 2000 Loss: 0.06077586565767446
Epoch: 3 Idx: 3000 Loss: 0.004698296847302821
Epoch: 3 Idx: 4000 Loss: 0.018925774187388993
Epoch: 3 Idx: 5000 Loss: 0.007085918829043146
Epoch: 3 Idx: 6000 Loss: 0.0203033031886477
Epoch: 3 Idx: 7000 Loss: 0.007585103565157669
Epoch: 3 Idx: 8000 Loss: 0.03524775440559325
Epoch: 3 Idx: 9000 Loss: 0.00506131435491337
Epoch: 3 Idx: 10000 Loss: 0.024000075244234323
Epoch: 3 Idx: 11000 Loss: 0.018808761517580957
Epoch: 3 Idx: 12000 Loss: 0.027001258347664207
Epoch: 3 Idx: 13000 Loss: 0.00879627939165277
Epoch: 3 Idx: 14000 Loss: 0.025021957230803728
Epoch: 3 Idx: 15000 Loss: 0.04125880760584251
Epoch: 3 Idx: 16000 Loss: 0.025133716467665376
Epoch: 3 Idx: 17000 Loss: 0.007097430629654728
Epoch: 4 Idx: 0 Loss: 0.024467050921679917
Epoch: 4 Idx: 1000 Loss: 0.030378087445857616
Epoch: 4 Idx: 2000 Loss: 0.009866867739009893
Epoch: 4 Idx: 3000 Loss: 0.018061624052570058
Epoch: 4 Idx: 4000 Loss: 0.021440194935150807
Epoch: 4 Idx: 5000 Loss: 0.014038613113627986
Epoch: 4 Idx: 6000 Loss: 0.009937089014617822
Epoch: 4 Idx: 7000 Loss: 0.0234839187990213
Epoch: 4 Idx: 8000 Loss: 0.009586737593211223
Epoch: 4 Idx: 9000 Loss: 0.007073956322501249
Epoch: 4 Idx: 10000 Loss: 0.037841380301798476
Epoch: 4 Idx: 11000 Loss: 0.01904004367156932
Epoch: 4 Idx: 12000 Loss: 0.004275274285864331
Epoch: 4 Idx: 13000 Loss: 0.011986310713067097
Epoch: 4 Idx: 14000 Loss: 0.007672089565623329
Epoch: 4 Idx: 15000 Loss: 0.037194113284924044
Epoch: 4 Idx: 16000 Loss: 0.004993751148422613
Epoch: 4 Idx: 17000 Loss: 0.0020386323579145217
Epoch: 5 Idx: 0 Loss: 0.039812746186957564
Epoch: 5 Idx: 1000 Loss: 0.017800599679070467
Epoch: 5 Idx: 2000 Loss: 0.014852320497110836
Epoch: 5 Idx: 3000 Loss: 0.012993511035110598
Epoch: 5 Idx: 4000 Loss: 0.03457021720286805
Epoch: 5 Idx: 5000 Loss: 0.0333184951724128
Epoch: 5 Idx: 6000 Loss: 0.019857243625025882
Epoch: 5 Idx: 7000 Loss: 0.06163682560108451
Epoch: 5 Idx: 8000 Loss: 0.016971234900312077
Epoch: 5 Idx: 9000 Loss: 0.01349140538084874
Epoch: 5 Idx: 10000 Loss: 0.012253674226446314
Epoch: 5 Idx: 11000 Loss: 0.04171072587072417
Epoch: 5 Idx: 12000 Loss: 0.023638282036283858
Epoch: 5 Idx: 13000 Loss: 0.007231971622624797
Epoch: 5 Idx: 14000 Loss: 0.011726647407181167
Epoch: 5 Idx: 15000 Loss: 0.022402662408164003
Epoch: 5 Idx: 16000 Loss: 0.00571247829582707
Epoch: 5 Idx: 17000 Loss: 0.06211513635437775
Epoch: 6 Idx: 0 Loss: 0.008003239148666566
Epoch: 6 Idx: 1000 Loss: 0.05093729163330502
Epoch: 6 Idx: 2000 Loss: 0.009988105684447702
Epoch: 6 Idx: 3000 Loss: 0.01845485678822763
Epoch: 6 Idx: 4000 Loss: 0.018832056944831293
Epoch: 6 Idx: 5000 Loss: 0.015242731663109159
Epoch: 6 Idx: 6000 Loss: 0.027750889421241556
Epoch: 6 Idx: 7000 Loss: 0.10382244358188787
Epoch: 6 Idx: 8000 Loss: 0.038360346449717427
Epoch: 6 Idx: 9000 Loss: 0.010649270049303926
Epoch: 6 Idx: 10000 Loss: 0.04064888218893296
Epoch: 6 Idx: 11000 Loss: 0.02990883222697712
Epoch: 6 Idx: 12000 Loss: 0.018153511019114266
Epoch: 6 Idx: 13000 Loss: 0.011682654502942019
Epoch: 6 Idx: 14000 Loss: 0.024161945310514597
Epoch: 6 Idx: 15000 Loss: 0.023075445437721886
Epoch: 6 Idx: 16000 Loss: 0.007378058457492654
Epoch: 6 Idx: 17000 Loss: 0.06326121809082956
Epoch: 7 Idx: 0 Loss: 0.005579428283379314
Epoch: 7 Idx: 1000 Loss: 0.029264520974379333
Epoch: 7 Idx: 2000 Loss: 0.012838712442483708
Epoch: 7 Idx: 3000 Loss: 0.02716371191485571
