Number of neighbours: 22
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.06781988625724097
Epoch: 0 Idx: 1000 Loss: 0.07573788329570398
Epoch: 0 Idx: 2000 Loss: 0.06067229132089266
Epoch: 0 Idx: 3000 Loss: 0.0694954071966117
Epoch: 0 Idx: 4000 Loss: 0.027560076899469692
Epoch: 0 Idx: 5000 Loss: 0.05367292409174243
Epoch: 0 Idx: 6000 Loss: 0.03765445127599737
Epoch: 0 Idx: 7000 Loss: 0.01835425007560962
Epoch: 0 Idx: 8000 Loss: 0.03019245316788769
Epoch: 0 Idx: 9000 Loss: 0.03517346326686181
Epoch: 0 Idx: 10000 Loss: 0.07492458796561889
Epoch: 0 Idx: 11000 Loss: 0.043528851350362024
Epoch: 0 Idx: 12000 Loss: 0.09235334296340605
Epoch: 0 Idx: 13000 Loss: 0.05487895019964793
Epoch: 0 Idx: 14000 Loss: 0.051561613407111385
Epoch: 0 Idx: 15000 Loss: 0.10445846065304153
Epoch: 0 Idx: 16000 Loss: 0.04075526722806477
Epoch: 0 Idx: 17000 Loss: 0.07307054293906427
Epoch: 1 Idx: 0 Loss: 0.03802822872690105
Epoch: 1 Idx: 1000 Loss: 0.04082322548609284
Epoch: 1 Idx: 2000 Loss: 0.07715818133401509
Epoch: 1 Idx: 3000 Loss: 0.05374546904348296
Epoch: 1 Idx: 4000 Loss: 0.04177532073180577
Epoch: 1 Idx: 5000 Loss: 0.06864794605256581
Epoch: 1 Idx: 6000 Loss: 0.029435321412880213
Epoch: 1 Idx: 7000 Loss: 0.0328306985119198
Epoch: 1 Idx: 8000 Loss: 0.06403991590439123
Epoch: 1 Idx: 9000 Loss: 0.0555675756651878
Epoch: 1 Idx: 10000 Loss: 0.018288691049214788
Epoch: 1 Idx: 11000 Loss: 0.0962806839169894
Epoch: 1 Idx: 12000 Loss: 0.05604069222320235
Epoch: 1 Idx: 13000 Loss: 0.04579610893063435
Epoch: 1 Idx: 14000 Loss: 0.050413718555155036
Epoch: 1 Idx: 15000 Loss: 0.08139893476249209
Epoch: 1 Idx: 16000 Loss: 0.012569165855753007
Epoch: 1 Idx: 17000 Loss: 0.06363058989377451
Epoch: 2 Idx: 0 Loss: 0.0894294164959848
Epoch: 2 Idx: 1000 Loss: 0.030153157960106584
Epoch: 2 Idx: 2000 Loss: 0.10217696982590076
Epoch: 2 Idx: 3000 Loss: 0.06213016637221385
Epoch: 2 Idx: 4000 Loss: 0.1431664460863634
Epoch: 2 Idx: 5000 Loss: 0.06481335588874282
Epoch: 2 Idx: 6000 Loss: 0.05025214235371549
Epoch: 2 Idx: 7000 Loss: 0.036712930606221425
Epoch: 2 Idx: 8000 Loss: 0.04443196808844003
Epoch: 2 Idx: 9000 Loss: 0.04586214938544471
Epoch: 2 Idx: 10000 Loss: 0.07801962311921595
Epoch: 2 Idx: 11000 Loss: 0.05157540026470389
Epoch: 2 Idx: 12000 Loss: 0.08010476584579894
Epoch: 2 Idx: 13000 Loss: 0.05522317317508577
Epoch: 2 Idx: 14000 Loss: 0.051426209970597124
Epoch: 2 Idx: 15000 Loss: 0.14235234670244745
Epoch: 2 Idx: 16000 Loss: 0.04614695488687723
Epoch: 2 Idx: 17000 Loss: 0.10120040724999499
Epoch: 3 Idx: 0 Loss: 0.1470421232011021
Epoch: 3 Idx: 1000 Loss: 0.023380499793659842
Epoch: 3 Idx: 2000 Loss: 0.03387831704165851
Epoch: 3 Idx: 3000 Loss: 0.07931224882826851
Epoch: 3 Idx: 4000 Loss: 0.03195969403564611
Epoch: 3 Idx: 5000 Loss: 0.1108722622938729
Epoch: 3 Idx: 6000 Loss: 0.03951227729258072
Epoch: 3 Idx: 7000 Loss: 0.01829798699268356
Epoch: 3 Idx: 8000 Loss: 0.06496722840815844
Epoch: 3 Idx: 9000 Loss: 0.058014620095828015
Epoch: 3 Idx: 10000 Loss: 0.042846969360283496
Epoch: 3 Idx: 11000 Loss: 0.014433837181364057
Epoch: 3 Idx: 12000 Loss: 0.030681214405872428
Epoch: 3 Idx: 13000 Loss: 0.04105145185914699
Epoch: 3 Idx: 14000 Loss: 0.027637567295575483
Epoch: 3 Idx: 15000 Loss: 0.07010060769468755
Epoch: 3 Idx: 16000 Loss: 0.0676304163304904
Epoch: 3 Idx: 17000 Loss: 0.02627717873589541
Epoch: 4 Idx: 0 Loss: 0.013070201656200325
Epoch: 4 Idx: 1000 Loss: 0.07074520476472158
Epoch: 4 Idx: 2000 Loss: 0.04722582740730888
