Number of neighbours: 32
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.277091086309162
Epoch: 0 Idx: 5000 Loss: 0.0282070605748962
Epoch: 0 Idx: 10000 Loss: 0.021953758610592636
Epoch: 0 Idx: 15000 Loss: 0.008793767995917358
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.0327677204027735
Epoch: 1 Idx: 5000 Loss: 0.022336932809284307
Epoch: 1 Idx: 10000 Loss: 0.018248778841792566
Epoch: 1 Idx: 15000 Loss: 0.008532084251519165
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.02196509243637608
Epoch: 2 Idx: 5000 Loss: 0.041083451862863836
Epoch: 2 Idx: 10000 Loss: 0.027491871136354165
Epoch: 2 Idx: 15000 Loss: 0.00908460962683947
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.010961271057348586
Epoch: 3 Idx: 5000 Loss: 0.03651179591987026
Epoch: 3 Idx: 10000 Loss: 0.022022752884189888
Epoch: 3 Idx: 15000 Loss: 0.010230569540612286
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.03258530433289319
Epoch: 4 Idx: 5000 Loss: 0.025728920896319302
Epoch: 4 Idx: 10000 Loss: 0.012265138804740902
Epoch: 4 Idx: 15000 Loss: 0.006303248882683294
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.005978185731399046
Epoch: 5 Idx: 5000 Loss: 0.0027618658326102243
Epoch: 5 Idx: 10000 Loss: 0.02088174112798491
Epoch: 5 Idx: 15000 Loss: 0.011541917352165223
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.02321457278210381
Epoch: 6 Idx: 5000 Loss: 0.02611732107325339
Epoch: 6 Idx: 10000 Loss: 0.009050441655337674
Epoch: 6 Idx: 15000 Loss: 0.008523526325073135
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.0488479380536382
Epoch: 7 Idx: 5000 Loss: 0.028794182103277246
Epoch: 7 Idx: 10000 Loss: 0.015546523475167563
Epoch: 7 Idx: 15000 Loss: 0.010760199944476101
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.018298248834265653
Epoch: 8 Idx: 5000 Loss: 0.0033639906541301254
Epoch: 8 Idx: 10000 Loss: 0.03402883325614936
Epoch: 8 Idx: 15000 Loss: 0.03937436739736235
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.010782383778013337
Epoch: 9 Idx: 5000 Loss: 0.007814514477972297
Epoch: 9 Idx: 10000 Loss: 0.023389361920590823
Epoch: 9 Idx: 15000 Loss: 0.02404903043036602
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.07429523484371306
Epoch: 10 Idx: 5000 Loss: 0.008082240766749797
Epoch: 10 Idx: 10000 Loss: 0.009508300414622984
Epoch: 10 Idx: 15000 Loss: 0.01935710037361152
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.05402738161542852
Epoch: 11 Idx: 5000 Loss: 0.03861515069870008
Epoch: 11 Idx: 10000 Loss: 0.06424002587980358
Epoch: 11 Idx: 15000 Loss: 0.02537278956412962
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.01162597414800732
Epoch: 12 Idx: 5000 Loss: 0.016234539180259487
Epoch: 12 Idx: 10000 Loss: 0.018869687099529135
Epoch: 12 Idx: 15000 Loss: 0.02519342120922948
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.08585220255634152
Epoch: 13 Idx: 5000 Loss: 0.022931735577165175
Epoch: 13 Idx: 10000 Loss: 0.024267347864172097
Epoch: 13 Idx: 15000 Loss: 0.02750707307609198
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.011765282436851586
Epoch: 14 Idx: 5000 Loss: 0.032849172665188796
Epoch: 14 Idx: 10000 Loss: 0.03518744117203708
Epoch: 14 Idx: 15000 Loss: 0.016041789906281755
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.03780525700963428
Epoch: 15 Idx: 5000 Loss: 0.019312340918542042
Epoch: 15 Idx: 10000 Loss: 0.01488572895137414
Epoch: 15 Idx: 15000 Loss: 0.005592580890757283
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.018437170673213814
Epoch: 16 Idx: 5000 Loss: 0.09161436695099114
Epoch: 16 Idx: 10000 Loss: 0.012095111912021462
