Number of neighbours: 34
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.1374559235723933
Epoch: 0 Idx: 5000 Loss: 0.03607682246083504
Epoch: 0 Idx: 10000 Loss: 0.020555121114757494
Epoch: 0 Idx: 15000 Loss: 0.0380211057874187
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.043090872166808264
Epoch: 1 Idx: 5000 Loss: 0.02018127410768109
Epoch: 1 Idx: 10000 Loss: 0.013330251852075686
Epoch: 1 Idx: 15000 Loss: 0.004396578335933345
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.05772640219463342
Epoch: 2 Idx: 5000 Loss: 0.016770496101076712
Epoch: 2 Idx: 10000 Loss: 0.05894974900792872
Epoch: 2 Idx: 15000 Loss: 0.01760314369375493
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.005957864911809572
Epoch: 3 Idx: 5000 Loss: 0.010834926519852683
Epoch: 3 Idx: 10000 Loss: 0.04591737873221112
Epoch: 3 Idx: 15000 Loss: 0.0266271013203531
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.07904884688765881
Epoch: 4 Idx: 5000 Loss: 0.019023543997625052
Epoch: 4 Idx: 10000 Loss: 0.034110852342041316
Epoch: 4 Idx: 15000 Loss: 0.01751924614160164
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.05237137301168489
Epoch: 5 Idx: 5000 Loss: 0.0152504073421563
Epoch: 5 Idx: 10000 Loss: 0.019405194675601364
Epoch: 5 Idx: 15000 Loss: 0.022474655248136462
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.062378220436225026
Epoch: 6 Idx: 5000 Loss: 0.021405887656487765
Epoch: 6 Idx: 10000 Loss: 0.021120498183407835
Epoch: 6 Idx: 15000 Loss: 0.01660695730120581
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.08133445479718102
Epoch: 7 Idx: 5000 Loss: 0.03139667735682915
Epoch: 7 Idx: 10000 Loss: 0.07140810444039739
Epoch: 7 Idx: 15000 Loss: 0.005651920679492193
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.026073077452711976
Epoch: 8 Idx: 5000 Loss: 0.006322183157476648
Epoch: 8 Idx: 10000 Loss: 0.03590683758400743
Epoch: 8 Idx: 15000 Loss: 0.018045822784973096
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.05204158162145311
Epoch: 9 Idx: 5000 Loss: 0.0562099168590468
Epoch: 9 Idx: 10000 Loss: 0.025963686966445427
Epoch: 9 Idx: 15000 Loss: 0.02540111493672431
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.05851283902355778
Epoch: 10 Idx: 5000 Loss: 0.021786178022998252
Epoch: 10 Idx: 10000 Loss: 0.021844527469194804
Epoch: 10 Idx: 15000 Loss: 0.04767108005915462
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.04071371830437939
Epoch: 11 Idx: 5000 Loss: 0.0037150130824216213
Epoch: 11 Idx: 10000 Loss: 0.031994410857431946
Epoch: 11 Idx: 15000 Loss: 0.025329039972424715
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.008249225533626052
Epoch: 12 Idx: 5000 Loss: 0.029714772773017747
Epoch: 12 Idx: 10000 Loss: 0.03588674336897986
Epoch: 12 Idx: 15000 Loss: 0.01162524956170503
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.015838878619629317
Epoch: 13 Idx: 5000 Loss: 0.021364363200971178
Epoch: 13 Idx: 10000 Loss: 0.037011583814064115
Epoch: 13 Idx: 15000 Loss: 0.027706457870976964
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.03844368252653253
Epoch: 14 Idx: 5000 Loss: 0.08376936385179204
Epoch: 14 Idx: 10000 Loss: 0.01856989505354532
Epoch: 14 Idx: 15000 Loss: 0.03352022701089148
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.024423240289507896
Epoch: 15 Idx: 5000 Loss: 0.015591264221615967
Epoch: 15 Idx: 10000 Loss: 0.020008595266986853
Epoch: 15 Idx: 15000 Loss: 0.021165282584806763
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.03665078379275689
Epoch: 16 Idx: 5000 Loss: 0.034377909952207256
Epoch: 16 Idx: 10000 Loss: 0.12086057145834897
