Number of neighbours: 34
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.16793772797661174
Epoch: 0 Idx: 1000 Loss: 0.026059920867385424
Epoch: 0 Idx: 2000 Loss: 0.039609685948253294
Epoch: 0 Idx: 3000 Loss: 0.009869983434211893
Epoch: 0 Idx: 4000 Loss: 0.025129497760306846
Epoch: 0 Idx: 5000 Loss: 0.0166468403286258
Epoch: 0 Idx: 6000 Loss: 0.02459596699553891
Epoch: 0 Idx: 7000 Loss: 0.005596046031919387
Epoch: 0 Idx: 8000 Loss: 0.041866372003097535
Epoch: 0 Idx: 9000 Loss: 0.018522354760337936
Epoch: 0 Idx: 10000 Loss: 0.014971787937533962
Epoch: 0 Idx: 11000 Loss: 0.0032826353442511943
Epoch: 0 Idx: 12000 Loss: 0.03975867175739896
Epoch: 0 Idx: 13000 Loss: 0.0284363136755122
Epoch: 0 Idx: 14000 Loss: 0.011345272518485855
Epoch: 0 Idx: 15000 Loss: 0.03137043125478057
Epoch: 0 Idx: 16000 Loss: 0.03317509660635854
Epoch: 0 Idx: 17000 Loss: 0.018297728925940986
Epoch: 1 Idx: 0 Loss: 0.01622547263585962
Epoch: 1 Idx: 1000 Loss: 0.006574927209299502
Epoch: 1 Idx: 2000 Loss: 0.04568840137337034
Epoch: 1 Idx: 3000 Loss: 0.025750905891465597
Epoch: 1 Idx: 4000 Loss: 0.021907646953567218
Epoch: 1 Idx: 5000 Loss: 0.0434941585641382
Epoch: 1 Idx: 6000 Loss: 0.008340829499609195
Epoch: 1 Idx: 7000 Loss: 0.00879950967351624
Epoch: 1 Idx: 8000 Loss: 0.024683688339113764
Epoch: 1 Idx: 9000 Loss: 0.013637178016911064
Epoch: 1 Idx: 10000 Loss: 0.011922658945044367
Epoch: 1 Idx: 11000 Loss: 0.014432831334036608
Epoch: 1 Idx: 12000 Loss: 0.03928382467859896
Epoch: 1 Idx: 13000 Loss: 0.020435908597593876
Epoch: 1 Idx: 14000 Loss: 0.005788642568338931
Epoch: 1 Idx: 15000 Loss: 0.02187303856349181
Epoch: 1 Idx: 16000 Loss: 0.006617720139195811
Epoch: 1 Idx: 17000 Loss: 0.022843313114893724
Epoch: 2 Idx: 0 Loss: 0.1038475563396369
Epoch: 2 Idx: 1000 Loss: 0.022032647295657005
Epoch: 2 Idx: 2000 Loss: 0.007262467691049129
Epoch: 2 Idx: 3000 Loss: 0.003929440903142921
Epoch: 2 Idx: 4000 Loss: 0.006248938101634789
Epoch: 2 Idx: 5000 Loss: 0.02387846480715393
Epoch: 2 Idx: 6000 Loss: 0.006010890180583254
Epoch: 2 Idx: 7000 Loss: 0.028117294995063633
Epoch: 2 Idx: 8000 Loss: 0.019595330524419332
Epoch: 2 Idx: 9000 Loss: 0.007048679399330192
Epoch: 2 Idx: 10000 Loss: 0.0076576040278426225
Epoch: 2 Idx: 11000 Loss: 0.007973186733394816
Epoch: 2 Idx: 12000 Loss: 0.008435422830749172
