Number of neighbours: 36
Number of entities: 130000
Training size: 110500 Testing size: 13000
Epoch: 0 Idx: 0 Loss: 0.14387121069067507
Epoch: 0 Idx: 5000 Loss: 0.01473797770039365
Epoch: 0 Idx: 10000 Loss: 0.02821836803980381
Epoch: 0 Idx: 15000 Loss: 0.022319691942918198
Epoch: 0 Idx: 20000 Loss: 0.03904086464330301
Epoch: 1 Idx: 0 Loss: 0.05856756675519461
Epoch: 1 Idx: 5000 Loss: 0.026186415937705022
Epoch: 1 Idx: 10000 Loss: 0.04923950024063113
Epoch: 1 Idx: 15000 Loss: 0.036105484528586786
Epoch: 1 Idx: 20000 Loss: 0.02628628209217348
Epoch: 2 Idx: 0 Loss: 0.04321353218057905
Epoch: 2 Idx: 5000 Loss: 0.019967989210193042
Epoch: 2 Idx: 10000 Loss: 0.02554933871386513
Epoch: 2 Idx: 15000 Loss: 0.022571551616032772
Epoch: 2 Idx: 20000 Loss: 0.015054749999003325
Epoch: 3 Idx: 0 Loss: 0.10322607688314382
Epoch: 3 Idx: 5000 Loss: 0.02317142690690374
Epoch: 3 Idx: 10000 Loss: 0.032145639794520196
Epoch: 3 Idx: 15000 Loss: 0.015085822055061968
Epoch: 3 Idx: 20000 Loss: 0.030296427170734837
Epoch: 4 Idx: 0 Loss: 0.02140339471079514
Epoch: 4 Idx: 5000 Loss: 0.017393364088710707
Epoch: 4 Idx: 10000 Loss: 0.02394716668704768
Epoch: 4 Idx: 15000 Loss: 0.022976784622843728
Epoch: 4 Idx: 20000 Loss: 0.020940249260964786
Epoch: 5 Idx: 0 Loss: 0.03213634821820906
Epoch: 5 Idx: 5000 Loss: 0.03343331407909439
Epoch: 5 Idx: 10000 Loss: 0.0695598179063249
Epoch: 5 Idx: 15000 Loss: 0.026992104898707726
Epoch: 5 Idx: 20000 Loss: 0.029442036872704712
Epoch: 6 Idx: 0 Loss: 0.01619112840677586
Epoch: 6 Idx: 5000 Loss: 0.08981809285795009
Epoch: 6 Idx: 10000 Loss: 0.009844898565575232
Epoch: 6 Idx: 15000 Loss: 0.04363241977240329
Epoch: 6 Idx: 20000 Loss: 0.02132451167642933
Epoch: 7 Idx: 0 Loss: 0.042754179310999764
Epoch: 7 Idx: 5000 Loss: 0.0065595045173350765
Epoch: 7 Idx: 10000 Loss: 0.047949838263754804
Epoch: 7 Idx: 15000 Loss: 0.024189702706225988
Epoch: 7 Idx: 20000 Loss: 0.04379493583655465
Epoch: 8 Idx: 0 Loss: 0.018622863817745722
Epoch: 8 Idx: 5000 Loss: 0.027407973260869294
Epoch: 8 Idx: 10000 Loss: 0.016996139553287333
Epoch: 8 Idx: 15000 Loss: 0.04656027189093888
Epoch: 8 Idx: 20000 Loss: 0.0109520625199726
Epoch: 9 Idx: 0 Loss: 0.018517650233114125
Epoch: 9 Idx: 5000 Loss: 0.035053967368185314
Epoch: 9 Idx: 10000 Loss: 0.021890527636143832
Epoch: 9 Idx: 15000 Loss: 0.021720856371264204
Epoch: 9 Idx: 20000 Loss: 0.015850450142487427
Epoch: 10 Idx: 0 Loss: 0.05379067076969063
Epoch: 10 Idx: 5000 Loss: 0.011312829653832495
Epoch: 10 Idx: 10000 Loss: 0.03516432542081217
Epoch: 10 Idx: 15000 Loss: 0.030051193857578117
Epoch: 10 Idx: 20000 Loss: 0.0722734824520384
Epoch: 11 Idx: 0 Loss: 0.013129118363310899
Epoch: 11 Idx: 5000 Loss: 0.032982150382400696
Epoch: 11 Idx: 10000 Loss: 0.032437149444387095
Epoch: 11 Idx: 15000 Loss: 0.013927792985053792
Epoch: 11 Idx: 20000 Loss: 0.011022489919902416
Epoch: 12 Idx: 0 Loss: 0.010810869470986795
Epoch: 12 Idx: 5000 Loss: 0.0483647682982518
Epoch: 12 Idx: 10000 Loss: 0.04250454321257493
Epoch: 12 Idx: 15000 Loss: 0.025767682559390916
Epoch: 12 Idx: 20000 Loss: 0.009820162410111312
Epoch: 13 Idx: 0 Loss: 0.07345248741629018
Epoch: 13 Idx: 5000 Loss: 0.04561240665743868
Epoch: 13 Idx: 10000 Loss: 0.011267599055103248
Epoch: 13 Idx: 15000 Loss: 0.02663803497030462
Epoch: 13 Idx: 20000 Loss: 0.010162922634036509
Epoch: 14 Idx: 0 Loss: 0.044394860869445475
Epoch: 14 Idx: 5000 Loss: 0.028419363508611573
Epoch: 14 Idx: 10000 Loss: 0.01785552006156595
Epoch: 14 Idx: 15000 Loss: 0.047037866166808474
Epoch: 14 Idx: 20000 Loss: 0.025130166220010887
Epoch: 15 Idx: 0 Loss: 0.009723352961440633
Epoch: 15 Idx: 5000 Loss: 0.030578453012691808
Epoch: 15 Idx: 10000 Loss: 0.01554531767746677
Epoch: 15 Idx: 15000 Loss: 0.008054695040858843
Epoch: 15 Idx: 20000 Loss: 0.022244092454616456
Epoch: 16 Idx: 0 Loss: 0.011373322243998504
Epoch: 16 Idx: 5000 Loss: 0.0134641388899218
Epoch: 16 Idx: 10000 Loss: 0.05589503259554122
Epoch: 16 Idx: 15000 Loss: 0.023661667450215883
Epoch: 16 Idx: 20000 Loss: 0.009781015172014854
Epoch: 17 Idx: 0 Loss: 0.028559699783043076
Epoch: 17 Idx: 5000 Loss: 0.030235791481129
Epoch: 17 Idx: 10000 Loss: 0.024910960547480356
Epoch: 17 Idx: 15000 Loss: 0.03935534796234867
Epoch: 17 Idx: 20000 Loss: 0.020248723753367955
Epoch: 18 Idx: 0 Loss: 0.02746612896072932
Epoch: 18 Idx: 5000 Loss: 0.05709158262892906
Epoch: 18 Idx: 10000 Loss: 0.026140633809164666
Epoch: 18 Idx: 15000 Loss: 0.03900510216772183
Epoch: 18 Idx: 20000 Loss: 0.07497100614953847
Epoch: 19 Idx: 0 Loss: 0.01180758093359627
Epoch: 19 Idx: 5000 Loss: 0.03569150238754521
Epoch: 19 Idx: 10000 Loss: 0.032394037487316237
Epoch: 19 Idx: 15000 Loss: 0.026366931978468417
Epoch: 19 Idx: 20000 Loss: 0.004623437126163605
Epoch: 20 Idx: 0 Loss: 0.012301190646109827
Epoch: 20 Idx: 5000 Loss: 0.00437036053837203
Epoch: 20 Idx: 10000 Loss: 0.012493654327915552
Epoch: 20 Idx: 15000 Loss: 0.01890610132423267
Epoch: 20 Idx: 20000 Loss: 0.007186329948699122
Epoch: 21 Idx: 0 Loss: 0.03786605323725888
Epoch: 21 Idx: 5000 Loss: 0.030343741447377993
Epoch: 21 Idx: 10000 Loss: 0.06939625007877481
Epoch: 21 Idx: 15000 Loss: 0.027007078906766936
Epoch: 21 Idx: 20000 Loss: 0.038227831106092944
Epoch: 22 Idx: 0 Loss: 0.02135528874552317
Epoch: 22 Idx: 5000 Loss: 0.019253959915245512
Epoch: 22 Idx: 10000 Loss: 0.022482890032862933
Epoch: 22 Idx: 15000 Loss: 0.010980961892492615
Epoch: 22 Idx: 20000 Loss: 0.04463121253417852
Epoch: 23 Idx: 0 Loss: 0.008939940112382281
Epoch: 23 Idx: 5000 Loss: 0.031391536811309205
Epoch: 23 Idx: 10000 Loss: 0.04846487857244309
Epoch: 23 Idx: 15000 Loss: 0.04725101929212615
Epoch: 23 Idx: 20000 Loss: 0.013855687243872247
Epoch: 24 Idx: 0 Loss: 0.02465792197621166
Epoch: 24 Idx: 5000 Loss: 0.012398188715152239
