Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.3481615792574245
Epoch: 0 Idx: 1000 Loss: 0.0654800469062452
Epoch: 0 Idx: 2000 Loss: 0.05548602856475051
Epoch: 1 Idx: 0 Loss: 0.02358357123324285
Epoch: 1 Idx: 1000 Loss: 0.046813991227506346
Epoch: 1 Idx: 2000 Loss: 0.031022014459144775
Epoch: 2 Idx: 0 Loss: 0.04162674417298219
Epoch: 2 Idx: 1000 Loss: 0.010485753116592318
Epoch: 2 Idx: 2000 Loss: 0.016182444645168315
Epoch: 3 Idx: 0 Loss: 0.013464731538184792
Epoch: 3 Idx: 1000 Loss: 0.00995433519130174
Epoch: 3 Idx: 2000 Loss: 0.030542177460710175
Epoch: 4 Idx: 0 Loss: 0.020268266713103975
Epoch: 4 Idx: 1000 Loss: 0.012967749223630278
Epoch: 4 Idx: 2000 Loss: 0.01403869485838051
Epoch: 5 Idx: 0 Loss: 0.02159044909041667
Epoch: 5 Idx: 1000 Loss: 0.011263771814596752
Epoch: 5 Idx: 2000 Loss: 0.024621060791421588
Epoch: 6 Idx: 0 Loss: 0.07431469417116375
Epoch: 6 Idx: 1000 Loss: 0.01408461954670854
Epoch: 6 Idx: 2000 Loss: 0.003177682022003878
Epoch: 7 Idx: 0 Loss: 0.013507678210462948
Epoch: 7 Idx: 1000 Loss: 0.016781212102968936
Epoch: 7 Idx: 2000 Loss: 0.018239707308394682
Epoch: 8 Idx: 0 Loss: 0.011943071431470357
Epoch: 8 Idx: 1000 Loss: 0.00843651545046817
Epoch: 8 Idx: 2000 Loss: 0.01569754210123567
Epoch: 9 Idx: 0 Loss: 0.012992781886151834
Epoch: 9 Idx: 1000 Loss: 0.022041175009674965
Epoch: 9 Idx: 2000 Loss: 0.021109250965025604
Epoch: 10 Idx: 0 Loss: 0.005912871097684405
Epoch: 10 Idx: 1000 Loss: 0.007459253071107065
Epoch: 10 Idx: 2000 Loss: 0.016857000940001796
Epoch: 11 Idx: 0 Loss: 0.11500189463099883
Epoch: 11 Idx: 1000 Loss: 0.017524373973378658
Epoch: 11 Idx: 2000 Loss: 0.02086250862152427
Epoch: 12 Idx: 0 Loss: 0.043653513995576015
Epoch: 12 Idx: 1000 Loss: 0.01658059158781545
Epoch: 12 Idx: 2000 Loss: 0.0173607931465499
Epoch: 13 Idx: 0 Loss: 0.03163923607180843
Epoch: 13 Idx: 1000 Loss: 0.006147092012649015
Epoch: 13 Idx: 2000 Loss: 0.01453864535975937
Epoch: 14 Idx: 0 Loss: 0.00624290163470415
Epoch: 14 Idx: 1000 Loss: 0.014339324821642518
Epoch: 14 Idx: 2000 Loss: 0.008175242176639943
Epoch: 15 Idx: 0 Loss: 0.008701657964083807
Epoch: 15 Idx: 1000 Loss: 0.010934105063879896
Epoch: 15 Idx: 2000 Loss: 0.01215481367655624
