Number of neighbours: 7
Number of entities: 122893
Training size: 109284 Testing size: 13609
Epoch: 0 Idx: 0 Loss: 0.1469664957252637
Epoch: 0 Idx: 1000 Loss: 0.008246057206220686
Epoch: 0 Idx: 2000 Loss: 0.011080947568932072
Epoch: 0 Idx: 3000 Loss: 0.000662507818171771
Epoch: 0 Idx: 4000 Loss: 0.019350864249238757
Epoch: 0 Idx: 5000 Loss: 0.025827810210771487
Epoch: 0 Idx: 6000 Loss: 0.021803116283393292
Epoch: 0 Idx: 7000 Loss: 0.012065294756743675
Epoch: 0 Idx: 8000 Loss: 0.014772251108046202
Epoch: 0 Idx: 9000 Loss: 0.009631880669743203
Epoch: 0 Idx: 10000 Loss: 0.01763113043396584
Epoch: 0 Idx: 11000 Loss: 0.02635001048377489
Epoch: 0 Idx: 12000 Loss: 0.022325140490241435
Epoch: 0 Idx: 13000 Loss: 0.00692636672104023
Epoch: 0 Idx: 14000 Loss: 0.016518963269634913
Epoch: 0 Idx: 15000 Loss: 0.011295121044936473
Epoch: 0 Idx: 16000 Loss: 0.014574028745440148
Epoch: 0 Idx: 17000 Loss: 0.008311205873091141
Epoch: 1 Idx: 0 Loss: 0.017892983674978224
Epoch: 1 Idx: 1000 Loss: 0.011014696479101777
Epoch: 1 Idx: 2000 Loss: 0.01102895044666134
Epoch: 1 Idx: 3000 Loss: 0.020538693546069006
Epoch: 1 Idx: 4000 Loss: 0.015613043573681918
Epoch: 1 Idx: 5000 Loss: 0.010181224939562257
Epoch: 1 Idx: 6000 Loss: 0.03055541633117511
Epoch: 1 Idx: 7000 Loss: 0.008216801974010398
Epoch: 1 Idx: 8000 Loss: 0.02541250136133315
Epoch: 1 Idx: 9000 Loss: 0.046844477909652286
Epoch: 1 Idx: 10000 Loss: 0.002555726819075211
Epoch: 1 Idx: 11000 Loss: 0.03127146947990213
Epoch: 1 Idx: 12000 Loss: 0.006106097750916979
Epoch: 1 Idx: 13000 Loss: 0.04197275493589643
Epoch: 1 Idx: 14000 Loss: 0.033556759145697626
Epoch: 1 Idx: 15000 Loss: 0.014449875853354747
Epoch: 1 Idx: 16000 Loss: 0.018347952335721653
Epoch: 1 Idx: 17000 Loss: 0.018818576901226503
Epoch: 2 Idx: 0 Loss: 0.0029116257605954574
Epoch: 2 Idx: 1000 Loss: 0.06884416051100024
Epoch: 2 Idx: 2000 Loss: 0.03877147050168196
Epoch: 2 Idx: 3000 Loss: 0.014840919589831829
Epoch: 2 Idx: 4000 Loss: 0.013780511041949682
Epoch: 2 Idx: 5000 Loss: 0.03597545280207145
Epoch: 2 Idx: 6000 Loss: 0.12670667548265374
Epoch: 2 Idx: 7000 Loss: 0.031631756816115415
Epoch: 2 Idx: 8000 Loss: 0.0040141665160793585
Epoch: 2 Idx: 9000 Loss: 0.038387294963610576
Epoch: 2 Idx: 10000 Loss: 0.020351400887935182
Epoch: 2 Idx: 11000 Loss: 0.05134282349044128
Epoch: 2 Idx: 12000 Loss: 0.03863750952647364
Epoch: 2 Idx: 13000 Loss: 0.04724093727135815
Epoch: 2 Idx: 14000 Loss: 0.051092569891701696
Epoch: 2 Idx: 15000 Loss: 0.005919276424896754
Epoch: 2 Idx: 16000 Loss: 0.03462197479415147
Epoch: 2 Idx: 17000 Loss: 0.02739599221368089
Epoch: 3 Idx: 0 Loss: 0.022451363783412087
Epoch: 3 Idx: 1000 Loss: 0.005510159480867352
Epoch: 3 Idx: 2000 Loss: 0.0067431303187965004
Epoch: 3 Idx: 3000 Loss: 0.00991672568846885
Epoch: 3 Idx: 4000 Loss: 0.025607513841258554
Epoch: 3 Idx: 5000 Loss: 0.018476433330010686
Epoch: 3 Idx: 6000 Loss: 0.005627097963081176
Epoch: 3 Idx: 7000 Loss: 0.033968311414913833
Epoch: 3 Idx: 8000 Loss: 0.08985178008792566
Epoch: 3 Idx: 9000 Loss: 0.008832428153395513
Epoch: 3 Idx: 10000 Loss: 0.05385158873416155
Epoch: 3 Idx: 11000 Loss: 0.01944102376469274
Epoch: 3 Idx: 12000 Loss: 0.005730962633722179
Epoch: 3 Idx: 13000 Loss: 0.045789768852911514
Epoch: 3 Idx: 14000 Loss: 0.029535201988600008
Epoch: 3 Idx: 15000 Loss: 0.014319068355462858
Epoch: 3 Idx: 16000 Loss: 0.008425521725767094
Epoch: 3 Idx: 17000 Loss: 0.0247786436284334
Epoch: 4 Idx: 0 Loss: 0.010248110023509524
Epoch: 4 Idx: 1000 Loss: 0.03317126054844416
Epoch: 4 Idx: 2000 Loss: 0.01824795618525701
Epoch: 4 Idx: 3000 Loss: 0.0379688693020217
Epoch: 4 Idx: 4000 Loss: 0.009721152027973457
Epoch: 4 Idx: 5000 Loss: 0.007633617901750688
Epoch: 4 Idx: 6000 Loss: 0.00696520267748207
Epoch: 4 Idx: 7000 Loss: 0.01946690577014342
Epoch: 4 Idx: 8000 Loss: 0.017327449659831646
Epoch: 4 Idx: 9000 Loss: 0.03531606417059302
Epoch: 4 Idx: 10000 Loss: 0.004150478922620073
Epoch: 4 Idx: 11000 Loss: 0.005597958913759287
Epoch: 4 Idx: 12000 Loss: 0.023319564303968598
Epoch: 4 Idx: 13000 Loss: 0.021455765834517478
Epoch: 4 Idx: 14000 Loss: 0.014449044208148538
Epoch: 4 Idx: 15000 Loss: 0.005885574855546045
Epoch: 4 Idx: 16000 Loss: 0.01970662578621808
Epoch: 4 Idx: 17000 Loss: 0.008016077349783868
Epoch: 5 Idx: 0 Loss: 0.02223655078102969
Epoch: 5 Idx: 1000 Loss: 0.008797475941689682
Epoch: 5 Idx: 2000 Loss: 0.011113595978459491
Epoch: 5 Idx: 3000 Loss: 0.018754551450943034
Epoch: 5 Idx: 4000 Loss: 0.009762893327449786
Epoch: 5 Idx: 5000 Loss: 0.01755359198513822
Epoch: 5 Idx: 6000 Loss: 0.013894493896030003
Epoch: 5 Idx: 7000 Loss: 0.04310992568168259
Epoch: 5 Idx: 8000 Loss: 0.11891468529215754
Epoch: 5 Idx: 9000 Loss: 0.02100119323124213
Epoch: 5 Idx: 10000 Loss: 0.022178510457971572
Epoch: 5 Idx: 11000 Loss: 0.009768042609885315
Epoch: 5 Idx: 12000 Loss: 0.010369944801256388
Epoch: 5 Idx: 13000 Loss: 0.013418709108927044
Epoch: 5 Idx: 14000 Loss: 0.013657156558686153
Epoch: 5 Idx: 15000 Loss: 0.022569681478231306
Epoch: 5 Idx: 16000 Loss: 0.010896279738285245
Epoch: 5 Idx: 17000 Loss: 0.01805265019412307
Epoch: 6 Idx: 0 Loss: 0.02362885167432268
Epoch: 6 Idx: 1000 Loss: 0.008135926260000917
Epoch: 6 Idx: 2000 Loss: 0.018307322462738595
Epoch: 6 Idx: 3000 Loss: 0.11465663521446011
Epoch: 6 Idx: 4000 Loss: 0.009684371026458402
Epoch: 6 Idx: 5000 Loss: 0.019235406291126456
Epoch: 6 Idx: 6000 Loss: 0.01195698483636875
Epoch: 6 Idx: 7000 Loss: 0.006613431703187976
Epoch: 6 Idx: 8000 Loss: 0.03627014126399326
Epoch: 6 Idx: 9000 Loss: 0.014903362899374049
Epoch: 6 Idx: 10000 Loss: 0.0017722804838781081
Epoch: 6 Idx: 11000 Loss: 0.007536084076674724
Epoch: 6 Idx: 12000 Loss: 0.06145157520413016
Epoch: 6 Idx: 13000 Loss: 0.013348850687861215
Epoch: 6 Idx: 14000 Loss: 0.004582309619225808
Epoch: 6 Idx: 15000 Loss: 0.0087696142384977
Epoch: 6 Idx: 16000 Loss: 0.011029451053911229
Epoch: 6 Idx: 17000 Loss: 0.020190177307668387
Epoch: 7 Idx: 0 Loss: 0.002548139516517411
Epoch: 7 Idx: 1000 Loss: 0.0752096372691268
Epoch: 7 Idx: 2000 Loss: 0.009907328676377006
Epoch: 7 Idx: 3000 Loss: 0.008514260627697256
Epoch: 7 Idx: 4000 Loss: 0.005247166855348962
Epoch: 7 Idx: 5000 Loss: 0.023987947707422203
Epoch: 7 Idx: 6000 Loss: 0.012844531194420701
Epoch: 7 Idx: 7000 Loss: 0.01774755015801546
Epoch: 7 Idx: 8000 Loss: 0.006080537924082996
Epoch: 7 Idx: 9000 Loss: 0.026331132307426723
Epoch: 7 Idx: 10000 Loss: 0.0114658803648151
Epoch: 7 Idx: 11000 Loss: 0.02221244112508379
Epoch: 7 Idx: 12000 Loss: 0.022350028161962035
Epoch: 7 Idx: 13000 Loss: 0.008869018536165155
Epoch: 7 Idx: 14000 Loss: 0.005705838941538479
Epoch: 7 Idx: 15000 Loss: 0.01935886057150598
Epoch: 7 Idx: 16000 Loss: 0.03279233061637378
Epoch: 7 Idx: 17000 Loss: 0.017727594569258914
Epoch: 8 Idx: 0 Loss: 0.02306237731465358
Epoch: 8 Idx: 1000 Loss: 0.014006203739601533
Epoch: 8 Idx: 2000 Loss: 0.019039652512650305
