Number of neighbours: 28
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.10577792933034137
Epoch: 0 Idx: 5000 Loss: 0.02316064116802774
Epoch: 0 Idx: 10000 Loss: 0.024512487058161583
Epoch: 0 Idx: 15000 Loss: 0.018588261379411365
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.022738962123230115
Epoch: 1 Idx: 5000 Loss: 0.033807489963422144
Epoch: 1 Idx: 10000 Loss: 0.0434889634645695
Epoch: 1 Idx: 15000 Loss: 0.02423768327486914
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.015744178460060605
Epoch: 2 Idx: 5000 Loss: 0.015777204531220237
Epoch: 2 Idx: 10000 Loss: 0.007313063748737891
Epoch: 2 Idx: 15000 Loss: 0.04118087234176247
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.0240193764633353
Epoch: 3 Idx: 5000 Loss: 0.0317186506469519
Epoch: 3 Idx: 10000 Loss: 0.011314184943960519
Epoch: 3 Idx: 15000 Loss: 0.0456487564790318
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.011278463156208127
Epoch: 4 Idx: 5000 Loss: 0.0065186929596650345
Epoch: 4 Idx: 10000 Loss: 0.003975999099067603
Epoch: 4 Idx: 15000 Loss: 0.010332293222481102
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.03611149707858358
Epoch: 5 Idx: 5000 Loss: 0.013093514376140196
Epoch: 5 Idx: 10000 Loss: 0.02830889166407857
Epoch: 5 Idx: 15000 Loss: 0.029473861709885696
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.028230848586163423
Epoch: 6 Idx: 5000 Loss: 0.0279891669421841
Epoch: 6 Idx: 10000 Loss: 0.13067914848260379
Epoch: 6 Idx: 15000 Loss: 0.014092260383885235
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.06101051731879957
Epoch: 7 Idx: 5000 Loss: 0.025456226209689705
Epoch: 7 Idx: 10000 Loss: 0.011982329873453136
Epoch: 7 Idx: 15000 Loss: 0.01657447024173263
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.04947061538112918
Epoch: 8 Idx: 5000 Loss: 0.02645689897338264
Epoch: 8 Idx: 10000 Loss: 0.02830174159386983
Epoch: 8 Idx: 15000 Loss: 0.03521553529642855
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.04509319470931497
Epoch: 9 Idx: 5000 Loss: 0.007956435160126299
Epoch: 9 Idx: 10000 Loss: 0.013684183289474858
Epoch: 9 Idx: 15000 Loss: 0.02878658563697346
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.05351662925931176
Epoch: 10 Idx: 5000 Loss: 0.018878559331955067
Epoch: 10 Idx: 10000 Loss: 0.042913784900715665
Epoch: 10 Idx: 15000 Loss: 0.005182055158833877
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.01685185274124499
Epoch: 11 Idx: 5000 Loss: 0.04194828995475625
Epoch: 11 Idx: 10000 Loss: 0.005214371833570375
Epoch: 11 Idx: 15000 Loss: 0.009938087161851511
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.03809922132209886
Epoch: 12 Idx: 5000 Loss: 0.01696032549197352
Epoch: 12 Idx: 10000 Loss: 0.03075788149257585
Epoch: 12 Idx: 15000 Loss: 0.10780902078504755
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.018963392124736154
Epoch: 13 Idx: 5000 Loss: 0.03515338270743429
Epoch: 13 Idx: 10000 Loss: 0.032958262495519766
Epoch: 13 Idx: 15000 Loss: 0.029182214309968486
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.04329242310109613
Epoch: 14 Idx: 5000 Loss: 0.040540054644779416
Epoch: 14 Idx: 10000 Loss: 0.015596302477418824
Epoch: 14 Idx: 15000 Loss: 0.03392016528611321
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.03379705491873936
Epoch: 15 Idx: 5000 Loss: 0.012976085600902462
Epoch: 15 Idx: 10000 Loss: 0.019930755429783547
Epoch: 15 Idx: 15000 Loss: 0.07172675256182878
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.06766361061418481
Epoch: 16 Idx: 5000 Loss: 0.04947935087956831
Epoch: 16 Idx: 10000 Loss: 0.012814397114833497
