Number of neighbours: 23
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.18862113889459262
Epoch: 0 Idx: 5000 Loss: 0.00283042186971337
Epoch: 0 Idx: 10000 Loss: 0.02128637779016969
Epoch: 0 Idx: 15000 Loss: 0.003387875073731864
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.015707732294370443
Epoch: 1 Idx: 5000 Loss: 0.010560719792493805
Epoch: 1 Idx: 10000 Loss: 0.022423923856950113
Epoch: 1 Idx: 15000 Loss: 0.006376816231759529
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.035421877736329474
Epoch: 2 Idx: 5000 Loss: 0.059772306336485455
Epoch: 2 Idx: 10000 Loss: 0.049090710867471535
Epoch: 2 Idx: 15000 Loss: 0.030627482573453817
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.016107457126704385
Epoch: 3 Idx: 5000 Loss: 0.0288935254356692
Epoch: 3 Idx: 10000 Loss: 0.018877712161883827
Epoch: 3 Idx: 15000 Loss: 0.016019648921220243
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.009163350074131887
Epoch: 4 Idx: 5000 Loss: 0.010573172863705405
Epoch: 4 Idx: 10000 Loss: 0.07119331317803955
Epoch: 4 Idx: 15000 Loss: 0.05591591340728695
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.016558748694322317
Epoch: 5 Idx: 5000 Loss: 0.010014263642351471
Epoch: 5 Idx: 10000 Loss: 0.01887265846654694
Epoch: 5 Idx: 15000 Loss: 0.018285375395033783
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.014748019927423705
Epoch: 6 Idx: 5000 Loss: 0.016683478289809428
Epoch: 6 Idx: 10000 Loss: 0.03314541389202622
Epoch: 6 Idx: 15000 Loss: 0.020903538874550133
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.047342840461008846
Epoch: 7 Idx: 5000 Loss: 0.011886568297082518
Epoch: 7 Idx: 10000 Loss: 0.029443228784765782
Epoch: 7 Idx: 15000 Loss: 0.020750115286435344
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.04203667771294225
Epoch: 8 Idx: 5000 Loss: 0.021014628898687812
Epoch: 8 Idx: 10000 Loss: 0.007691693313446226
Epoch: 8 Idx: 15000 Loss: 0.027566670289921852
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.07196784420468802
Epoch: 9 Idx: 5000 Loss: 0.007200895499368239
Epoch: 9 Idx: 10000 Loss: 0.038862106843616434
Epoch: 9 Idx: 15000 Loss: 0.015189178215899754
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.019156995804281318
Epoch: 10 Idx: 5000 Loss: 0.004955143682524548
Epoch: 10 Idx: 10000 Loss: 0.04756129443446311
Epoch: 10 Idx: 15000 Loss: 0.012477567519122327
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.022340421864687283
Epoch: 11 Idx: 5000 Loss: 0.026313663054019422
Epoch: 11 Idx: 10000 Loss: 0.009918822505449896
Epoch: 11 Idx: 15000 Loss: 0.019275585100258667
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.011850976516861383
Epoch: 12 Idx: 5000 Loss: 0.011947753520858374
Epoch: 12 Idx: 10000 Loss: 0.0689634680511475
Epoch: 12 Idx: 15000 Loss: 0.014969704714401996
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.03247006580861239
Epoch: 13 Idx: 5000 Loss: 0.021395719297461504
Epoch: 13 Idx: 10000 Loss: 0.028089523063465682
Epoch: 13 Idx: 15000 Loss: 0.04491292125739184
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.03286018670362983
Epoch: 14 Idx: 5000 Loss: 0.021483416307089602
Epoch: 14 Idx: 10000 Loss: 0.04452732727496077
Epoch: 14 Idx: 15000 Loss: 0.002784323695262001
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.04342710458990058
Epoch: 15 Idx: 5000 Loss: 0.008126581169255926
Epoch: 15 Idx: 10000 Loss: 0.01223728946289817
Epoch: 15 Idx: 15000 Loss: 0.03357736563069659
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.0114521562066017
Epoch: 16 Idx: 5000 Loss: 0.0707900698190454
Epoch: 16 Idx: 10000 Loss: 0.010342288884707621
Epoch: 16 Idx: 15000 Loss: 0.012682229511220364
