Number of neighbours: 24
Number of entities: 98688
Training size: 87849 Testing size: 2117
Training size: 22588 Testing size: 1617
Properties with neighbours:  42976 Total:  45090
Epoch: 0 Idx: 0 Loss: 0.18678270741695877
Epoch: 0 Idx: 5000 Loss: 0.05529539982672394
Epoch: 0 Idx: 10000 Loss: 0.02326488556087431
Epoch: 0 Idx: 15000 Loss: 0.030762593385023768
Properties with neighbours:  42976 Total:  45090
Epoch: 1 Idx: 0 Loss: 0.05551589047618622
Epoch: 1 Idx: 5000 Loss: 0.018254739859398964
Epoch: 1 Idx: 10000 Loss: 0.008684482505535055
Epoch: 1 Idx: 15000 Loss: 0.013138630024932374
Properties with neighbours:  42976 Total:  45090
Epoch: 2 Idx: 0 Loss: 0.006304438239337585
Epoch: 2 Idx: 5000 Loss: 0.00959431614278732
Epoch: 2 Idx: 10000 Loss: 0.037949386885818344
Epoch: 2 Idx: 15000 Loss: 0.01763241420892928
Properties with neighbours:  42976 Total:  45090
Epoch: 3 Idx: 0 Loss: 0.03908776576596002
Epoch: 3 Idx: 5000 Loss: 0.02101243556676548
Epoch: 3 Idx: 10000 Loss: 0.023157332388939342
Epoch: 3 Idx: 15000 Loss: 0.006479725082192622
Properties with neighbours:  42976 Total:  45090
Epoch: 4 Idx: 0 Loss: 0.048470213685302715
Epoch: 4 Idx: 5000 Loss: 0.07169130164132483
Epoch: 4 Idx: 10000 Loss: 0.04136004529533688
Epoch: 4 Idx: 15000 Loss: 0.025689695398573475
Properties with neighbours:  42976 Total:  45090
Epoch: 5 Idx: 0 Loss: 0.00923413270015862
Epoch: 5 Idx: 5000 Loss: 0.012185578513517571
Epoch: 5 Idx: 10000 Loss: 0.004233980786357232
Epoch: 5 Idx: 15000 Loss: 0.007434374157022257
Properties with neighbours:  42976 Total:  45090
Epoch: 6 Idx: 0 Loss: 0.08139858061700124
Epoch: 6 Idx: 5000 Loss: 0.014654790749379976
Epoch: 6 Idx: 10000 Loss: 0.009287732711983644
Epoch: 6 Idx: 15000 Loss: 0.0061475050532520375
Properties with neighbours:  42976 Total:  45090
Epoch: 7 Idx: 0 Loss: 0.027287981623306375
Epoch: 7 Idx: 5000 Loss: 0.0032613715739114035
Epoch: 7 Idx: 10000 Loss: 0.007240127781694764
Epoch: 7 Idx: 15000 Loss: 0.02271240789499985
Properties with neighbours:  42976 Total:  45090
Epoch: 8 Idx: 0 Loss: 0.034959641039911234
Epoch: 8 Idx: 5000 Loss: 0.03184485153766434
Epoch: 8 Idx: 10000 Loss: 0.031008688056889076
Epoch: 8 Idx: 15000 Loss: 0.03667388432227532
Properties with neighbours:  42976 Total:  45090
Epoch: 9 Idx: 0 Loss: 0.01918452463588801
Epoch: 9 Idx: 5000 Loss: 0.01556442815800834
Epoch: 9 Idx: 10000 Loss: 0.009513977044581092
Epoch: 9 Idx: 15000 Loss: 0.05337395250114503
Properties with neighbours:  42976 Total:  45090
Epoch: 10 Idx: 0 Loss: 0.020999790984334108
Epoch: 10 Idx: 5000 Loss: 0.013796423066495093
Epoch: 10 Idx: 10000 Loss: 0.012327777922053008
Epoch: 10 Idx: 15000 Loss: 0.04226289865097178
Properties with neighbours:  42976 Total:  45090
Epoch: 11 Idx: 0 Loss: 0.012222827508134283
Epoch: 11 Idx: 5000 Loss: 0.009093505774167208
Epoch: 11 Idx: 10000 Loss: 0.019609326469975177
Epoch: 11 Idx: 15000 Loss: 0.037263907605624445
Properties with neighbours:  42976 Total:  45090
Epoch: 12 Idx: 0 Loss: 0.009467818817496374
Epoch: 12 Idx: 5000 Loss: 0.05454899883956727
Epoch: 12 Idx: 10000 Loss: 0.011747918498789863
Epoch: 12 Idx: 15000 Loss: 0.008388847147438502
Properties with neighbours:  42976 Total:  45090
Epoch: 13 Idx: 0 Loss: 0.02646829486071222
Epoch: 13 Idx: 5000 Loss: 0.018014971992869503
Epoch: 13 Idx: 10000 Loss: 0.02106081868036832
Epoch: 13 Idx: 15000 Loss: 0.044602828002048345
Properties with neighbours:  42976 Total:  45090
Epoch: 14 Idx: 0 Loss: 0.05468902451595736
Epoch: 14 Idx: 5000 Loss: 0.016689872335400004
Epoch: 14 Idx: 10000 Loss: 0.028572532522842604
Epoch: 14 Idx: 15000 Loss: 0.01086998845333662
Properties with neighbours:  42976 Total:  45090
Epoch: 15 Idx: 0 Loss: 0.06421470775259668
Epoch: 15 Idx: 5000 Loss: 0.011835064834827845
Epoch: 15 Idx: 10000 Loss: 0.020526862317087027
Epoch: 15 Idx: 15000 Loss: 0.04360802715030677
Properties with neighbours:  42976 Total:  45090
Epoch: 16 Idx: 0 Loss: 0.0114554558944376
Epoch: 16 Idx: 5000 Loss: 0.017797282707337173
Epoch: 16 Idx: 10000 Loss: 0.013894829549918799
