query,prec,rec,size_source,size_target,common
edas_6_2.sparql,1.0,1.0,5,5,5
ekaw_6_0.sparql,1.0,1.0,5,5,5
edas_6_1.sparql,1.0,1.0,5,5,5
cmt_30_0.sparql,1.0,1.0,2150,2150,2150
cmt_10_1.sparql,1.0,0.05434782608695652,92,5,5
conference_10_0.sparql,0.8279569892473119,0.8369565217391305,92,93,77
ekaw_11_0.sparql,0.07817258883248732,1.0,77,985,77
conference_11_2.sparql,0.8279569892473119,1.0,77,93,77
cmt_11_1.sparql,1.0,0.06493506493506493,77,5,5
cmt_34_2.sparql,0.5,1.0,2150,4300,2150
conference_34_0.sparql,0.3915498087780004,1.0,2150,5491,2150
ekaw_34_3.sparql,1.0,1.0,2150,2150,2150
ekaw_3_1.sparql,1.0,1.0,15,15,15
edas_3_0.sparql,1.0,1.0,15,15,15
conference_14_0.sparql,1.0,0.02066115702479339,242,5,5
edas_17_0.sparql,1.0,0.75,20,15,15
cmt_31_0.sparql,1.0,1.0,5,5,5
conference_24_0.sparql,0.8279569892473119,0.25925925925925924,297,93,77
ekaw_24_2.sparql,0.092,0.30976430976430974,297,1000,92
cmt_24_1.sparql,1.0,0.016835016835016835,297,5,5
ekaw_25_1.sparql,1.0,1.0,45,45,45
conference_25_0.sparql,1.0,1.0,45,45,45
edas_25_2.sparql,1.0,1.0,45,45,45
conference_38_2.sparql,1.0,1.0,1074,1074,1074
ekaw_38_1.sparql,1.0,0.9981378026070763,1074,1072,1072
cmt_38_0.sparql,1.0,1.0,1074,1074,1074
edas_16_0.sparql,1.0,1.0,4351,4351,4351
conference_16_1.sparql,1.0,1.0,4351,4351,4351
conference_0_0.sparql,1.0,0.020242914979757085,247,5,5
cmt_13_2.sparql,1.0,1.0,3284,3284,3284
edas_13_0.sparql,1.0,1.0,3284,3284,3284
ekaw_13_3.sparql,1.0,1.0,3284,3284,3284
conference_13_1.sparql,1.0,1.0,3284,3284,3284
edas_28_0.sparql,1.0,1.0,10802,10802,10802
ekaw_28_1.sparql,1.0,1.0,10802,10802,10802
cmt_28_2.sparql,0.5,1.0,10802,21604,10802
conference_33_0.sparql,1.0,1.0,27,27,27
ekaw_33_1.sparql,1.0,1.0,27,27,27
ekaw_22_0.sparql,1.0,1.0,1178,1178,1178
ekaw_29_0.sparql,1.0,1.0,850,850,850
conference_20_0.sparql,1.0,1.0,5,5,5
ekaw_20_1.sparql,1.0,1.0,5,5,5
cmt_20_3.sparql,1.0,1.0,5,5,5
edas_37_1.sparql,1.0,1.0,541,541,541
ekaw_37_2.sparql,1.0,1.0,541,541,541
ekaw_37_0.sparql,1.0,1.0,541,541,541
edas_18_0.sparql,1.0,1.0,5,5,5
ekaw_32_0.sparql,1.0,1.0,1300,1300,1300
conference_32_1.sparql,1.0,1.0,1300,1300,1300
edas_1_1.sparql,1.0,1.0,4351,4351,4351
ekaw_1_2.sparql,1.0,1.0,4351,4351,4351
cmt_1_0.sparql,1.0,1.0,4351,4351,4351
conference_1_3.sparql,1.0,1.0,4351,4351,4351
ekaw_15_2.sparql,0.991166077738516,1.0,561,566,561
conference_15_0.sparql,1.0,1.0,561,561,561
edas_15_1.sparql,1.0,1.0,561,561,561
ekaw_21_3.sparql,1.0,1.0,6935,6935,6935
edas_21_4.sparql,1.0,1.0,6935,6935,6935
cmt_21_5.sparql,1.0,1.0,6935,6935,6935
conference_21_1.sparql,0.46927865746379754,1.0,6935,14778,6935
ekaw_26_1.sparql,0.9988773505472917,1.0,3559,3563,3559
conference_26_3.sparql,1.0,0.13739814554650182,3559,489,489
cmt_26_0.sparql,1.0,0.9896038212981174,3559,3522,3522
edas_26_2.sparql,1.0,0.9918516437201461,3559,3530,3530
edas_23_0.sparql,1.0,1.0,4351,4351,4351
conference_23_1.sparql,1.0,1.0,4351,4351,4351
ekaw_36_2.sparql,1.0,1.0,10212,10212,10212
cmt_36_3.sparql,1.0,0.7925969447708578,10212,8094,8094
conference_36_0.sparql,1.0,1.0,10212,10212,10212
edas_41_0.sparql,1.0,1.0,20,20,20
ekaw_4_0.sparql,0.2974878801234024,1.0,675,2269,675
conference_4_1.sparql,1.0,0.794074074074074,675,536,536
edas_40_0.sparql,1.0,1.0,5,5,5
ekaw_40_1.sparql,1.0,1.0,5,5,5
cmt_9_0.sparql,1.0,1.0,6935,6935,6935
ekaw_9_4.sparql,1.0,1.0,6935,6935,6935
conference_9_1.sparql,0.46927865746379754,1.0,6935,14778,6935
edas_9_2.sparql,1.0,1.0,6935,6935,6935
ekaw_35_1.sparql,1.0,1.0,20,20,20
edas_35_0.sparql,1.0,0.75,20,15,15
edas_19_0.sparql,1.0,1.0,2202,2202,2202
conference_19_2.sparql,1.0,1.0,2202,2202,2202
ekaw_19_1.sparql,0.9370212765957446,1.0,2202,2350,2202
conference_12_0.sparql,1.0,1.0,5,5,5
edas_12_3.sparql,1.0,1.0,5,5,5
ekaw_12_2.sparql,1.0,1.0,5,5,5
cmt_12_1.sparql,1.0,1.0,5,5,5

