query,prec,rec,size_source,size_target,common
confOf_50_0.sparql,1.0,0.3915498087780004,5491,2150,2150
cmt_50_1.sparql,1.0,0.7830996175560008,5491,4300,4300
edas_47_0.sparql,1.0,1.0,1279,1279,1279
cmt_47_1.sparql,1.0,1.0,1279,1279,1279
edas_46_0.sparql,1.0,1.0,10289,10289,10289
cmt_46_2.sparql,1.0,1.0,10289,10289,10289
ekaw_46_1.sparql,1.0,1.0,10289,10289,10289
cmt_30_0.sparql,1.0,0.3333333333333333,15,5,5
ekaw_10_0.sparql,1.0,1.0,5,5,5
cmt_11_0.sparql,1.0,0.3333333333333333,15,5,5
ekaw_5_0.sparql,1.0,1.0,536,536,536
cmt_60_0.sparql,1.0,1.0,5,5,5
ekaw_34_0.sparql,1.0,1.0,16,16,16
confOf_3_3.sparql,0.13739814554650182,1.0,489,3559,489
ekaw_3_0.sparql,0.1372438955936009,1.0,489,3563,489
edas_3_2.sparql,0.13031161473087818,0.9406952965235174,489,3530,460
cmt_3_1.sparql,0.1303236797274276,0.9386503067484663,489,3522,459
edas_7_0.sparql,1.0,1.0,871,871,871
cmt_7_1.sparql,1.0,1.0,871,871,871
ekaw_52_0.sparql,1.0,1.0,45,45,45
edas_52_1.sparql,1.0,1.0,45,45,45
confOf_52_2.sparql,1.0,1.0,45,45,45
cmt_14_0.sparql,1.0,0.6849489795918368,1568,1074,1074
ekaw_17_0.sparql,1.0,1.0,16,16,16
ekaw_51_0.sparql,1.0,1.0,45,45,45
edas_31_1.sparql,0.9345604808414726,0.7880266075388027,15785,13310,12439
cmt_31_0.sparql,1.0,0.9242318656952804,15785,14589,14589
ekaw_42_1.sparql,1.0,0.009672961768770152,2171,21,21
cmt_42_0.sparql,1.0,0.9903270382312298,2171,2150,2150
ekaw_24_0.sparql,1.0,1.0,27,27,27
confOf_24_1.sparql,1.0,1.0,27,27,27
cmt_25_0.sparql,1.0,1.0,2150,2150,2150
confOf_38_0.sparql,1.0,1.0,5,5,5
edas_16_0.sparql,1.0,0.976457399103139,892,871,871
ekaw_16_1.sparql,1.0,1.0,892,892,892
cmt_0_0.sparql,1.0,0.3333333333333333,15,5,5
ekaw_54_0.sparql,1.0,1.0,5,5,5
edas_13_0.sparql,1.0,1.0,561,561,561
ekaw_13_1.sparql,0.991166077738516,1.0,561,566,561
confOf_13_2.sparql,1.0,1.0,561,561,561
edas_33_3.sparql,1.0,1.0,5,5,5
cmt_33_0.sparql,1.0,1.0,5,5,5
confOf_33_2.sparql,1.0,1.0,5,5,5
ekaw_33_1.sparql,1.0,1.0,5,5,5
ekaw_53_0.sparql,1.0,1.0,21,21,21
edas_22_0.sparql,1.0,1.0,3284,3284,3284
ekaw_29_0.sparql,1.0,1.0,10289,10289,10289
cmt_8_0.sparql,1.0,0.9951400138856746,4321,4300,4300
edas_8_1.sparql,1.0,0.4975700069428373,4321,2150,2150
ekaw_49_0.sparql,1.0,1.0,536,536,536
confOf_49_1.sparql,1.0,1.0,536,536,536
ekaw_59_0.sparql,1.0,0.7056486375051538,26679,18826,18826
ekaw_20_0.sparql,1.0,1.0,88,88,88
ekaw_2_0.sparql,1.0,1.0,10289,10289,10289
cmt_56_0.sparql,1.0,0.6849489795918368,1568,1074,1074
ekaw_58_0.sparql,1.0,0.7056486375051538,26679,18826,18826
confOf_18_0.sparql,1.0,1.0,4351,4351,4351
edas_18_1.sparql,1.0,1.0,4351,4351,4351
ekaw_32_0.sparql,1.0,1.0,27,27,27
cmt_43_0.sparql,1.0,1.0,5,5,5
cmt_45_0.sparql,1.0,1.0,1602,1602,1602
cmt_1_0.sparql,1.0,0.749476622470342,1433,1074,1074
cmt_15_0.sparql,1.0,1.0,1602,1602,1602
ekaw_39_2.sparql,1.0,1.0,1300,1300,1300
confOf_39_1.sparql,1.0,1.0,1300,1300,1300
cmt_21_0.sparql,1.0,1.0,2150,2150,2150
confOf_48_1.sparql,1.0,1.0,2202,2202,2202
ekaw_48_2.sparql,0.9370212765957446,1.0,2202,2350,2202
edas_48_0.sparql,1.0,1.0,2202,2202,2202
ekaw_26_1.sparql,1.0,1.0,88,88,88
confOf_26_2.sparql,1.0,0.8181818181818182,88,72,72
edas_26_0.sparql,1.0,0.5113636363636364,88,45,45
cmt_23_0.sparql,1.0,0.9984797810884768,3289,3284,3284
ekaw_36_0.sparql,1.0,1.0,5,5,5
confOf_41_1.sparql,1.0,1.0,4351,4351,4351
edas_41_0.sparql,1.0,1.0,4351,4351,4351
edas_4_2.sparql,1.0,1.0,4351,4351,4351
cmt_4_0.sparql,1.0,1.0,4351,4351,4351
ekaw_4_3.sparql,1.0,1.0,4351,4351,4351
confOf_4_1.sparql,1.0,1.0,4351,4351,4351
ekaw_27_0.sparql,1.0,1.0,5,5,5
ekaw_27_1.sparql,1.0,1.0,5,5,5
cmt_40_0.sparql,1.0,0.3333333333333333,15,5,5
cmt_55_0.sparql,1.0,1.0,2834,2834,2834
ekaw_9_0.sparql,0.0,0.0,5,5,0
cmt_35_0.sparql,1.0,1.0,2674,2674,2674
edas_35_1.sparql,1.0,1.0,2674,2674,2674
ekaw_19_0.sparql,1.0,1.0,88,88,88
cmt_12_0.sparql,1.0,1.0,3284,3284,3284
ekaw_12_2.sparql,1.0,1.0,3284,3284,3284
confOf_12_1.sparql,1.0,1.0,3284,3284,3284

