query,prec,rec,size_source,size_target,common
ekaw_50_1.sparql,1.0,1.0,871,871,871
confOf_6_0.sparql,1.0,1.0,5,5,5
ekaw_6_1.sparql,1.0,1.0,5,5,5
ekaw_47_0.sparql,1.0,1.0,871,871,871
conference_46_0.sparql,1.0,1.0,45,45,45
confOf_46_2.sparql,1.0,1.0,45,45,45
ekaw_46_1.sparql,1.0,1.0,45,45,45
confOf_30_0.sparql,1.0,1.0,10941,10941,10941
ekaw_5_0.sparql,1.0,1.0,871,871,871
confOf_60_0.sparql,1.0,1.0,5,5,5
confOf_34_0.sparql,1.0,0.40089753178758414,2674,1072,1072
cmt_34_2.sparql,1.0,0.40089753178758414,2674,1072,1072
conference_34_1.sparql,1.0,1.0,2674,2674,2674
ekaw_3_1.sparql,0.991166077738516,1.0,561,566,561
conference_3_0.sparql,1.0,1.0,561,561,561
confOf_3_2.sparql,1.0,1.0,561,561,561
confOf_7_0.sparql,0.9532979001481223,1.0,10941,11477,10941
ekaw_17_1.sparql,1.0,1.0,871,871,871
confOf_51_1.sparql,0.6521739130434783,0.0644468313641246,931,92,60
ekaw_51_2.sparql,0.935678391959799,1.0,931,995,931
conference_51_0.sparql,0.625,0.04833512352309345,931,72,45
cmt_31_1.sparql,1.0,1.0,1279,1279,1279
ekaw_31_2.sparql,1.0,1.0,1279,1279,1279
conference_31_0.sparql,1.0,1.0,1279,1279,1279
confOf_44_0.sparql,1.0,1.0,541,541,541
ekaw_44_1.sparql,1.0,1.0,541,541,541
ekaw_42_0.sparql,1.0,1.0,10289,10289,10289
conference_42_1.sparql,1.0,1.0,10289,10289,10289
cmt_42_2.sparql,1.0,1.0,10289,10289,10289
conference_24_0.sparql,1.0,0.6046511627906976,2150,1300,1300
ekaw_24_2.sparql,1.0,1.0,2150,2150,2150
confOf_24_3.sparql,1.0,1.0,2150,2150,2150
cmt_24_1.sparql,1.0,1.0,2150,2150,2150
confOf_25_1.sparql,1.0,1.0,3284,3284,3284
ekaw_25_3.sparql,1.0,1.0,3284,3284,3284
conference_25_2.sparql,1.0,1.0,3284,3284,3284
cmt_25_0.sparql,1.0,1.0,3284,3284,3284
confOf_38_3.sparql,1.0,1.0,5,5,5
ekaw_38_2.sparql,1.0,1.0,5,5,5
cmt_38_1.sparql,1.0,1.0,5,5,5
conference_38_0.sparql,1.0,1.0,5,5,5
cmt_16_0.sparql,1.0,1.0,3508,3508,3508
conference_0_2.sparql,0.7880266075388027,0.9345604808414726,13310,15785,12439
ekaw_0_1.sparql,0.9953588861326719,0.9345604808414726,13310,12497,12439
confOf_0_3.sparql,1.0,0.1615326821938392,13310,2150,2150
cmt_0_0.sparql,0.852628692850778,0.9345604808414726,13310,14589,12439
confOf_54_0.sparql,1.0,1.0,20,20,20
confOf_13_0.sparql,1.0,1.0,15,15,15
conference_28_3.sparql,1.0,1.0,4351,4351,4351
ekaw_28_2.sparql,1.0,1.0,4351,4351,4351
cmt_28_0.sparql,1.0,1.0,4351,4351,4351
confOf_28_1.sparql,1.0,1.0,4351,4351,4351
confOf_33_0.sparql,1.0,1.0,5,5,5
cmt_53_0.sparql,1.0,1.0,5,5,5
conference_22_0.sparql,1.0,1.0,5,5,5
confOf_22_1.sparql,1.0,1.0,5,5,5
conference_29_2.sparql,0.9406952965235174,0.13031161473087818,3530,489,460
cmt_29_0.sparql,1.0,0.9977337110481587,3530,3522,3522
confOf_29_3.sparql,0.9918516437201461,1.0,3530,3559,3530
ekaw_29_1.sparql,0.9907381420151558,1.0,3530,3563,3530
confOf_57_3.sparql,1.0,1.0,6935,6935,6935
ekaw_57_1.sparql,1.0,1.0,6935,6935,6935
conference_57_4.sparql,0.49942388016707473,1.0,6935,13886,6935
cmt_57_2.sparql,1.0,1.0,6935,6935,6935
confOf_8_0.sparql,1.0,1.0,5,5,5
conference_8_1.sparql,1.0,1.0,5,5,5
cmt_49_0.sparql,1.0,1.0,3508,3508,3508
cmt_59_1.sparql,1.0,0.41499616827330293,24793,10289,10289
ekaw_59_0.sparql,1.0,0.47961118057516233,24793,11891,11891
conference_37_1.sparql,1.0,1.0,5,5,5
confOf_37_0.sparql,1.0,1.0,5,5,5
conference_56_0.sparql,0.625,0.04912663755458515,916,72,45
ekaw_56_2.sparql,0.9346938775510204,1.0,916,980,916
confOf_56_1.sparql,0.625,0.04912663755458515,916,72,45
confOf_58_4.sparql,1.0,1.0,6935,6935,6935
conference_58_3.sparql,1.0,0.6025955299206921,6935,4179,4179
cmt_58_0.sparql,1.0,1.0,6935,6935,6935
ekaw_58_1.sparql,1.0,1.0,6935,6935,6935
cmt_18_2.sparql,1.0,0.6851193499238192,11814,8094,8094
ekaw_18_1.sparql,1.0,0.8643981716607415,11814,10212,10212
conference_18_3.sparql,1.0,1.0,11814,11814,11814
confOf_18_0.sparql,1.0,0.8643981716607415,11814,10212,10212
ekaw_32_0.sparql,1.0,1.0,5,5,5
confOf_32_1.sparql,1.0,1.0,5,5,5
ekaw_43_0.sparql,1.0,0.25,60,15,15
conference_45_2.sparql,1.0,1.0,11814,11814,11814
ekaw_45_0.sparql,1.0,0.8643981716607415,11814,10212,10212
cmt_45_1.sparql,1.0,0.8643981716607415,11814,10212,10212
ekaw_1_0.sparql,1.0,1.0,871,871,871
cmt_1_1.sparql,1.0,1.0,871,871,871
conference_1_2.sparql,1.0,1.0,871,871,871
ekaw_15_0.sparql,1.0,0.8333333333333334,6,5,5
confOf_39_0.sparql,1.0,1.0,5,5,5
conference_39_1.sparql,1.0,1.0,5,5,5
ekaw_21_0.sparql,1.0,0.25,60,15,15
confOf_48_0.sparql,1.0,1.0,4351,4351,4351
conference_48_1.sparql,1.0,1.0,4351,4351,4351
ekaw_36_1.sparql,0.6666666666666666,1.0,10,15,10
confOf_36_0.sparql,0.6666666666666666,1.0,10,15,10
confOf_41_0.sparql,1.0,1.0,2202,2202,2202
conference_41_2.sparql,1.0,1.0,2202,2202,2202
ekaw_41_1.sparql,0.9370212765957446,1.0,2202,2350,2202
confOf_40_1.sparql,1.0,1.0,5,5,5
cmt_40_2.sparql,1.0,1.0,5,5,5
conference_40_0.sparql,1.0,1.0,5,5,5
confOf_55_0.sparql,1.0,1.0,4351,4351,4351
conference_55_1.sparql,1.0,1.0,4351,4351,4351
confOf_19_0.sparql,1.0,1.0,5,5,5
cmt_12_1.sparql,1.0,0.41499616827330293,24793,10289,10289
ekaw_12_0.sparql,1.0,0.47961118057516233,24793,11891,11891

