pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,1,1,1,1,1,1
cmt-confOf,1,1,1,1,1,1
cmt-edas,1,1,1,1,1,1
cmt-ekaw,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857
conference-cmt,1,1,1,1,1,1
conference-confOf,0,0.5,1,1,0.572343833422317,1
conference-edas,0,0,0,0,0,0
conference-ekaw,0.090909090909091,0.227272727272727,0.227272727272727,0.272727272727273,0.158006261863936,0.272727272727273
confOf-cmt,1,1,1,1,1,1
confOf-conference,0,1,0.5,1,0.572343833422317,1
confOf-edas,0,0,0,0,0,0
confOf-ekaw,0,0,0,0,0,0
edas-cmt,1,1,1,1,1,1
edas-conference,0,0,0,0,0,0
edas-confOf,0,0,0,0,0,0
edas-ekaw,0,0.125,0.0625,0.125,0.121648044692737,0.25
ekaw-cmt,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857
ekaw-conference,0.090909090909091,0.227272727272727,0.227272727272727,0.272727272727273,0.158006261863936,0.272727272727273
ekaw-confOf,0,0,0,0,0,0
ekaw-edas,0,0.0625,0.125,0.125,0.121648044692737,0.25
,0.394805194805195,0.492816558441558,0.492816558441558,0.525487012987013,0.470914099712185,0.537987012987013
