pair,total,equivalent,subsumption,overlap,disjoint,empty,
cmt-conference,35,14,14,2,3,2,0.914285714285714
cmt-confOf,17,7,8,1,0,1,1
cmt-edas,26,10,12,2,1,1,0.961538461538462
cmt-ekaw,34,12,14,3,5,0,0.852941176470588
conference-cmt,35,14,14,2,3,2,0.914285714285714
conference-confOf,25,11,10,0,2,2,0.92
conference-edas,25,14,5,3,1,2,0.96
conference-ekaw,47,22,13,3,6,3,0.872340425531915
confOf-cmt,17,7,8,1,0,1,1
confOf-conference,25,11,10,0,2,2,0.92
confOf-edas,39,15,10,2,11,1,0.717948717948718
confOf-ekaw,29,16,10,1,2,0,0.931034482758621
edas-cmt,26,10,12,2,1,1,0.961538461538462
edas-conference,25,14,5,3,1,2,0.96
edas-confOf,39,15,10,2,11,1,0.717948717948718
edas-ekaw,36,14,16,3,0,3,1
ekaw-cmt,34,12,14,3,5,0,0.852941176470588
ekaw-conference,47,22,13,3,6,3,0.872340425531915
ekaw-confOf,29,16,10,1,2,0,0.931034482758621
ekaw-edas,36,14,16,3,0,3,1
,,,,,,,0.913008897853402
