pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,0.428571428571429,0.814285714285714,0.642857142857143,0.885714285714286,0.703201137213449,0.942857142857143
cmt-confOf,0.411764705882353,0.764705882352941,0.764705882352941,0.941176470588235,0.778845585234333,1
cmt-edas,0.384615384615385,0.788461538461538,0.673076923076923,0.923076923076923,0.712166914136205,1
cmt-ekaw,0.352941176470588,0.735294117647059,0.588235294117647,0.852941176470588,0.690341427958803,0.911764705882353
conference-cmt,0.428571428571429,0.642857142857143,0.814285714285714,0.885714285714286,0.703201137213449,0.942857142857143
conference-confOf,0.48,0.74,0.82,0.88,0.693183454758941,0.96
conference-edas,0.56,0.68,0.74,0.88,0.707200206933466,0.96
conference-ekaw,0.51063829787234,0.765957446808511,0.702127659574468,0.872340425531915,0.700743370245253,0.978723404255319
confOf-cmt,0.411764705882353,0.764705882352941,0.764705882352941,0.941176470588235,0.778845585234333,1
confOf-conference,0.48,0.82,0.74,0.88,0.693183454758941,0.96
confOf-edas,0.384615384615385,0.576923076923077,0.615384615384615,0.717948717948718,0.550147032406199,0.794871794871795
confOf-ekaw,0.551724137931034,0.879310344827586,0.741379310344828,0.931034482758621,0.790055565835882,1
edas-cmt,0.384615384615385,0.673076923076923,0.788461538461538,0.923076923076923,0.712166914136205,1
edas-conference,0.56,0.74,0.68,0.88,0.707200206933466,0.96
edas-confOf,0.384615384615385,0.615384615384615,0.576923076923077,0.717948717948718,0.550147032406199,0.794871794871795
edas-ekaw,0.388888888888889,0.791666666666667,0.652777777777778,0.916666666666667,0.826127358707144,1
ekaw-cmt,0.352941176470588,0.588235294117647,0.735294117647059,0.852941176470588,0.690341427958803,0.911764705882353
ekaw-conference,0.51063829787234,0.702127659574468,0.765957446808511,0.872340425531915,0.700743370245253,0.978723404255319
ekaw-confOf,0.551724137931034,0.741379310344828,0.879310344827586,0.931034482758621,0.790055565835882,1
ekaw-edas,0.388888888888889,0.652777777777778,0.791666666666667,0.916666666666667,0.826127358707144,1
,0.44537594048474,0.723857469672972,0.723857469672972,0.880089914875595,0.715201205342968,0.954821704786661
