pair,total,equivalent,subsumption,overlap,disjoint,empty,
cmt-conference,51,20,25,4,0,2,1
cmt-confOf,26,9,14,1,0,2,1
cmt-edas,28,11,12,4,0,1,1
cmt-ekaw,33,12,16,4,1,0,0.96969696969697
conference-cmt,51,20,25,4,0,2,1
conference-confOf,40,13,21,2,2,2,0.95
conference-edas,37,18,6,6,4,3,0.891891891891892
conference-ekaw,71,33,17,7,11,3,0.845070422535211
confOf-cmt,26,9,14,1,0,2,1
confOf-conference,40,13,21,2,2,2,0.95
confOf-edas,51,23,11,5,11,1,0.784313725490196
confOf-ekaw,37,22,13,1,1,0,0.972972972972973
edas-cmt,28,11,12,4,0,1,1
edas-conference,37,18,6,6,4,3,0.891891891891892
edas-confOf,51,23,11,5,11,1,0.784313725490196
edas-ekaw,46,17,18,6,2,3,0.956521739130435
ekaw-cmt,33,12,16,4,1,0,0.96969696969697
ekaw-conference,71,33,17,7,11,3,0.845070422535211
ekaw-confOf,37,22,13,1,1,0,0.972972972972973
ekaw-edas,46,17,18,6,2,3,0.956521739130435
,,,,,,,0.937046772171768
