pair,classical,recall oriented,precision oriented,overlap,query f-measure,not disjoint
cmt-conference,,,,,,
cmt-confOf,,,,,,
cmt-edas,1,1,1,1,1,1
cmt-ekaw,1,1,1,1,1,1
conference-cmt,,,,,,
conference-confOf,,,,,,
conference-edas,0,0,0,0,0,0
conference-ekaw,,,,,,
confOf-cmt,,,,,,
confOf-conference,,,,,,
confOf-edas,,,,,,
confOf-ekaw,1,1,1,1,1,1
edas-cmt,1,1,1,1,1,1
edas-conference,0,0,0,0,0,0
edas-confOf,,,,,,
edas-ekaw,,,,,,
ekaw-cmt,1,1,1,1,1,1
ekaw-conference,,,,,,
ekaw-confOf,1,1,1,1,1,1
ekaw-edas,,,,,,0.75
