pair,total,equivalent,subsumption,overlap,disjoint,empty,
cmt-conference,15,9,2,2,0,2,1
cmt-confOf,16,7,7,0,1,1,0.9375
cmt-edas,13,7,5,1,0,0,1
cmt-ekaw,11,6,3,2,0,0,1
conference-cmt,15,9,2,2,0,2,1
conference-confOf,15,10,3,0,1,1,0.933333333333333
conference-edas,17,11,2,3,1,0,0.941176470588235
conference-ekaw,25,17,4,2,1,1,0.96
confOf-cmt,16,7,7,0,1,1,0.9375
confOf-conference,15,10,3,0,1,1,0.933333333333333
confOf-edas,19,10,5,2,2,0,0.894736842105263
confOf-ekaw,20,12,6,1,1,0,0.95
edas-cmt,13,7,5,1,0,0,1
edas-conference,17,11,2,3,1,0,0.941176470588235
edas-confOf,19,10,5,2,2,0,0.894736842105263
edas-ekaw,23,9,9,3,0,2,1
ekaw-cmt,11,6,3,2,0,0,1
ekaw-conference,25,17,4,2,1,1,0.96
ekaw-confOf,20,12,6,1,1,0,0.95
ekaw-edas,23,9,9,3,0,2,1
,,,,,,,0.961674664602683
