cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,1.0,1.0,1.0
assigned_reviewer,1.0,1.0,1.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.0,0.0,0.0
topic,1.0,1.0,1.0
person,1.0,1.0,1.0
paper,1.0,0.7458180334557323,0.5946649316851008
paper_title,1.0,0.7458180334557323,0.5946649316851008
conference_start_date,0.0,0.0,0.0
author,1.0,1.0,1.0
topic_of_paper,1.0,0.7483259839947738,0.5978601252609603
administrator,1.0,1.0,1.0
is_author_of_paper,1.0,0.7484052054095433,0.5979612640163099
conference_name,0.04032258064516129,0.07751937984496124,1.0
pc_member,1.0,1.0,1.0
conference,1.0,1.0,1.0
global mean,0.7525201612903226,0.6916179147600465,0.711571953290467

