cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,1.0,1.0,1.0
assigned_reviewer,0.3805464057353226,0.5512982456140352,1.0
reviewers_all,1.0,1.0,1.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,1.0,1.0,1.0
topic,1.0,1.0,1.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,1.0,1.0,1.0
paper_title,0.0,0.0,0.0
accepted_paper,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
author,1.0,1.0,1.0
topic_of_paper,1.0,0.7458512691108803,0.5947071912133693
assigned_reviewer_author_of_review,0.8630758691556774,0.9265064117295583,1.0
review,1.0,1.0,1.0
is_author_of_paper,1.0,0.7412167550072706,0.5888358920852587
conference_name,0.0,0.0,0.0
pc_member,0.853541938287701,0.9209847596717468,1.0
site_url_of_conference,0.0,0.0,0.0
conference,1.0,1.0,1.0
invite_reviewer,0.0,0.0,0.0
global mean,0.6563984440512479,0.6472111930927604,0.6601540470999404

