cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,1.0,1.0,1.0
assigned_reviewer,0.40089753178758414,0.5723438334223171,1.0
reviewers_all,1.0,1.0,1.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,1.0,1.0,1.0
topic,1.0,1.0,1.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,1.0,1.0,1.0
paper_title,0.0,0.0,0.0
accepted_paper,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
author,1.0,1.0,1.0
topic_of_paper,1.0,0.7546691261240488,0.6059988890946121
assigned_reviewer_author_of_review,0.5459224279726216,0.7062740252608456,1.0
review,1.0,1.0,1.0
is_author_of_paper,1.0,0.7520244736368543,0.6025955299206921
conference_name,0.0,0.0,0.0
pc_member,0.8434303697875688,0.9150661545027743,1.0
site_url_of_conference,0.0,0.0,0.0
conference,1.0,1.0,1.0
invite_reviewer,0.0,0.0,0.0
global mean,0.6430543621542512,0.6391468527368191,0.661243235609361

