pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.482758620689655,0.637931034482759,0.586206896551724,0.655172413793103,0.609218596324988
cmt-confOf,0.5,0.625,0.75,0.75,0.688371248535781
cmt-edas,0.647058823529412,0.647058823529412,0.647058823529412,0.647058823529412,0.647058823529412
cmt-ekaw,0.478260869565217,0.652173913043478,0.630434782608696,0.695652173913043,0.639146852736819
conference-cmt,0.620689655172414,0.637931034482759,0.655172413793103,0.655172413793103,0.648975078676533
conference-confOf,0.5,0.55,0.55,0.566666666666667,0.513642261353105
conference-edas,0.517241379310345,0.517241379310345,0.517241379310345,0.517241379310345,0.517241379310345
conference-ekaw,0.482142857142857,0.526785714285714,0.517857142857143,0.535714285714286,0.529217431462308
confOf-cmt,0.5,0.75,0.71875,0.8125,0.709850492462841
confOf-conference,0.533333333333333,0.633333333333333,0.583333333333333,0.633333333333333,0.597074576651559
confOf-edas,0.717948717948718,0.743589743589744,0.730769230769231,0.743589743589744,0.743425824049473
confOf-ekaw,0.612903225806452,0.741935483870968,0.67741935483871,0.741935483870968,0.720104825417089
edas-cmt,0.529411764705882,0.764705882352941,0.735294117647059,0.823529411764706,0.669486933457671
edas-conference,0.482758620689655,0.586206896551724,0.53448275862069,0.586206896551724,0.520478595807475
edas-confOf,0.692307692307692,0.743589743589744,0.717948717948718,0.743589743589744,0.695968598030454
edas-ekaw,0.666666666666667,0.814814814814815,0.740740740740741,0.814814814814815,0.794512139361154
ekaw-cmt,0.521739130434783,0.630434782608696,0.673913043478261,0.695652173913043,0.654711122402575
ekaw-conference,0.535714285714286,0.571428571428571,0.553571428571429,0.571428571428571,0.557255761400165
ekaw-confOf,0.709677419354839,0.725806451612903,0.741935483870968,0.741935483870968,0.741905420437122
ekaw-edas,0.740740740740741,0.740740740740741,0.740740740740741,0.740740740740741,0.740740740740741
,0.573567690155647,0.662035417181432,0.650143519460515,0.683596727709416,0.646919335107381
