cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,1.0,1.0,1.0
assigned_reviewer,1.0,1.0,1.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.0,0.0,0.0
topic,1.0,1.0,1.0
person,1.0,1.0,1.0
paper,1.0,0.7536231884057971,0.6046511627906976
paper_title,1.0,0.7536231884057971,0.6046511627906976
conference_start_date,0.0,0.0,0.0
author,1.0,1.0,1.0
topic_of_paper,1.0,0.7546691261240488,0.6059988890946121
administrator,1.0,1.0,1.0
is_author_of_paper,1.0,0.7520244736368543,0.6025955299206921
conference_name,0.05434782608695652,0.10309278350515463,1.0
pc_member,1.0,1.0,1.0
conference,1.0,1.0,1.0
global mean,0.7533967391304348,0.6948145475048533,0.7136185465372937

