pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.586206896551724,0.741379310344828,0.689655172413793,0.758620689655172,0.700197974908556
cmt-confOf,0.5,0.6875,0.78125,0.8125,0.694814547504853
cmt-edas,0.647058823529412,0.647058823529412,0.647058823529412,0.647058823529412,0.647058823529412
cmt-ekaw,0.478260869565217,0.652173913043478,0.630434782608696,0.695652173913043,0.648777232867204
conference-cmt,0.689655172413793,0.689655172413793,0.689655172413793,0.689655172413793,0.689655172413793
conference-confOf,0.533333333333333,0.633333333333333,0.633333333333333,0.666666666666667,0.561382022795735
conference-edas,0.655172413793103,0.655172413793103,0.655172413793103,0.655172413793103,0.655172413793103
conference-ekaw,0.553571428571429,0.598214285714286,0.589285714285714,0.607142857142857,0.600646002890879
confOf-cmt,0.5625,0.8125,0.78125,0.875,0.772350492462841
confOf-conference,0.633333333333333,0.766666666666667,0.7,0.766666666666667,0.73317334627178
confOf-edas,0.871794871794872,0.871794871794872,0.871794871794872,0.871794871794872,0.871794871794872
confOf-ekaw,0.774193548387097,0.838709677419355,0.806451612903226,0.838709677419355,0.834921063660756
edas-cmt,0.588235294117647,0.764705882352941,0.764705882352941,0.823529411764706,0.728175577454596
edas-conference,0.586206896551724,0.655172413793103,0.620689655172414,0.655172413793103,0.632091639012529
edas-confOf,0.564102564102564,0.564102564102564,0.564102564102564,0.564102564102564,0.564102564102564
edas-ekaw,0.740740740740741,0.888888888888889,0.814814814814815,0.888888888888889,0.885133061988569
ekaw-cmt,0.565217391304348,0.652173913043478,0.673913043478261,0.695652173913043,0.662525153636512
ekaw-conference,0.589285714285714,0.598214285714286,0.607142857142857,0.607142857142857,0.607126214884836
ekaw-confOf,0.709677419354839,0.725806451612903,0.741935483870968,0.741935483870968,0.741905420437122
ekaw-edas,0.740740740740741,0.740740740740741,0.740740740740741,0.740740740740741,0.740740740740741
,0.628464372623581,0.709198180415102,0.700169346937575,0.730090227360591,0.698587216857563
