pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.275862068965517,0.310344827586207,0.293103448275862,0.310344827586207,0.310177241858127
cmt-confOf,0.5,0.625,0.75,0.75,0.688371248535781
cmt-edas,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882,0.529411764705882
cmt-ekaw,0.304347826086957,0.326086956521739,0.347826086956522,0.347826086956522,0.337114051669817
conference-cmt,0.275862068965517,0.275862068965517,0.275862068965517,0.275862068965517,0.275862068965517
conference-confOf,0.433333333333333,0.433333333333333,0.433333333333333,0.433333333333333,0.433333333333333
conference-edas,0.482758620689655,0.482758620689655,0.482758620689655,0.482758620689655,0.482758620689655
conference-ekaw,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286
confOf-cmt,0.5625,0.78125,0.71875,0.8125,0.71708172812328
confOf-conference,0.433333333333333,0.466666666666667,0.45,0.466666666666667,0.452091785542905
confOf-edas,0.282051282051282,0.282051282051282,0.282051282051282,0.282051282051282,0.282051282051282
confOf-ekaw,0.419354838709678,0.483870967741936,0.451612903225806,0.483870967741936,0.480082353983337
edas-cmt,0.470588235294118,0.558823529411765,0.558823529411765,0.588235294117647,0.543471205887587
edas-conference,0.448275862068966,0.482758620689655,0.517241379310345,0.517241379310345,0.500249875062469
edas-confOf,0.282051282051282,0.294871794871795,0.307692307692308,0.307692307692308,0.301374953548867
edas-ekaw,0.444444444444444,0.481481481481482,0.462962962962963,0.481481481481482,0.480277289591877
ekaw-cmt,0.304347826086957,0.369565217391304,0.369565217391304,0.391304347826087,0.358217847829956
ekaw-conference,0.285714285714286,0.303571428571429,0.294642857142857,0.303571428571429,0.300876010781671
ekaw-confOf,0.419354838709678,0.435483870967742,0.451612903225806,0.451612903225806,0.451264927776585
ekaw-edas,0.481481481481482,0.481481481481482,0.481481481481482,0.481481481481482,0.481481481481482
,0.396039383920333,0.434519409942158,0.437222321626849,0.449148026405894,0.434563167856685
