pair,equiv,recall oriented, precision oriented,overlap,f-measure
cmt-conference,0.275862068965517,0.310344827586207,0.293103448275862,0.310344827586207,0.310177241858127
cmt-confOf,0.5,0.625,0.75,0.75,0.688371248535781
cmt-edas,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353,0.411764705882353
cmt-ekaw,0.217391304347826,0.239130434782609,0.260869565217391,0.260869565217391,0.250157529930687
conference-cmt,0.275862068965517,0.275862068965517,0.275862068965517,0.275862068965517,0.275862068965517
conference-confOf,0.433333333333333,0.433333333333333,0.433333333333333,0.433333333333333,0.433333333333333
conference-edas,0.482758620689655,0.482758620689655,0.482758620689655,0.482758620689655,0.482758620689655
conference-ekaw,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286
confOf-cmt,0.5625,0.78125,0.71875,0.8125,0.71708172812328
confOf-conference,0.433333333333333,0.466666666666667,0.45,0.466666666666667,0.452091785542905
confOf-edas,0.282051282051282,0.282051282051282,0.282051282051282,0.282051282051282,0.282051282051282
confOf-ekaw,0.387096774193548,0.451612903225806,0.419354838709678,0.451612903225806,0.447824289467208
edas-cmt,0.352941176470588,0.441176470588235,0.441176470588235,0.470588235294118,0.425824147064058
edas-conference,0.448275862068966,0.482758620689655,0.517241379310345,0.517241379310345,0.500249875062469
edas-confOf,0.282051282051282,0.294871794871795,0.307692307692308,0.307692307692308,0.301374953548867
edas-ekaw,0.444444444444444,0.481481481481482,0.462962962962963,0.481481481481482,0.480277289591877
ekaw-cmt,0.217391304347826,0.282608695652174,0.282608695652174,0.304347826086957,0.271261326090825
ekaw-conference,0.285714285714286,0.303571428571429,0.294642857142857,0.303571428571429,0.300876010781671
ekaw-confOf,0.387096774193548,0.387096774193548,0.387096774193548,0.387096774193548,0.387096774193548
ekaw-edas,0.481481481481482,0.481481481481482,0.481481481481482,0.481481481481482,0.481481481481482
,0.372353219412454,0.410026793821376,0.411923253893163,0.423848958672208,0.409281498895461
