cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,1.0,1.0,1.0
assigned_reviewer,1.0,1.0,1.0
reviewers_all,1.0,1.0,1.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.0,0.0,0.0
topic,1.0,1.0,1.0
conference_site_url,0.0,0.0,0.0
external_reviewer,1.0,1.0,1.0
person,1.0,1.0,1.0
program_committee,1.0,1.0,1.0
paper_co_author,1.0,1.0,1.0
paper,1.0,1.0,1.0
abstract_of_paper,0.0,0.0,0.0
paper_abstract_title,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
accepted_paper,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
author,1.0,1.0,1.0
assigned_reviewer_author_of_review,0.8622699945345236,0.9260418704754451,1.0
review,1.0,1.0,1.0
member_of_pc,1.0,1.0,1.0
paper_abstract,0.9941841680129241,0.9970836033700583,1.0
is_author_of_paper,1.0,0.751643904906424,0.6021069692058347
conference_name,0.006587615283267457,0.013089005235602092,1.0
pc_member,1.0,1.0,1.0
paper_1st_author,0.4527128458074201,0.6232654266312371,1.0
conference,1.0,1.0,1.0
invite_reviewer,1.0,1.0,1.0
global mean,0.7005432628840735,0.7003835796765092,0.7449002403174426

