cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,0.0,0.0,0.0
assigned_reviewer,0.0,0.0,0.0
reviewers_all,0.0,0.0,0.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,1.0,1.0,1.0
topic,0.0,0.0,0.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,1.0,0.7489255014326647,0.5986258230747209
paper_title,0.0,0.0,0.0
accepted_paper,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
author,1.0,1.0,1.0
topic_of_paper,0.0,0.0,0.0
assigned_reviewer_author_of_review,0.0,0.0,0.0
review,1.0,1.0,1.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,0.0,0.0,0.0
site_url_of_conference,0.0,0.0,0.0
conference,1.0,1.0,1.0
invite_reviewer,0.0,0.0,0.0
global mean,0.34782608695652173,0.3369098044101158,0.3303750357858575

