cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,1.0,1.0,1.0
assigned_reviewer,0.0,0.0,0.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,1.0,1.0,1.0
topic,1.0,1.0,1.0
person,1.0,1.0,1.0
paper,1.0,0.7490849938999593,0.5988296488946684
paper_title,1.0,0.7490849938999593,0.5988296488946684
conference_start_date,0.0,0.0,0.0
author,1.0,1.0,1.0
topic_of_paper,1.0,0.7510473014194493,0.6013416699231471
administrator,1.0,1.0,1.0
is_author_of_paper,1.0,0.7489518485579977,0.5986594902000609
conference_name,0.0,0.0,0.0
pc_member,1.0,1.0,1.0
conference,1.0,1.0,1.0
global mean,0.75,0.6873855711110853,0.649853778619534

