cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,1.0,1.0,1.0
assigned_reviewer,0.0,0.0,0.0
reviewers_all,1.0,1.0,1.0
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.0,0.0,0.0
topic,1.0,1.0,1.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.0,0.0,0.0
person,1.0,1.0,1.0
program_committee,1.0,1.0,1.0
paper_co_author,1.0,1.0,1.0
paper,1.0,1.0,1.0
abstract_of_paper,0.0,0.0,0.0
paper_abstract_title,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
accepted_paper,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
author,0.0,0.0,0.0
assigned_reviewer_author_of_review,0.38207460129168314,0.5529001125331401,1.0
review,1.0,1.0,1.0
member_of_pc,0.6948444031583837,0.8199506714168265,1.0
paper_abstract,0.9934874633669815,0.9967330937602091,1.0
is_author_of_paper,1.0,0.7522236340533672,0.6028513238289206
conference_name,0.0,0.0,0.0
pc_member,1.0,1.0,1.0
paper_1st_author,0.3865940668419076,0.5576167907921462,1.0
conference,1.0,1.0,1.0
invite_reviewer,1.0,1.0,1.0
global mean,0.5674827770572053,0.5751525621570927,0.6069948732354801

