pair,precision,f-measure,recall
cmt-conference,0.700539221474935,0.700396789223688,0.744925907718239
cmt-confOf,0.75244140625,0.693152084323731,0.713724481446819
cmt-edas,0.647058823529412,0.647058823529412,0.647058823529412
cmt-ekaw,0.656563780213309,0.647902396724019,0.660708809551888
conference-cmt,0.689655172413793,0.689655172413793,0.689655172413793
conference-confOf,0.567612340710932,0.502295278256826,0.566882556131261
conference-edas,0.655172413793103,0.655172413793103,0.655172413793103
conference-ekaw,0.502543558898741,0.501009131593918,0.501792166498049
confOf-cmt,0.78125,0.772350492462841,0.818913660886679
confOf-conference,0.728198140204998,0.74290654439272,0.766666666666667
confOf-edas,0.871794871794872,0.871794871794872,0.871794871794872
confOf-ekaw,0.832000917446856,0.835127415686052,0.838709677419355
edas-cmt,0.764705882352941,0.728175577454596,0.747701127129623
edas-conference,0.620618418308512,0.632120527985798,0.655172413793103
edas-confOf,0.564102564102564,0.564102564102564,0.564102564102564
edas-ekaw,0.917349619447557,0.920153490096862,0.923076923076923
ekaw-cmt,0.673913043478261,0.662525153636512,0.669523275408464
ekaw-conference,0.509078939493686,0.509084922321669,0.509090909090909
ekaw-confOf,0.741935483870968,0.741935483870968,0.741935483870968
ekaw-edas,0.769230769230769,0.769230769230769,0.769230769230769
,0.69728826835081,0.689307495144736,0.702791933677673
