pair,precision,f-measure,recall
cmt-conference,0.310095674706,0.310219799454877,0.310344827586207
cmt-confOf,0.75,0.688869824168598,0.651762021304445
cmt-edas,0.411764705882353,0.411764705882353,0.411764705882353
cmt-ekaw,0.260869565217391,0.249779535554902,0.243197206489801
conference-cmt,0.275862068965517,0.275862068965517,0.275862068965517
conference-confOf,0.433333333333333,0.433333333333333,0.433333333333333
conference-edas,0.482758620689655,0.482758620689655,0.482758620689655
conference-ekaw,0.327272727272727,0.327272727272727,0.327272727272727
confOf-cmt,0.71875,0.71708172812328,0.7693763518385
confOf-conference,0.4462876537972,0.451991037783888,0.466666666666667
confOf-edas,0.282051282051282,0.282051282051282,0.282051282051282
confOf-ekaw,0.536913804451817,0.542230454743399,0.548387096774194
edas-cmt,0.441176470588235,0.425824147064058,0.435346913634564
edas-conference,0.517241379310345,0.499649581466403,0.489208452542288
edas-confOf,0.307692307692308,0.301377042307037,0.297557847373345
edas-ekaw,0.497900596796641,0.498920845862838,0.5
ekaw-cmt,0.282608695652174,0.271261326090825,0.278299892686417
ekaw-conference,0.341090909090909,0.34297520661157,0.345454545454545
ekaw-confOf,0.451612903225806,0.451612903225806,0.451612903225806
ekaw-edas,0.5,0.5,0.5
,0.428764134936185,0.423241808532618,0.425012873188582
