cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,0.0,0.0,0.0
assigned_reviewer,1.0,1.0,1.0
reviewers_all,1.0,0.5723438334223171,0.40089753178758414
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,1.0,1.0,1.0
topic,0.0,0.0,0.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,1.0,1.0,1.0
paper_title,0.0,0.0,0.0
accepted_paper,1.0,1.0,1.0
rejected_paper,1.0,1.0,1.0
author,1.0,1.0,1.0
topic_of_paper,0.0,0.0,0.0
assigned_reviewer_author_of_review,0.0,0.0,0.0
review,1.0,1.0,1.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,1.0,0.9990680335507922,0.9981378026070763
site_url_of_conference,0.0,0.0,0.0
conference,1.0,1.0,1.0
invite_reviewer,0.0,0.0,0.0
global mean,0.4782608695652174,0.45962660291187424,0.4521319710606374

