pair,precision,f-measure,recall
cmt-conference,0.566449990772025,0.574222211560184,0.606871756146767
cmt-confOf,0.75,0.689478702099352,0.652549406396377
cmt-edas,0.647058823529412,0.647058823529412,0.647058823529412
cmt-ekaw,0.643642045168542,0.639256752126382,0.660658315650701
conference-cmt,0.586206896551724,0.586206896551724,0.586206896551724
conference-confOf,0.508333333333333,0.48040749796251,0.500205002050021
conference-edas,0.517241379310345,0.517241379310345,0.517241379310345
conference-ekaw,0.450675397971359,0.447836371535682,0.447153206991118
confOf-cmt,0.71875,0.709850492462841,0.756413660886679
confOf-conference,0.550914993084311,0.56378973201995,0.6
confOf-edas,0.74322124422179,0.743404160353313,0.743589743589744
confOf-ekaw,0.708158168180384,0.719729874438927,0.741935483870968
edas-cmt,0.705949873062172,0.669486933457671,0.747701127129623
edas-conference,0.509025618152974,0.520307812769535,0.586206896551724
edas-confOf,0.694642102536839,0.696736355740187,0.743589743589744
edas-ekaw,0.816540881778586,0.825665985690308,0.846153846153846
ekaw-cmt,0.673913043478261,0.654711122402575,0.656276041779424
ekaw-conference,0.451954383362253,0.458179986314767,0.472727272727273
ekaw-confOf,0.741935483870968,0.741895757190529,0.741856128238702
ekaw-edas,0.769230769230769,0.769230769230769,0.769230769230769
,0.637692221379802,0.632734880837348,0.651181275018748
