cqa,best_q_prec,best_q_fmeasure,best_q_rec
conference_end_date,1.0,1.0,1.0
trip_location,0.0,0.0,0.0
workshop_start_date,1.0,1.0,1.0
person_name,1.0,1.0,1.0
gala_dinner_start_date,1.0,1.0,1.0
trip_end_date,1.0,1.0,1.0
workshop,1.0,1.0,1.0
person_last_name,1.0,1.0,1.0
reception_location,0.0,0.0,0.0
conference_paper_date,0.0,0.0,0.0
workshop_submission_date,0.0,0.0,0.0
topic,1.0,1.0,1.0
conference_regis_date,0.0,0.0,0.0
conference_topic,0.0,0.0,0.0
workshop_end_date,1.0,1.0,1.0
gala_dinner_location,0.0,0.0,0.0
person,1.0,1.0,1.0
gala_dinner,1.0,1.0,1.0
trip,1.0,1.0,1.0
paper,1.0,1.0,1.0
gala_dinner_end_date,1.0,1.0,1.0
paper_title,0.0,0.0,0.0
workshop_camera_date,0.0,0.0,0.0
conference_start_date,1.0,1.0,1.0
conference_camera_date,0.0,0.0,0.0
workshop_notif_date,1.0,1.0,1.0
reception_end_date,1.0,1.0,1.0
author,1.0,1.0,1.0
topic_of_paper,0.985628524649809,0.9927622537792029,1.0
university,1.0,1.0,1.0
is_author_of_paper,1.0,1.0,1.0
conference_name,1.0,1.0,1.0
trip_start_date,1.0,1.0,1.0
reception,1.0,1.0,1.0
conference,1.0,1.0,1.0
participant,1.0,1.0,1.0
company,1.0,1.0,1.0
reception_start_date,1.0,1.0,1.0
person_first_name,1.0,1.0,1.0
global mean,0.7432212442217899,0.7434041603533129,0.7435897435897436

