cqa,best_q_prec,best_q_fmeasure,best_q_rec
pc_chair,1.0,1.0,1.0
assigned_reviewer,0.8,0.007428040854224698,0.0037313432835820895
person_name,0.0,0.0,0.0
is_assigned_reviewer_of,0.0,0.0,0.0
topic,1.0,1.0,1.0
person,1.0,1.0,1.0
paper,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
conference_start_date,0.0,0.0,0.0
author,1.0,1.0,1.0
topic_of_paper,0.0,0.0,0.0
administrator,1.0,1.0,1.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,1.0,1.0,1.0
conference,1.0,1.0,1.0
global mean,0.4875,0.43796425255338906,0.4377332089552239

