cqa,best_q_prec,best_q_fmeasure,best_q_rec
workshop_of_conference,0.0,0.0,0.0
pc_chair,0.0,0.0,0.0
tutorial,1.0,1.0,1.0
assigned_reviewer,0.0,0.0,0.0
tutorial_of_conference,0.0,0.0,0.0
reviewers_all,0.0,0.0,0.0
invited_talk_abstract,0.0,0.0,0.0
conference_proceedings,1.0,1.0,1.0
abstract_of_invited_talk,0.0,0.0,0.0
conference_site,0.0,0.0,0.0
person_name,0.0,0.0,0.0
workshop,1.0,1.0,1.0
is_assigned_reviewer_of,0.0,0.0,0.0
late_registered_participant,1.0,1.0,1.0
topic,0.0,0.0,0.0
conference_site_url,0.0,0.0,0.0
external_reviewer,0.2978723404255319,0.016979987871437233,0.008739076154806492
publisher,0.0,0.0,0.0
person,1.0,1.0,1.0
paper,0.0,0.0,0.0
workshop_topic,0.0,0.0,0.0
paper_title,0.0,0.0,0.0
paper_presentation,0.871,0.9310529128808124,1.0
accepted_paper,1.0,1.0,1.0
regular_paper,0.3478760045924225,0.27913403961308153,0.23307692307692307
early_registration,0.9370212765957446,0.9674868189806678,1.0
workshop_chair,0.5106382978723404,0.5217391304347825,0.5333333333333333
invited_speaker_of_talk,0.0,0.0,0.0
rejected_paper,1.0,1.0,1.0
early_registered_participant,1.0,1.0,1.0
author,0.75476901861641,0.860248853962017,1.0
assigned_reviewer_author_of_review,0.0,0.0,0.0
review,1.0,1.0,1.0
conference_proceedings_name,0.0,0.0,0.0
conference_location,0.0,0.0,0.0
is_author_of_paper,0.0,0.0,0.0
conference_name,0.0,0.0,0.0
pc_member,0.2965197215777262,0.3960334676169817,0.5960820895522388
track,1.0,1.0,1.0
review_of_paper,0.0,0.0,0.0
chair_of_workshop,0.0,0.0,0.0
presentation_in_conference,0.0,0.0,0.0
presentation_of_paper,0.0,0.0,0.0
oc_member,0.06986899563318777,0.1306122448979592,1.0
tutorial_topic,0.0,0.0,0.0
sc_member,0.043668122270742356,0.08368200836820082,1.0
oc_chair,0.06382978723404255,0.11538461538461536,0.6
conference,0.005,0.009950248756218907,1.0
participant,1.0,0.9892127610741335,0.9786557674841053
proceedings_publisher,0.0,0.0,0.0
invite_reviewer,0.0,0.0,0.0
invited_speaker,1.0,1.0,1.0
all_reviewer_author_of_review,0.0,0.0,0.0
invited_talk,1.0,1.0,1.0
author_of_inv_talk_abstract,0.0,0.0,0.0
track_of_conference,0.0,0.0,0.0
global mean,0.30710827794318124,0.3089556623185876,0.37410512838573945

